"
Name",,"
Dilution",A4.IL-23,,A5.IL-1a,A6.IFN-g,,A7.TNF-a,,,A8.MCP-1,A10.Il-12p70,,,,B2.IL-1b,B3.IL-10,B4.IL-6,B5.IL-27,B6.IL-17A,B7.IFN-b,B9.GM-CSF
,,,pg/ml,,pg/ml,pg/ml,,pg/ml,,,pg/ml,pg/ml,,,,pg/ml,pg/ml,pg/ml,pg/ml,pg/ml,pg/ml,pg/ml
Inflammation_A2_Sample74.fcs,,1,7.06,,18.9,2.44,,244.01,,,55.2,<1.77,,,,<7.86,<1.69,264.59,<17.33,<1.98,78.02,<8.51
Inflammation_A3_Sample75.fcs,,1,7.55,,11.07,2.5,,91.66,,,61.98,<1.77,,,,<7.86,<1.69,12.13,<17.33,<1.98,40.06,<8.51
Inflammation_A4_Sample97.fcs,,1,7.83,,11.81,3.19,,114.51,,,36.74,<1.77,,,,<7.86,39.82,39.61,<17.33,<1.98,60.86,<8.51
Inflammation_A5_Sample105.fcs,,1,<6.16,,6.02,2.41,,103.26,,,29.23,<1.77,,,,<7.86,<1.69,14.82,<17.33,<1.98,<31.25,<8.51
Inflammation_A6_Sample106.fcs,,1,13.97,,5.51,2.81,,82.98,,,46.49,2.12,,,,<7.86,2.71,8.66,<17.33,<1.98,37.52,<8.51
Inflammation_A7_Sample107.fcs,,1,13.88,,8.26,2.76,,119.82,,,34.03,5.2,,,,<7.86,12.25,33.55,<17.33,<1.98,<31.25,<8.51
Inflammation_B2_Sample77.fcs,,1,16.9,,15.61,3.24,,139.01,,,59.88,3.11,,,,11.05,49.81,190.61,106.62,12.49,125.76,<8.51
Inflammation_B3_Sample78.fcs,,1,13.23,,12.22,2.84,,85.91,,,33.26,2.21,,,,<7.86,<1.69,13.9,<17.33,<1.98,44,<8.51
Inflammation_B4_Sample98.fcs,,1,6.92,,8.5,2.63,,101.11,,,31.26,<1.77,,,,<7.86,22.31,132.7,103.77,19.39,157.93,<8.51
Inflammation_B5_Sample108.fcs,,1,12.16,,10.8,3.08,,118.4,,,34.18,2.59,,,,<7.86,<1.69,20.79,<17.33,<1.98,<31.25,<8.51
Inflammation_B6_Sample109.fcs,,1,31.55,,8.59,4.31,,96.85,,,68.91,5.94,,,,<7.86,27.28,28.01,47.11,5.59,116.93,<8.51
Inflammation_B7_Sample110.fcs,,1,7.76,,5.32,2.85,,108.66,,,44.36,2.03,,,,<7.86,<1.69,42.19,<17.33,<1.98,<31.25,<8.51
Inflammation_C2_Sample80.fcs,,1,16.5,,27.9,4.2,,951.67,,,110.83,7.25,,,,12.44,22.21,>13304.56,96.08,6.51,275.58,<8.51
Inflammation_C3_Sample81.fcs,,1,10.79,,10.69,3.49,,128.86,,,111.67,3.34,,,,<7.86,5.84,148.87,<17.33,<1.98,1034.46,<8.51
Inflammation_C4_Sample99.fcs,,1,15.12,,10.56,3.5,,1021.2,,,107.77,5.47,,,,<7.86,48.26,>13304.56,114.86,5.92,2285.1,<8.51
Inflammation_C5_Sample111.fcs,,1,7.13,,45.3,2.35,,519.85,,,36.14,<1.77,,,,<7.86,<1.69,506.88,<17.33,<1.98,73.43,<8.51
Inflammation_C6_Sample112.fcs,,1,8.05,,6.62,3.05,,76.91,,,19.15,<1.77,,,,<7.86,<1.69,12.62,<17.33,<1.98,37.52,<8.51
Inflammation_C7_Sample113.fcs,,1,8.57,,8.57,2.45,,494.25,,,20.83,<1.77,,,,<7.86,18.5,1170.33,<17.33,<1.98,227.27,<8.51
