,Well,Fluor,Target,Content,Sample,Cq,SQ
,A01,SYBR,,Unkn,,20.4197283511398,NaN
,A02,SYBR,,Unkn,,20.4339094918472,NaN
,A03,SYBR,,Unkn,,22.0414127343387,NaN
,A04,SYBR,,Unkn,,21.6880396020449,NaN
,A05,SYBR,,Unkn,,21.1991723551498,NaN
,A06,SYBR,,Unkn,,21.2026055982337,NaN
,A07,SYBR,,Unkn,,21.3941151540365,NaN
,A08,SYBR,,Unkn,,21.2653958951484,NaN
,A09,SYBR,,Unkn,,22.2124052724254,NaN
,A10,SYBR,,Unkn,,22.1433677744949,NaN
,A11,SYBR,,Unkn,,21.2489691441736,NaN
,A12,SYBR,,Unkn,,20.975301255138,NaN
,A13,SYBR,,Unkn,,NaN,NaN
,A14,SYBR,,Unkn,,NaN,NaN
,A15,SYBR,,Unkn,,NaN,NaN
,A16,SYBR,,Unkn,,NaN,NaN
,A17,SYBR,,Unkn,,NaN,NaN
,A18,SYBR,,Unkn,,NaN,NaN
,A19,SYBR,,Unkn,,NaN,NaN
,A20,SYBR,,Unkn,,NaN,NaN
,A21,SYBR,,Unkn,,NaN,NaN
,A22,SYBR,,Unkn,,NaN,NaN
,A23,SYBR,,Unkn,,NaN,NaN
,A24,SYBR,,Unkn,,NaN,NaN
,B01,SYBR,,Unkn,,21.202824698748,NaN
,B02,SYBR,,Unkn,,21.292385923989,NaN
,B03,SYBR,,Unkn,,22.3077937884893,NaN
,B04,SYBR,,Unkn,,22.2233567219165,NaN
,B05,SYBR,,Unkn,,21.0647578035121,NaN
,B06,SYBR,,Unkn,,20.6512465904823,NaN
,B07,SYBR,,Unkn,,18.8517563872293,NaN
,B08,SYBR,,Unkn,,19.0665530857189,NaN
,B09,SYBR,,Unkn,,22.4682833367236,NaN
,B10,SYBR,,Unkn,,23.0223911289207,NaN
,B11,SYBR,,Unkn,,19.1973752145419,NaN
,B12,SYBR,,Unkn,,18.7334263867701,NaN
,B13,SYBR,,Unkn,,NaN,NaN
,B14,SYBR,,Unkn,,NaN,NaN
,B15,SYBR,,Unkn,,NaN,NaN
,B16,SYBR,,Unkn,,NaN,NaN
,B17,SYBR,,Unkn,,NaN,NaN
,B18,SYBR,,Unkn,,NaN,NaN
,B19,SYBR,,Unkn,,NaN,NaN
,B20,SYBR,,Unkn,,NaN,NaN
,B21,SYBR,,Unkn,,NaN,NaN
,B22,SYBR,,Unkn,,NaN,NaN
