Biol_Rep,Tech_Rep,Treatment,Time,Dose,Well,Gene,Cq
1,1,L,6,low,A01,Cxcl2,21.44835425
1,2,L,6,low,A02,Cxcl2,21.44258889
1,1,S,6,low,A03,Cxcl2,23.48058984
1,2,S,6,low,A04,Cxcl2,23.28253125
1,1,LS,6,low,A05,Cxcl2,23.36280113
1,2,LS,6,low,A06,Cxcl2,22.02984246
1,1,L,2,low,A07,Cxcl2,22.82209177
1,2,L,2,low,A08,Cxcl2,22.18334997
1,1,S,2,low,A09,Cxcl2,23.28780762
1,2,S,2,low,A10,Cxcl2,23.32573571
1,1,LS,2,low,A11,Cxcl2,22.45433891
1,2,LS,2,low,A12,Cxcl2,22.22045713
2,1,L,6,low,A13,Cxcl2,22.21825569
2,2,L,6,low,A14,Cxcl2,22.12227993
2,1,S,6,low,A15,Cxcl2,27.271139
2,2,S,6,low,A16,Cxcl2,27.02208499
2,1,LS,6,low,A17,Cxcl2,22.20000471
2,2,LS,6,low,A18,Cxcl2,22.15417325
2,1,L,2,low,A19,Cxcl2,21.30404628
2,2,L,2,low,A20,Cxcl2,21.24508847
2,2,S,2,low,A22,Cxcl2,26.95000416
2,2,LS,2,low,A24,Cxcl2,21.80737024
1,1,L,6,med,B01,Cxcl2,21.73028758
1,2,L,6,med,B02,Cxcl2,21.30401614
1,1,S,6,med,B03,Cxcl2,23.97266145
1,2,S,6,med,B04,Cxcl2,23.74336492
1,1,LS,6,med,B05,Cxcl2,21.72667831
1,2,LS,6,med,B06,Cxcl2,21.79072045
1,1,L,2,med,B07,Cxcl2,20.75346365
1,2,L,2,med,B08,Cxcl2,20.76878174
1,1,S,2,med,B09,Cxcl2,23.71859996
1,2,S,2,med,B10,Cxcl2,23.71732715
1,1,LS,2,med,B11,Cxcl2,20.54236992
1,2,LS,2,med,B12,Cxcl2,20.1503271
2,1,L,6,med,B13,Cxcl2,20.69897293
2,2,L,6,med,B14,Cxcl2,20.55086166
2,1,S,6,med,B15,Cxcl2,22.91351094
2,2,S,6,med,B16,Cxcl2,22.94548903
2,1,LS,6,med,B17,Cxcl2,20.28260494
2,2,LS,6,med,B18,Cxcl2,20.48852066
2,1,L,2,med,B19,Cxcl2,19.54118091
2,2,L,2,med,B20,Cxcl2,19.5736247
2,2,S,2,med,B22,Cxcl2,27.1246622
2,1,LS,2,med,B23,Cxcl2,23.50386352
1,1,L,6,high,C01,Cxcl2,20.04134131
1,2,L,6,high,C02,Cxcl2,19.8019258
1,1,S,6,high,C03,Cxcl2,23.18032406
1,2,S,6,high,C04,Cxcl2,23.76710701
1,1,LS,6,high,C05,Cxcl2,20.10605464
1,2,LS,6,high,C06,Cxcl2,20.05814281
1,1,L,2,high,C07,Cxcl2,18.27248797
1,2,L,2,high,C08,Cxcl2,19.08517148
1,1,S,2,high,C09,Cxcl2,22.73911111
1,2,S,2,high,C10,Cxcl2,23.07110637
1,1,LS,2,high,C11,Cxcl2,18.26207481
1,2,LS,2,high,C12,Cxcl2,18.21011649
2,1,L,6,high,C13,Cxcl2,19.3444383
2,2,L,6,high,C14,Cxcl2,19.40421329
2,1,S,6,high,C15,Cxcl2,23.40946492
2,2,S,6,high,C16,Cxcl2,23.35286615
2,1,LS,6,high,C17,Cxcl2,20.42228719
2,2,LS,6,high,C18,Cxcl2,20.48455964
2,1,L,2,high,C19,Cxcl2,18.21183034
2,2,L,2,high,C20,Cxcl2,21.45688763
2,1,S,2,high,C21,Cxcl2,22.66604099
2,1,LS,2,high,C23,Cxcl2,19.16427523
2,2,LS,2,high,C24,Cxcl2,18.69184005
1,1,Control,0,none,D01,Cxcl2,22.3416413
1,2,Control,0,none,D02,Cxcl2,22.52486968
2,1,Control,0,none,D03,Cxcl2,22.47856773
2,2,Control,0,none,D04,Cxcl2,22.24534286
3,1,Control,0,none,D05,Cxcl2,22.20102183
3,2,Control,0,none,D06,Cxcl2,22.21458986
1,1,L,6,low,E01,Il6,24.75522413
1,2,L,6,low,E02,Il6,24.84947576
1,1,S,6,low,E03,Il6,27.43342846
1,2,S,6,low,E04,Il6,27.5964374
1,1,LS,6,low,E05,Il6,27.18226793
1,2,LS,6,low,E06,Il6,26.98441436
1,1,L,2,low,E07,Il6,26.87813502
1,2,L,2,low,E08,Il6,26.71613816
1,1,S,2,low,E09,Il6,28.74598729
1,2,S,2,low,E10,Il6,28.48838203
1,1,LS,2,low,E11,Il6,27.47392667
1,2,LS,2,low,E12,Il6,27.31181024
2,1,L,6,low,E13,Il6,27.11966981
2,2,L,6,low,E14,Il6,27.08124187
2,1,S,6,low,E15,Il6,27.68499385
2,2,S,6,low,E16,Il6,27.58664657
2,1,LS,6,low,E17,Il6,26.93763868
2,2,LS,6,low,E18,Il6,26.9413542
2,1,L,2,low,E19,Il6,25.35866063
2,2,L,2,low,E20,Il6,25.37391388
2,1,LS,2,low,E23,Il6,26.35885026
2,2,LS,2,low,E24,Il6,26.85119529
1,1,L,6,med,F01,Il6,22.06891074
1,2,L,6,med,F02,Il6,22.16750065
1,1,S,6,med,F03,Il6,25.59079935
1,2,S,6,med,F04,Il6,25.54123336
1,1,LS,6,med,F05,Il6,20.71309195
1,2,LS,6,med,F06,Il6,20.672992
1,1,L,2,med,F07,Il6,21.3059943
1,2,L,2,med,F08,Il6,22.96241987
1,1,S,2,med,F09,Il6,26.59347662
