,Well,Fluor,Target,Content,Sample,Cq,SQ
,A01,SYBR,,Unkn,,26.4497901029221,NaN
,A02,SYBR,,Unkn,,26.6936922501456,NaN
,A03,SYBR,,Unkn,,28.5086412115051,NaN
,A04,SYBR,,Unkn,,28.3524317801615,NaN
,A05,SYBR,,Unkn,,28.396155438299,NaN
,A06,SYBR,,Unkn,,27.9067669489094,NaN
,A07,SYBR,,Unkn,,30.4157816386475,NaN
,A08,SYBR,,Unkn,,29.5620882703653,NaN
,A09,SYBR,,Unkn,,30.7143007413347,NaN
,A10,SYBR,,Unkn,,30.7842212941597,NaN
,A11,SYBR,,Unkn,,30.4442241727931,NaN
,A12,SYBR,,Unkn,,30.2173395123156,NaN
,A13,SYBR,,Unkn,,NaN,NaN
,A14,SYBR,,Unkn,,NaN,NaN
,A15,SYBR,,Unkn,,NaN,NaN
,A16,SYBR,,Unkn,,NaN,NaN
,A17,SYBR,,Unkn,,NaN,NaN
,A18,SYBR,,Unkn,,NaN,NaN
,A19,SYBR,,Unkn,,NaN,NaN
,A20,SYBR,,Unkn,,NaN,NaN
,A21,SYBR,,Unkn,,NaN,NaN
,A22,SYBR,,Unkn,,NaN,NaN
,A23,SYBR,,Unkn,,NaN,NaN
,A24,SYBR,,Unkn,,NaN,NaN
,B01,SYBR,,Unkn,,27.3699381681662,NaN
,B02,SYBR,,Unkn,,27.5894563384254,NaN
,B03,SYBR,,Unkn,,28.0260870769123,NaN
,B04,SYBR,,Unkn,,28.2827327995986,NaN
,B05,SYBR,,Unkn,,27.7657672155722,NaN
,B06,SYBR,,Unkn,,27.8745686213729,NaN
,B07,SYBR,,Unkn,,28.6355852809549,NaN
,B08,SYBR,,Unkn,,27.9205416535361,NaN
,B09,SYBR,,Unkn,,28.8703844650333,NaN
,B10,SYBR,,Unkn,,29.4035941436067,NaN
,B11,SYBR,,Unkn,,28.4619868941894,NaN
,B12,SYBR,,Unkn,,28.6314065547596,NaN
,B13,SYBR,,Unkn,,NaN,NaN
