Well,Cq,Oligo,Target
A01,24.15320998,g1,Ctu1
A02,27.37007211,g1,Ctu1
A03,27.6263005,g2,Ctu1
A04,26.59388109,g2,Ctu1
A05,27.35540683,g3,Ctu1
A06,26.95763975,g3,Ctu1
A07,27.35160333,g4,Ctu1
A08,26.88475397,g4,Ctu1
A09,27.11277939,g5,Ctu1
A10,27.11844738,g5,Ctu1
A11,27.84575239,s1,Ctu1
A12,27.99569364,s1,Ctu1
A13,27.94736313,s2,Ctu1
A14,27.59969209,s2,Ctu1
A15,27.81604797,s3,Ctu1
A16,27.91683074,s3,Ctu1
A17,27.64616657,s4,Ctu1
A18,27.32853015,s4,Ctu1
B01,25.08377301,g1,Ctu1
B02,27.31905465,g1,Ctu1
B03,26.6554519,g2,Ctu1
B04,27.02347942,g2,Ctu1
B05,27.1969038,g3,Ctu1
B06,27.2710852,g3,Ctu1
B07,26.86168863,g4,Ctu1
B08,27.55767879,g4,Ctu1
B09,27.55063103,g5,Ctu1
B10,27.72739352,g5,Ctu1
B11,28.02180881,s1,Ctu1
B12,27.99132182,s1,Ctu1
B13,27.42611045,s2,Ctu1
B14,27.77830446,s2,Ctu1
B15,27.49762872,s3,Ctu1
B16,27.59752557,s3,Ctu1
B17,27.85376249,s4,Ctu1
B18,28.26394683,s4,Ctu1
C01,24.69525318,g1,Ctu2
C02,24.8754785,g1,Ctu2
C03,23.97777742,g2,Ctu2
C04,24.22816484,g2,Ctu2
C05,23.92424349,g3,Ctu2
C06,24.33855294,g3,Ctu2
C07,22.54573009,g4,Ctu2
C08,23.25870569,g4,Ctu2
C09,22.29269908,g5,Ctu2
C10,23.14979701,g5,Ctu2
C11,22.85445284,s1,Ctu2
C12,23.88329057,s1,Ctu2
C13,23.11564269,s2,Ctu2
C14,24.12124305,s2,Ctu2
C15,23.87444965,s3,Ctu2
C16,24.25870914,s3,Ctu2
C17,23.39351872,s4,Ctu2
C18,23.9597537,s4,Ctu2
C19,23.81206502,s5,Ctu2
C20,24.44960771,s5,Ctu2
D01,26.00031394,g1,Ctu2
D02,25.70436308,g1,Ctu2
D03,24.33843167,g2,Ctu2
D04,24.23383295,g2,Ctu2
D05,24.67682895,g3,Ctu2
D06,24.3601592,g3,Ctu2
D07,23.50643104,g4,Ctu2
D08,23.52028122,g4,Ctu2
D09,23.36547419,g5,Ctu2
D10,23.27815013,g5,Ctu2
D11,24.40344578,s1,Ctu2
D12,24.26549624,s1,Ctu2
D13,24.38588122,s2,Ctu2
D14,24.36152606,s2,Ctu2
D15,24.5767954,s3,Ctu2
D16,24.35894953,s3,Ctu2
D17,24.2344439,s4,Ctu2
D18,24.1574679,s4,Ctu2
