,Well,Fluor,Target,Content,Sample,Cq,SQ
,A01,SYBR,,Unkn,,27.5287238507185,NaN
,A02,SYBR,,Unkn,,29.8504266209659,NaN
,A03,SYBR,,Unkn,,24.5239400680825,NaN
,A04,SYBR,,Unkn,,30.3436271195517,NaN
,A05,SYBR,,Unkn,,28.0392606839369,NaN
,A06,SYBR,,Unkn,,28.9047848902686,NaN
,A07,SYBR,,Unkn,,28.0101993822542,NaN
,A08,SYBR,,Unkn,,29.4233958073498,NaN
,A09,SYBR,,Unkn,,28.5565827388231,NaN
,A10,SYBR,,Unkn,,25.9961111376435,NaN
,A11,SYBR,,Unkn,,28.5330118788395,NaN
,A12,SYBR,,Unkn,,30.9600653941886,NaN
,A13,SYBR,,Unkn,,29.9313144051291,NaN
,A14,SYBR,,Unkn,,30.0514944582967,NaN
,A15,SYBR,,Unkn,,30.3019700592736,NaN
,A16,SYBR,,Unkn,,28.6630768704791,NaN
,A17,SYBR,,Unkn,,28.8864560117452,NaN
,A18,SYBR,,Unkn,,27.9712151394204,NaN
,A19,SYBR,,Unkn,,33.2584903385061,NaN
,A20,SYBR,,Unkn,,32.8774334642978,NaN
,A21,SYBR,,Unkn,,NaN,NaN
,A22,SYBR,,Unkn,,NaN,NaN
,A23,SYBR,,Unkn,,NaN,NaN
,A24,SYBR,,Unkn,,NaN,NaN
,B01,SYBR,,Unkn,,28.9729988066353,NaN
,B02,SYBR,,Unkn,,28.0917579211479,NaN
,B03,SYBR,,Unkn,,27.0851777570718,NaN
,B04,SYBR,,Unkn,,30.3877321160379,NaN
,B05,SYBR,,Unkn,,28.1864673023807,NaN
,B06,SYBR,,Unkn,,27.3185413264114,NaN
,B07,SYBR,,Unkn,,29.0896651866143,NaN
,B08,SYBR,,Unkn,,29.084718845796,NaN
,B09,SYBR,,Unkn,,29.3293506818327,NaN
,B10,SYBR,,Unkn,,28.3023508614867,NaN
,B11,SYBR,,Unkn,,28.5320165811444,NaN
,B12,SYBR,,Unkn,,28.4715275639728,NaN
,B13,SYBR,,Unkn,,28.1800410219915,NaN
,B14,SYBR,,Unkn,,28.8521683323643,NaN
,B15,SYBR,,Unkn,,31.5086398123744,NaN
,B16,SYBR,,Unkn,,30.3189693705259,NaN
,B17,SYBR,,Unkn,,28.1690012502081,NaN
,B18,SYBR,,Unkn,,30.0963537352661,NaN
,B19,SYBR,,Unkn,,33.5174572549292,NaN
,B20,SYBR,,Unkn,,32.7061113445639,NaN
,B21,SYBR,,Unkn,,NaN,NaN
,B22,SYBR,,Unkn,,NaN,NaN
,B23,SYBR,,Unkn,,NaN,NaN
,B24,SYBR,,Unkn,,NaN,NaN
,C01,SYBR,,Unkn,,28.9747256509491,NaN
,C02,SYBR,,Unkn,,29.008358997286,NaN
,C03,SYBR,,Unkn,,28.7856247552791,NaN
,C04,SYBR,,Unkn,,27.6923386582706,NaN
,C05,SYBR,,Unkn,,27.9519529209351,NaN
,C06,SYBR,,Unkn,,27.6280558161273,NaN
,C07,SYBR,,Unkn,,27.3334989382268,NaN
,C08,SYBR,,Unkn,,27.1318748107189,NaN
,C09,SYBR,,Unkn,,27.9424393916751,NaN
,C10,SYBR,,Unkn,,27.2410538824561,NaN
,C11,SYBR,,Unkn,,28.0236156234956,NaN
,C12,SYBR,,Unkn,,27.9706257566336,NaN
,C13,SYBR,,Unkn,,28.3445920474138,NaN
,C14,SYBR,,Unkn,,28.2875344738458,NaN
,C15,SYBR,,Unkn,,28.749840478903,NaN
,C16,SYBR,,Unkn,,28.9091862654165,NaN
,C17,SYBR,,Unkn,,26.6466486783516,NaN
,C18,SYBR,,Unkn,,28.0256758081982,NaN
,C19,SYBR,,Unkn,,28.7186030382096,NaN
,C20,SYBR,,Unkn,,28.6376236991613,NaN
,C21,SYBR,,Unkn,,NaN,NaN
,C22,SYBR,,Unkn,,NaN,NaN
,C23,SYBR,,Unkn,,NaN,NaN
,C24,SYBR,,Unkn,,NaN,NaN
,D01,SYBR,,Unkn,,28.784154245985,NaN
,D02,SYBR,,Unkn,,28.6073720531665,NaN
,D03,SYBR,,Unkn,,28.3659609034366,NaN
,D04,SYBR,,Unkn,,28.52250701398,NaN
,D05,SYBR,,Unkn,,28.0349633987254,NaN
,D06,SYBR,,Unkn,,28.2782368287122,NaN
,D07,SYBR,,Unkn,,27.3457653339881,NaN
,D08,SYBR,,Unkn,,28.2046572520967,NaN
,D09,SYBR,,Unkn,,27.3719062431645,NaN
,D10,SYBR,,Unkn,,27.4671138682987,NaN
,D11,SYBR,,Unkn,,28.05330610968,NaN
,D12,SYBR,,Unkn,,28.3846438518745,NaN
,D13,SYBR,,Unkn,,28.4493883079389,NaN
,D14,SYBR,,Unkn,,28.2162698005727,NaN
,D15,SYBR,,Unkn,,28.8163597744951,NaN
,D16,SYBR,,Unkn,,28.8339664238252,NaN
,D17,SYBR,,Unkn,,28.3787342360978,NaN
,D18,SYBR,,Unkn,,28.2631144133351,NaN
,D19,SYBR,,Unkn,,29.4217693675703,NaN
,D20,SYBR,,Unkn,,27.2184361809634,NaN
,D21,SYBR,,Unkn,,NaN,NaN
,D22,SYBR,,Unkn,,NaN,NaN
,D23,SYBR,,Unkn,,NaN,NaN
,D24,SYBR,,Unkn,,NaN,NaN
,E01,SYBR,,Unkn,,29.0911451627038,NaN
,E02,SYBR,,Unkn,,29.0144165462818,NaN
,E03,SYBR,,Unkn,,30.1436788576667,NaN
,E04,SYBR,,Unkn,,29.1196551337541,NaN
,E05,SYBR,,Unkn,,25.4087927153509,NaN
,E06,SYBR,,Unkn,,28.141461027281,NaN
,E07,SYBR,,Unkn,,30.2373647619146,NaN
,E08,SYBR,,Unkn,,28.7413620348394,NaN
,E09,SYBR,,Unkn,,31.9610237423146,NaN
,E10,SYBR,,Unkn,,30.5132880808144,NaN
,E11,SYBR,,Unkn,,29.6294616038815,NaN
,E12,SYBR,,Unkn,,29.6242856446771,NaN
,E13,SYBR,,Unkn,,28.7703331748859,NaN
,E14,SYBR,,Unkn,,30.9453286610469,NaN
,E15,SYBR,,Unkn,,32.0280921480369,NaN
,E16,SYBR,,Unkn,,30.1424328749037,NaN
,E17,SYBR,,Unkn,,26.2058789014163,NaN
,E18,SYBR,,Unkn,,31.8500067630141,NaN
,E19,SYBR,,Unkn,,33.374464305798,NaN
,E20,SYBR,,Unkn,,33.7769197585115,NaN
,E21,SYBR,,Unkn,,NaN,NaN
,E22,SYBR,,Unkn,,NaN,NaN
,E23,SYBR,,Unkn,,NaN,NaN
,E24,SYBR,,Unkn,,NaN,NaN
,F01,SYBR,,Unkn,,28.4243153309165,NaN
,F02,SYBR,,Unkn,,30.2018680991395,NaN
,F03,SYBR,,Unkn,,30.0726496458595,NaN
,F04,SYBR,,Unkn,,30.5565661345928,NaN
,F05,SYBR,,Unkn,,27.4776372242206,NaN
,F06,SYBR,,Unkn,,28.7146484306603,NaN
,F07,SYBR,,Unkn,,27.9158059560921,NaN
,F08,SYBR,,Unkn,,30.8438449346812,NaN
,F09,SYBR,,Unkn,,28.1645980263012,NaN
,F10,SYBR,,Unkn,,30.5515428168173,NaN
,F11,SYBR,,Unkn,,29.3860107727723,NaN
,F12,SYBR,,Unkn,,30.4741675193716,NaN
,F13,SYBR,,Unkn,,30.4275428369268,NaN
,F14,SYBR,,Unkn,,32.2386871740956,NaN
,F15,SYBR,,Unkn,,31.9269753169608,NaN
,F16,SYBR,,Unkn,,29.6831322437851,NaN
,F17,SYBR,,Unkn,,32.447343690643,NaN
,F18,SYBR,,Unkn,,30.161679263633,NaN
,F19,SYBR,,Unkn,,33.0746973372809,NaN
,F20,SYBR,,Unkn,,33.0111808777875,NaN
,F21,SYBR,,Unkn,,NaN,NaN
,F22,SYBR,,Unkn,,NaN,NaN
,F23,SYBR,,Unkn,,NaN,NaN
,F24,SYBR,,Unkn,,NaN,NaN
,G01,SYBR,,Unkn,,28.1658225523769,NaN
,G02,SYBR,,Unkn,,27.5553562807003,NaN
,G03,SYBR,,Unkn,,28.3673467257356,NaN
,G04,SYBR,,Unkn,,26.6197011836352,NaN
,G05,SYBR,,Unkn,,27.261705164921,NaN
,G06,SYBR,,Unkn,,27.4462468461498,NaN
,G07,SYBR,,Unkn,,27.4758789421905,NaN
,G08,SYBR,,Unkn,,28.0119020153663,NaN
,G09,SYBR,,Unkn,,33.3989761508647,NaN
,G10,SYBR,,Unkn,,35.0618149998062,NaN
,G11,SYBR,,Unkn,,27.8875187530705,NaN
,G12,SYBR,,Unkn,,27.5998027364747,NaN
,G13,SYBR,,Unkn,,35.1515570223547,NaN
,G14,SYBR,,Unkn,,32.6982445725701,NaN
,G15,SYBR,,Unkn,,34.8593037397368,NaN
,G16,SYBR,,Unkn,,29.7652482389276,NaN
,G17,SYBR,,Unkn,,34.1654878254262,NaN
,G18,SYBR,,Unkn,,32.4847855090409,NaN
,G19,SYBR,,Unkn,,35.9642099756084,NaN
,G20,SYBR,,Unkn,,29.5369323034404,NaN
,G21,SYBR,,Unkn,,NaN,NaN
,G22,SYBR,,Unkn,,NaN,NaN
,G23,SYBR,,Unkn,,NaN,NaN
,G24,SYBR,,Unkn,,NaN,NaN
,H01,SYBR,,Unkn,,29.2989787768866,NaN
