,Oligo,Target,gene,Bio_Rep,Target_oligo,Tech_Rep_1,Tech_Rep_2,Avg_Cq,,,
,,,,,,,,,,,
1,g1,Ctu1,Ctu1,1,Ctu1_g1,27.52872385,29.85042662,28.68958,2.30981E-09,,
2,g2,Ctu1,Ctu1,1,Ctu1_g2,24.52394007,30.34362712,27.43378,5.51581E-09,,
3,g3,Ctu1,Ctu1,1,Ctu1_g3,28.03926068,28.90478489,28.47202,2.68576E-09,,
4,g4,Ctu1,Ctu1,1,Ctu1_g4,28.01019938,29.42339581,28.7168,2.26664E-09,,
5,g5,Ctu1,Ctu1,1,Ctu1_g5,28.55658274,25.99611114,27.27635,6.15178E-09,,
6,sh1,Ctu1,Ctu1,1,Ctu1_sh1,28.53301188,30.96006539,29.74654,1.11019E-09,,
7,sh2,Ctu1,Ctu1,1,Ctu1_sh2,29.93131441,30.05149446,29.9914,9.36891E-10,,
8,sh3,Ctu1,Ctu1,1,Ctu1_sh3,30.30197006,28.66307687,29.48252,1.33314E-09,,
9,sh4,Ctu1,Ctu1,1,Ctu1_sh4,28.88645601,27.97121514,28.42884,2.76736E-09,,
10,g1,Ctu1,Ctu1,2,Ctu1_g1,28.97299881,28.09175792,28.53238,2.57571E-09,,
11,g2,Ctu1,Ctu1,2,Ctu1_g2,27.08517776,30.38773212,28.73645,2.23597E-09,,
12,g3,Ctu1,Ctu1,2,Ctu1_g3,28.1864673,27.31854133,27.7525,4.42247E-09,,
13,g4,Ctu1,Ctu1,2,Ctu1_g4,29.08966519,29.08471885,29.08719,1.75341E-09,,
14,g5,Ctu1,Ctu1,2,Ctu1_g5,29.32935068,28.30235086,28.81585,2.11624E-09,,
15,sh1,Ctu1,Ctu1,2,Ctu1_sh1,28.53201658,28.47152756,28.50177,2.63095E-09,,
16,sh2,Ctu1,Ctu1,2,Ctu1_sh2,28.18004102,28.85216833,28.5161,2.60494E-09,,
17,sh3,Ctu1,Ctu1,2,Ctu1_sh3,31.50863981,30.31896937,30.9138,4.94332E-10,,
18,sh4,Ctu1,Ctu1,2,Ctu1_sh4,28.16900125,30.09635374,29.13268,1.69898E-09,,
19,g1,Ctu2,Ctu2,1,Ctu2_g1,28.97472565,29.008359,28.99154,1.8736E-09,,
20,g2,Ctu2,Ctu2,1,Ctu2_g2,28.78562476,27.69233866,28.23898,3.1566E-09,,
21,g3,Ctu2,Ctu2,1,Ctu2_g3,27.95195292,27.62805582,27.79,4.309E-09,,
22,g4,Ctu2,Ctu2,1,Ctu2_g4,27.33349894,27.13187481,27.23269,6.34079E-09,,
23,g5,Ctu2,Ctu2,1,Ctu2_g5,27.94243939,27.24105388,27.59175,4.94374E-09,,
24,sh1,Ctu2,Ctu2,1,Ctu2_sh1,28.02361562,27.97062576,27.99712,3.73273E-09,,
25,sh2,Ctu2,Ctu2,1,Ctu2_sh2,28.34459205,28.28753447,28.31606,2.99238E-09,,
26,sh3,Ctu2,Ctu2,1,Ctu2_sh3,28.74984048,28.90918627,28.82951,2.0963E-09,,
27,sh4,Ctu2,Ctu2,1,Ctu2_sh4,26.64664868,28.02567581,27.33616,5.90195E-09,,
28,sh5,Ctu2,Ctu2,1,Ctu2_sh5,28.71860304,28.6376237,28.67811,2.32824E-09,,
29,g1,Ctu2,Ctu2,2,Ctu2_g1,28.78415425,28.60737205,28.69576,2.29993E-09,,
30,g2,Ctu2,Ctu2,2,Ctu2_g2,28.3659609,28.52250701,28.44423,2.738E-09,,
31,g3,Ctu2,Ctu2,2,Ctu2_g3,28.0349634,28.27823683,28.1566,3.3421E-09,,
32,g4,Ctu2,Ctu2,2,Ctu2_g4,27.34576533,28.20465725,27.77521,4.3534E-09,,
33,g5,Ctu2,Ctu2,2,Ctu2_g5,27.37190624,27.46711387,27.41951,5.57064E-09,,
34,sh1,Ctu2,Ctu2,2,Ctu2_sh1,28.05330611,28.38464385,28.21897,3.20069E-09,,
35,sh2,Ctu2,Ctu2,2,Ctu2_sh2,28.44938831,28.2162698,28.33283,2.9578E-09,,
36,sh3,Ctu2,Ctu2,2,Ctu2_sh3,28.81635977,28.83396642,28.82516,2.10263E-09,,
37,sh4,Ctu2,Ctu2,2,Ctu2_sh4,28.37873424,28.26311441,28.32092,2.98232E-09,,
38,sh5,Ctu2,Ctu2,2,Ctu2_sh5,29.42176937,27.21843618,28.3201,2.98401E-09,,
39,g1,Scr,Ctu1,1,Scr_g1,29.09114516,29.01441655,29.05278,1.79573E-09,,
40,g2,Scr,Ctu1,1,Scr_g2,30.14367886,29.11965513,29.63167,1.2022E-09,,
41,g3,Scr,Ctu1,1,Scr_g3,25.40879272,28.14146103,26.77513,8.70728E-09,,
42,g1,Myd88,Ctu1,1,Myd88_g1,30.23736476,28.74136203,29.48936,1.32684E-09,,
43,,None,Ctu1,1,None,"c(31.96102374,Ê26.2058789)","c(30.51328808,Ê31.85000676)",30.13255,8.49569E-10,,
44,sh1,Scr,Ctu1,1,Scr_sh1,29.6294616,29.62428564,29.62687,1.20621E-09,,
45,sh2,Scr,Ctu1,1,Scr_sh2,28.77033317,30.94532866,29.85783,1.02777E-09,,
46,sh3,Scr,Ctu1,1,Scr_sh3,32.02809215,30.14243287,31.08526,4.38939E-10,,
47,g1,Scr,Ctu1,2,Scr_g1,28.42431533,30.2018681,29.31309,1.49927E-09,,
48,g2,Scr,Ctu1,2,Scr_g2,30.07264965,30.55656613,30.31461,7.48847E-10,,
49,g3,Scr,Ctu1,2,Scr_g3,27.47763722,28.71464843,28.09614,3.48513E-09,,
50,g1,Myd88,Ctu1,2,Myd88_g1,27.91580596,30.84384493,29.37983,1.4315E-09,,
