Well,Gene,Target,Oligo,Bio_Rep,Cq,,,,,,,
A01,Ctu1,Ctu1,sh4,1,28.55,,,,,,,
A02,Ctu1,Ctu1,sh4,1,28.08,,,,,,,
A03,Ctu1,Ctu1,sh4,2,28.67,,,,,,,
A04,Ctu1,Ctu1,sh4,2,27.60,,,,,,,
A05,Ctu1,Ctu2,sh4,1,26.90,,,,,,,
A06,Ctu1,Ctu2,sh4,1,28.41,,,,,,,
A07,Ctu1,Ctu2,sh4,2,27.75,,,,,,,
A08,Ctu1,Ctu2,sh4,2,27.82,,,,,,,
A09,Ctu1,None,,1,26.18,,,,,,,
A10,Ctu1,None,,1,29.60,,,,,,,
A11,Ctu1,None,,2,29.13,,,,,,,
A12,Ctu1,None,,2,28.69,,,,,,,
A13,Gapdh,Ctu1,sh4,1,16.74,,,,,,,
A14,Gapdh,Ctu1,sh4,1,17.07,,,,,,,
A15,Gapdh,Ctu1,sh4,2,16.88,,,,,,,
A16,Gapdh,Ctu1,sh4,2,17.25,,,,,,,
A17,Gapdh,Ctu2,sh4,1,17.75,,,,,,,
A18,Gapdh,Ctu2,sh4,1,17.82,,,,,,,
A19,Gapdh,Ctu2,sh4,2,16.76,,,,,,,
A20,Gapdh,Ctu2,sh4,2,16.45,,,,,,,
A21,Gapdh,None,,1,26.78,,,,,,,
A22,Gapdh,None,,1,26.43,,,,,,,
A23,Gapdh,None,,2,27.72,,,,,,,
A24,Gapdh,None,,2,24.45,,,,,,,
B01,Ctu1,Ctu1,sh3,1,27.34,,,,,,,
B02,Ctu1,Ctu1,sh3,1,28.04,,,,,,,
B03,Ctu1,Ctu1,sh3,2,28.69,,,,,,,
B04,Ctu1,Ctu1,sh3,2,28.88,,,,,,,
B05,Ctu1,Ctu2,sh3,1,28.05,,,,,,,
B06,Ctu1,Ctu2,sh3,1,28.73,,,,,,,
B07,Ctu1,Ctu2,sh3,2,29.11,,,,,,,
B08,Ctu1,Ctu2,sh3,2,29.32,,,,,,,
B09,Ctu1,Scr,sh3,1,28.29,,,,,,,
B10,Ctu1,Scr,sh3,1,29.46,,,,,,,
B11,Ctu1,Scr,sh3,2,29.26,,,,,,,
B12,Ctu1,Scr,sh3,2,27.80,,,,,,,
B13,Gapdh,Ctu1,sh3,1,19.53,,,,,,,
B14,Gapdh,Ctu1,sh3,1,19.12,,,,,,,
B15,Gapdh,Ctu1,sh3,2,18.10,,,,,,,
B16,Gapdh,Ctu1,sh3,2,18.16,,,,,,,
