Well,Gene,Target,Oligo,Bio_Rep,Treatment,Cq,,,
A01,Ctu1,Ctu1,sh4,1,Unstim,30.54609548,,,
A02,Ctu1,Ctu1,sh4,1,Unstim,33.5912424,,,
A05,Ctu1,Ctu2,sh4,1,Unstim,31.44934494,,,
A06,Ctu1,Ctu2,sh4,1,Unstim,33.25508879,,,
A07,Ctu1,Ctu2,sh4,2,Unstim,30.79233277,,,
A08,Ctu1,Ctu2,sh4,2,Unstim,31.28405551,,,
A09,Ctu1,None,,1,Unstim,34.58182761,,,
A10,Ctu1,None,,1,Unstim,32.32614804,,,
A11,Ctu1,None,,2,Unstim,30.27215156,,,
A12,Ctu1,None,,2,Unstim,30.48139158,,,
A13,Gapdh,Ctu1,sh4,1,Unstim,20.25537237,,,
A14,Gapdh,Ctu1,sh4,1,Unstim,20.82355024,,,
A17,Gapdh,Ctu2,sh4,1,Unstim,22.11217322,,,
A18,Gapdh,Ctu2,sh4,1,Unstim,22.24419545,,,
A19,Gapdh,Ctu2,sh4,2,Unstim,20.56513649,,,
A20,Gapdh,Ctu2,sh4,2,Unstim,20.40282691,,,
A21,Gapdh,None,,1,Unstim,29.73223649,,,
A22,Gapdh,None,,1,Unstim,29.98635135,,,
A23,Gapdh,None,,2,Unstim,31.60566251,,,
A24,Gapdh,None,,2,Unstim,32.02947714,,,
B01,Ctu1,Ctu1,sh3,1,Unstim,32.59523963,,,
B02,Ctu1,Ctu1,sh3,1,Unstim,30.58050897,,,
B05,Ctu1,Ctu2,sh3,1,Unstim,31.95806889,,,
B06,Ctu1,Ctu2,sh3,1,Unstim,31.59740264,,,
B07,Ctu1,Ctu2,sh3,2,Unstim,31.42316785,,,
B08,Ctu1,Ctu2,sh3,2,Unstim,30.18914521,,,
B09,Ctu1,Scr,sh3,1,Unstim,30.08043511,,,
B10,Ctu1,Scr,sh3,1,Unstim,30.48442264,,,
B11,Ctu1,Scr,sh3,2,Unstim,31.01373768,,,
B12,Ctu1,Scr,sh3,2,Unstim,34.56721579,,,
B13,Gapdh,Ctu1,sh3,1,Unstim,20.68371718,,,
B14,Gapdh,Ctu1,sh3,1,Unstim,19.44721903,,,
B17,Gapdh,Ctu2,sh3,1,Unstim,21.90695619,,,
B18,Gapdh,Ctu2,sh3,1,Unstim,20.23619109,,,
B19,Gapdh,Ctu2,sh3,2,Unstim,20.1846323,,,
B20,Gapdh,Ctu2,sh3,2,Unstim,19.11902291,,,
B21,Gapdh,Scr,sh3,1,Unstim,30.64716285,,,
B22,Gapdh,Scr,sh3,1,Unstim,29.44179815,,,
B23,Gapdh,Scr,sh3,2,Unstim,29.8603157,,,
B24,Gapdh,Scr,sh3,2,Unstim,29.2547596,,,
C01,Ctu1,Ctu1,sh2,1,Unstim,31.77569375,,,
C02,Ctu1,Ctu1,sh2,1,Unstim,31.48498541,,,
C05,Ctu1,Ctu2,sh2,1,Unstim,32.36025302,,,
C06,Ctu1,Ctu2,sh2,1,Unstim,33.35318572,,,
C07,Ctu1,Ctu2,sh2,2,Unstim,33.38782969,,,
C08,Ctu1,Ctu2,sh2,2,Unstim,33.09183254,,,
C09,Ctu1,Scr,sh2,1,Unstim,31.41019637,,,
C10,Ctu1,Scr,sh2,1,Unstim,30.1193697,,,
C11,Ctu1,Scr,sh2,2,Unstim,30.58537941,,,
C12,Ctu1,Scr,sh2,2,Unstim,33.15423702,,,
C13,Gapdh,Ctu1,sh2,1,Unstim,19.46799922,,,
C14,Gapdh,Ctu1,sh2,1,Unstim,19.8449229,,,
C17,Gapdh,Ctu2,sh2,1,Unstim,20.93597116,,,
C18,Gapdh,Ctu2,sh2,1,Unstim,20.97589615,,,
C19,Gapdh,Ctu2,sh2,2,Unstim,20.34123993,,,
C20,Gapdh,Ctu2,sh2,2,Unstim,20.24557612,,,
C21,Gapdh,Scr,sh2,1,Unstim,29.16589491,,,
C22,Gapdh,Scr,sh2,1,Unstim,28.33726754,,,
C23,Gapdh,Scr,sh2,2,Unstim,29.3131351,,,
C24,Gapdh,Scr,sh2,2,Unstim,29.40137099,,,
D01,Ctu1,Ctu1,sh1,1,Unstim,31.98108923,,,
D02,Ctu1,Ctu1,sh1,1,Unstim,31.10460515,,,
D05,Ctu1,Ctu2,sh1,1,Unstim,30.36624105,,,
D06,Ctu1,Ctu2,sh1,1,Unstim,30.7261958,,,
D07,Ctu1,Ctu2,sh1,2,Unstim,31.33713233,,,
D08,Ctu1,Ctu2,sh1,2,Unstim,32.71271701,,,
D09,Ctu1,Empty,sh1,1,Unstim,30.71705543,,,
D10,Ctu1,Empty,sh1,1,Unstim,30.40648342,,,
D11,Ctu1,Empty,sh1,2,Unstim,32.08855063,,,
D12,Ctu1,Empty,sh1,2,Unstim,32.89940795,,,
D13,Gapdh,Ctu1,sh1,1,Unstim,21.58987925,,,
