Well,Gene,Target,Oligo,Bio_Rep,Cq,Repeat_values
A01,Ctu1,Ctu1,sh4,1,31.62594376,
A02,Ctu1,Ctu1,sh4,1,32.91460428,
A03,Ctu1,Ctu1,sh4,2,33.32990328,
A04,Ctu1,Ctu1,sh4,2,32.15039007,
A05,Ctu1,Ctu2,sh4,1,33.66143243,
A06,Ctu1,Ctu2,sh4,1,31.54460565,
A07,Ctu1,Ctu2,sh4,2,34.04344007,
A08,Ctu1,Ctu2,sh4,2,32.0146473,
B01,Ctu1,Ctu1,sh3,1,34.4472103,
B02,Ctu1,Ctu1,sh3,1,33.07446079,
B03,Ctu1,Ctu1,sh3,2,33.45681985,
B04,Ctu1,Ctu1,sh3,2,32.62758701,
B05,Ctu1,Ctu2,sh3,1,35.62611197,
B06,Ctu1,Ctu2,sh3,1,34.14930338,
B07,Ctu1,Ctu2,sh3,2,34.46784144,
B08,Ctu1,Ctu2,sh3,2,33.26001465,
C01,Ctu1,Ctu1,sh2,1,33.85959141,
C02,Ctu1,Ctu1,sh2,1,33.0882539,
C03,Ctu1,Ctu1,sh2,2,35.00088915,
C04,Ctu1,Ctu1,sh2,2,33.69448121,
C05,Ctu1,Ctu2,sh2,1,32.85854066,
C06,Ctu1,Ctu2,sh2,1,33.41372976,
C07,Ctu1,Ctu2,sh2,2,34.50976547,
C08,Ctu1,Ctu2,sh2,2,32.28685782,
D01,Ctu1,Ctu1,sh1,1,33.18354848,
D02,Ctu1,Ctu1,sh1,1,34.82282013,
D03,Ctu1,Ctu1,sh1,2,35.1037394,
D04,Ctu1,Ctu1,sh1,2,34.167813,
D05,Ctu1,Ctu2,sh1,1,33.91949835,
D06,Ctu1,Ctu2,sh1,1,32.17335747,
D07,Ctu1,Ctu2,sh1,2,35.16805528,
D08,Ctu1,Ctu2,sh1,2,32.9491556,
D09,Ctu1,Empty,sh1,1,34.31408715,
D10,Ctu1,Empty,sh1,1,32.99139917,
D11,Ctu1,Empty,sh1,2,34.70175747,
D12,Ctu1,Empty,sh1,2,33.56886127,
E01,Ctu1,Ctu1,g5,1,34.11642786,
E02,Ctu1,Ctu1,g5,1,33.46256038,
E03,Ctu1,Ctu1,g5,2,32.65793018,
E04,Ctu1,Ctu1,g5,2,32.25878004,
E05,Ctu1,Ctu2,g5,1,33.46389075,
E06,Ctu1,Ctu2,g5,1,34.62092922,
E07,Ctu1,Ctu2,g5,2,33.31953723,
E08,Ctu1,Ctu2,g5,2,33.02844754,
F01,Ctu1,Ctu1,g4,1,33.48969222,
F02,Ctu1,Ctu1,g4,1,35.25076861,
F03,Ctu1,Ctu1,g4,2,32.86533987,
F04,Ctu1,Ctu1,g4,2,32.91304863,
F05,Ctu1,Ctu2,g4,1,33.69106826,
F07,Ctu1,Ctu2,g4,2,33.73125607,
F08,Ctu1,Ctu2,g4,2,34.40874856,
F09,Ctu1,Myd88,g1,1,35.40587932,
F10,Ctu1,Myd88,g1,1,35.16897828,
F11,Ctu1,Myd88,g1,2,33.55232309,
F12,Ctu1,Myd88,g1,2,34.16423243,
G01,Ctu1,Ctu1,g2,1,35.84896502,
G02,Ctu1,Ctu1,g2,1,39.37302656,
G03,Ctu1,Ctu1,g2,2,35.102247,
G04,Ctu1,Ctu1,g2,2,36.66618352,
G05,Ctu1,Ctu2,g3,1,36.28986432,
G06,Ctu1,Ctu2,g3,1,36.12908768,
G07,Ctu1,Ctu2,g3,2,35.01990319,
G08,Ctu1,Ctu2,g3,2,37.18349579,
G09,Ctu1,Scr,g2,1,38.03409231,
H01,Ctu1,Ctu1,g1,1,39.87937789,
H02,Ctu1,Ctu1,g1,1,34.85418577,
H03,Ctu1,Ctu1,g1,2,35.38865468,
H04,Ctu1,Ctu1,g1,2,39.61739474,
H05,Ctu1,Ctu2,g1,1,36.40996939,
H06,Ctu1,Ctu2,g1,1,38.2782021,
H07,Ctu1,Ctu2,g1,2,38.38521636,
H08,Ctu1,Ctu2,g1,2,39.71129494,
I01,Gapdh,Ctu1,sh4,1,20.49123232,
I02,Gapdh,Ctu1,sh4,1,20.43591622,
I03,Gapdh,Ctu1,sh4,2,20.49441569,
I04,Gapdh,Ctu1,sh4,2,21.18940513,
I05,Gapdh,Ctu2,sh4,1,21.31022926,
I06,Gapdh,Ctu2,sh4,1,21.64969549,
I07,Gapdh,Ctu2,sh4,2,20.06789823,
I08,Gapdh,Ctu2,sh4,2,20.25563147,
I09,Gapdh,None,,1,29.11539924,
I10,Gapdh,None,,1,30.89046968,
I11,Gapdh,None,,2,32.11000566,
I12,Gapdh,None,,2,32.22212822,
J01,Gapdh,Ctu1,sh3,1,22.66641493,
J02,Gapdh,Ctu1,sh3,1,22.77802225,
J03,Gapdh,Ctu1,sh3,2,20.99749647,
J04,Gapdh,Ctu1,sh3,2,21.63784048,
J05,Gapdh,Ctu2,sh3,1,21.47097623,
J06,Gapdh,Ctu2,sh3,1,22.73898428,
J07,Gapdh,Ctu2,sh3,2,20.92642948,
J08,Gapdh,Ctu2,sh3,2,21.62128417,
J09,Gapdh,Scr,sh3,1,30.73563482,
J10,Gapdh,Scr,sh3,1,31.64934157,
J11,Gapdh,Scr,sh3,2,30.76010256,
J12,Gapdh,Scr,sh3,2,32.30866259,
K01,Gapdh,Ctu1,sh2,1,21.86379594,
K02,Gapdh,Ctu1,sh2,1,21.65310103,
K03,Gapdh,Ctu1,sh2,2,21.44383254,
K04,Gapdh,Ctu1,sh2,2,22.14023349,
K05,Gapdh,Ctu2,sh2,1,21.15667717,
K06,Gapdh,Ctu2,sh2,1,21.83045221,
K07,Gapdh,Ctu2,sh2,2,20.35175983,
K08,Gapdh,Ctu2,sh2,2,21.95076771,
K09,Gapdh,Scr,sh2,1,29.64745208,
K10,Gapdh,Scr,sh2,1,29.19606526,
K11,Gapdh,Scr,sh2,2,29.30671602,
K12,Gapdh,Scr,sh2,2,30.20452988,
L01,Gapdh,Ctu1,sh1,1,22.30206309,
L02,Gapdh,Ctu1,sh1,1,22.62083668,
L03,Gapdh,Ctu1,sh1,2,21.81852603,
L04,Gapdh,Ctu1,sh1,2,22.92623226,
L05,Gapdh,Ctu2,sh1,1,20.36284144,
L06,Gapdh,Ctu2,sh1,1,21.40930311,
L07,Gapdh,Ctu2,sh1,2,20.62579132,
L08,Gapdh,Ctu2,sh1,2,21.86110025,
L09,Gapdh,Empty,sh1,1,20.7032135,
L10,Gapdh,Empty,sh1,1,22.64869443,
L11,Gapdh,Empty,sh1,2,21.64521566,
L12,Gapdh,Empty,sh1,2,23.6099816,
M01,Gapdh,Ctu1,g5,1,21.70214717,
M02,Gapdh,Ctu1,g5,1,21.81700502,
M03,Gapdh,Ctu1,g5,2,21.12421809,
M04,Gapdh,Ctu1,g5,2,21.3433234,
M05,Gapdh,Ctu2,g5,1,21.54851815,
M06,Gapdh,Ctu2,g5,1,21.66996802,
M07,Gapdh,Ctu2,g5,2,20.97516282,
M08,Gapdh,Ctu2,g5,2,21.68179098,
M09,Gapdh,None,,4,30.99220558,
M10,Gapdh,None,,4,31.98210595,
M11,Gapdh,None,,3,31.41664105,
M12,Gapdh,None,,3,32.20440635,
N01,Gapdh,Ctu1,g4,1,23.76909137,22.44906179
N02,Gapdh,Ctu1,g4,1,24.10728483,22.15411378
N03,Gapdh,Ctu1,g4,2,24.02504125,22.94589183
N04,Gapdh,Ctu1,g4,2,24.429108,23.05964042
N05,Gapdh,Ctu2,g4,1,34.07550615,21.43423761
N06,Gapdh,Ctu2,g4,1,33.36336787,21.56507451
N07,Gapdh,Ctu2,g4,2,24.99530752,22.91308371
N08,Gapdh,Ctu2,g4,2,25.73970479,23.08576895
N09,Gapdh,Myd88,g1,1,24.04205106,21.82314175
N10,Gapdh,Myd88,g1,1,24.19682794,21.63807532
N11,Gapdh,Myd88,g1,2,25.50610881,24.31141161
N12,Gapdh,Myd88,g1,2,26.84074944,24.42225452
O01,Gapdh,Ctu1,g2,1,30.51982602,30.35250932
O02,Gapdh,Ctu1,g2,1,30.80545666,30.42784642
O03,Gapdh,Ctu1,g2,2,29.34558622,28.38414177
O04,Gapdh,Ctu1,g2,2,30.11880054,28.00197682
O05,Gapdh,Ctu2,g3,1,31.86911144,30.09567634
O06,Gapdh,Ctu2,g3,1,32.10778393,30.63963327
O07,Gapdh,Ctu2,g3,2,29.99469115,28.79118224
O08,Gapdh,Ctu2,g3,2,30.85417401,28.66239111
O09,Gapdh,Scr,g2,1,31.42473114,29.76918955
O10,Gapdh,Scr,g2,1,31.43496521,30.1711523
O11,Gapdh,Scr,g2,2,31.08224624,29.14125778
O12,Gapdh,Scr,g2,2,32.17313518,30.1121484
P01,Gapdh,Ctu1,g1,1,31.51569375,29.94614372
P02,Gapdh,Ctu1,g1,1,31.6686413,
P03,Gapdh,Ctu1,g1,2,30.35156488,29.61600391
P04,Gapdh,Ctu1,g1,2,30.35926045,
P05,Gapdh,Ctu2,g1,1,29.20475559,27.12209726
P06,Gapdh,Ctu2,g1,1,30.45283821,
P07,Gapdh,Ctu2,g1,2,31.39244101,29.07259647
P08,Gapdh,Ctu2,g1,2,32.58243788,
P09,Gapdh,Scr,g1,1,32.00234163,30.92243216
P10,Gapdh,Scr,g1,1,32.78407947,
P11,Gapdh,Scr,g1,2,31.11770392,
P12,Gapdh,Scr,g1,2,32.14050089,
