Well,Gene,Target,Oligo,Bio_Rep,Treatment,Cq
A01,Ctu1,Ctu1,g1,1,None,28.73303796
A02,Ctu1,Ctu1,g1,1,None,28.85138013
A03,Ctu1,Ctu1,g2,1,None,28.20989728
A04,Ctu1,Ctu1,g2,1,None,28.19983999
A05,Ctu1,Ctu1,g4,1,None,28.08464497
A06,Ctu1,Ctu1,g4,1,None,28.14502397
A07,Ctu1,Ctu1,g5,1,None,28.36917513
A08,Ctu1,Ctu1,g5,1,None,28.23904446
A09,Ctu1,Ctu2,g1,1,None,27.91607798
A10,Ctu1,Ctu2,g1,1,None,28.01806854
A11,Ctu1,Ctu2,g3,1,None,28.86352096
A12,Ctu1,Ctu2,g3,1,None,28.93424993
A13,Ctu2,Ctu1,g1,1,None,27.11051672
A14,Ctu2,Ctu1,g1,1,None,27.80289116
A15,Ctu2,Ctu1,g2,1,None,25.84111093
A16,Ctu2,Ctu1,g2,1,None,26.85925125
A17,Ctu2,Ctu1,g4,1,None,27.0932056
A18,Ctu2,Ctu1,g4,1,None,27.43210221
A19,Ctu2,Ctu1,g5,1,None,27.01977936
A20,Ctu2,Ctu1,g5,1,None,27.32302759
A21,Ctu2,Ctu2,g1,1,None,27.87200871
A22,Ctu2,Ctu2,g1,1,None,28.99236761
A23,Ctu2,Ctu2,g3,1,None,27.05084358
A24,Ctu2,Ctu2,g3,1,None,27.73063621
B01,Ctu1,Ctu1,g1,2,None,28.77472921
B02,Ctu1,Ctu1,g1,2,None,28.42575116
B03,Ctu1,Ctu1,g2,2,None,28.5480207
B04,Ctu1,Ctu1,g2,2,None,28.7197227
B05,Ctu1,Ctu1,g4,2,None,28.24430058
B06,Ctu1,Ctu1,g4,2,None,28.22668745
B07,Ctu1,Ctu1,g5,2,None,27.93989236
B08,Ctu1,Ctu1,g5,2,None,28.30219133
B09,Ctu1,Ctu2,g1,2,None,28.84096965
B10,Ctu1,Ctu2,g1,2,None,28.47043943
B11,Ctu1,Ctu2,g3,2,None,28.77591249
B12,Ctu1,Ctu2,g3,2,None,28.95873338
B13,Ctu2,Ctu1,g1,2,None,24.22661647
B14,Ctu2,Ctu1,g1,2,None,24.32067514
B15,Ctu2,Ctu1,g2,2,None,24.19543495
B16,Ctu2,Ctu1,g2,2,None,24.42118649
B17,Ctu2,Ctu1,g4,2,None,24.04711368
B18,Ctu2,Ctu1,g4,2,None,24.34475213
B19,Ctu2,Ctu1,g5,2,None,24.10674741
B20,Ctu2,Ctu1,g5,2,None,24.33733999
B21,Ctu2,Ctu2,g1,2,None,25.48909346
B22,Ctu2,Ctu2,g1,2,None,25.54706111
B23,Ctu2,Ctu2,g3,2,None,25.12665066
B24,Ctu2,Ctu2,g3,2,None,25.29087899
C01,Ctu1,Myd88,g1,1,LPS_100,28.40958023
C02,Ctu1,Myd88,g1,1,LPS_100,28.55618423
C03,Ctu1,Myd88,g1,2,LPS_100,28.31789681
C04,Ctu1,Myd88,g1,2,LPS_100,28.15342733
C05,Ctu1,Myd88,g1,1,LPS_10,28.46216051
C06,Ctu1,Myd88,g1,1,LPS_10,28.5234414
C07,Ctu1,Myd88,g1,2,LPS_10,28.18623136
C08,Ctu1,Myd88,g1,2,LPS_10,28.22425352
C09,Ctu1,Myd88,g1,1,LPS_1,28.19398319
C10,Ctu1,Myd88,g1,1,LPS_1,28.0679745
C11,Ctu1,Myd88,g1,2,LPS_1,28.46767237
C12,Ctu1,Myd88,g1,2,LPS_1,28.61678064
C13,Ctu2,Myd88,g1,1,LPS_100,24.75421079
C14,Ctu2,Myd88,g1,1,LPS_100,25.13309598
C15,Ctu2,Myd88,g1,2,LPS_100,24.61790423
C16,Ctu2,Myd88,g1,2,LPS_100,25.02832515
C17,Ctu2,Myd88,g1,1,LPS_10,24.40703379
C18,Ctu2,Myd88,g1,1,LPS_10,24.55651552
C19,Ctu2,Myd88,g1,2,LPS_10,24.34995076
C20,Ctu2,Myd88,g1,2,LPS_10,24.38800206
C21,Ctu2,Myd88,g1,1,LPS_1,25.42064101
C22,Ctu2,Myd88,g1,1,LPS_1,25.82292605
C23,Ctu2,Myd88,g1,2,LPS_1,26.26549145
C24,Ctu2,Myd88,g1,2,LPS_1,26.31321648
D01,Ctu1,Scr,g2,1,None,28.62281468
D02,Ctu1,Scr,g2,1,None,28.74059535
D03,Ctu1,Scr,g2,2,None,28.10116078
D04,Ctu1,Scr,g2,2,None,28.37302157
D05,Ctu1,Myd88,g1,2,None,28.64036609
D06,Ctu1,Myd88,g1,2,None,28.54888337
D07,Ctu1,Untrans. (-puro),,1,None,28.67451779
D08,Ctu1,Untrans. (-puro),,1,None,29.0572858
D09,Ctu1,Untrans. (-puro),,2,None,29.57373211
D10,Ctu1,Untrans. (-puro),,2,None,29.35966688
D11,Ctu1,Ctu2,g4,1,None,29.20138535
D12,Ctu1,Ctu2,g4,1,None,29.26823315
D13,Ctu2,Scr,g2,1,None,24.48305219
D14,Ctu2,Scr,g2,1,None,25.08641763
D15,Ctu2,Scr,g2,2,None,24.42592835
D16,Ctu2,Scr,g2,2,None,24.5997185
D17,Ctu2,Myd88,g1,2,None,24.58890595
D18,Ctu2,Myd88,g1,2,None,24.71873845
D19,Ctu2,Untrans. (-puro),,1,None,24.95110679
D20,Ctu2,Untrans. (-puro),,1,None,25.24208427
D21,Ctu2,Untrans. (-puro),,2,None,25.16542533
D22,Ctu2,Untrans. (-puro),,2,None,25.27679466
D23,Ctu2,Ctu2,g4,1,None,24.95652977
D24,Ctu2,Ctu2,g4,1,None,24.8495345
E11,Ctu1,Ctu2,g4,2,None,28.72953453
E12,Ctu1,Ctu2,g4,2,None,29.05840117
E23,Ctu2,Ctu2,g4,2,None,24.86403095
E24,Ctu2,Ctu2,g4,2,None,25.21015763
F01,Ctu1,Ctu2,g5,1,None,29.95985271
F02,Ctu1,Ctu2,g5,1,None,30.68748018
F03,Ctu1,Ctu2,g5,2,None,29.3843843
F04,Ctu1,Ctu2,g5,2,None,29.71087472
F05,Ctu1,Myd88,g1,1,Pam,29.66774807
F06,Ctu1,Myd88,g1,1,Pam,29.71332508
F07,Ctu1,Untrans. (+puro),,1,None,37.4847918
F09,Ctu1,Untrans. (+puro),,2,None,38.98426211
F11,Ctu1,Myd88,g1,2,Pam,30.2927579
F12,Ctu1,Myd88,g1,2,Pam,30.25160057
F13,Ctu2,Ctu2,g5,1,None,26.21729883
F14,Ctu2,Ctu2,g5,1,None,26.75518369
F15,Ctu2,Ctu2,g5,2,None,26.02557637
F16,Ctu2,Ctu2,g5,2,None,26.43022087
F17,Ctu2,Myd88,g1,1,Pam,25.9786222
F18,Ctu2,Myd88,g1,1,Pam,26.24913725
F19,Ctu2,Untrans. (+puro),,1,None,34.73776007
F23,Ctu2,Myd88,g1,2,Pam,26.06805466
F24,Ctu2,Myd88,g1,2,Pam,26.99422252
G01,Gapdh,Ctu1,g1,1,None,15.99106821
G02,Gapdh,Ctu1,g1,1,None,17.7553921
G03,Gapdh,Ctu1,g2,1,None,15.15331621
G04,Gapdh,Ctu1,g2,1,None,16.21856488
G05,Gapdh,Ctu1,g4,1,None,15.3392993
G06,Gapdh,Ctu1,g4,1,None,17.63251418
G07,Gapdh,Ctu1,g5,1,None,15.20839387
G08,Gapdh,Ctu1,g5,1,None,17.63592069
G09,Gapdh,Ctu2,g1,1,None,14.92283612
G10,Gapdh,Ctu2,g1,1,None,17.02765388
G11,Gapdh,Ctu2,g3,1,None,14.59434086
G12,Gapdh,Ctu2,g3,1,None,16.06955363
H01,Gapdh,Ctu1,g1,2,None,16.43114129
H02,Gapdh,Ctu1,g1,2,None,15.93954366
H03,Gapdh,Ctu1,g2,2,None,16.21904859
H04,Gapdh,Ctu1,g2,2,None,16.30853353
H05,Gapdh,Ctu1,g4,2,None,15.96066832
H06,Gapdh,Ctu1,g4,2,None,16.04419735
H07,Gapdh,Ctu1,g5,2,None,15.7102265
H08,Gapdh,Ctu1,g5,2,None,15.92787216
H09,Gapdh,Ctu2,g1,2,None,17.09558124
H10,Gapdh,Ctu2,g1,2,None,16.20885293
H11,Gapdh,Ctu2,g3,2,None,16.14634057
H12,Gapdh,Ctu2,g3,2,None,16.30265629
I01,Gapdh,Myd88,g1,1,LPS_100,16.17165672
I02,Gapdh,Myd88,g1,1,LPS_100,16.1476977
I03,Gapdh,Myd88,g1,2,LPS_100,16.20489675
I04,Gapdh,Myd88,g1,2,LPS_100,16.4227502
I05,Gapdh,Myd88,g1,1,LPS_10,16.8003767
I06,Gapdh,Myd88,g1,1,LPS_10,16.60958983
I07,Gapdh,Myd88,g1,2,LPS_10,16.00974833
