Well,Target,Oligo,Vector,Virus_origin,Virus_amount,Gene,Treatment,Bio_Rep,Cq
A01,Scr,g11,pLenti_CPPT,Kate,5,Il6,LPS,1,20.02386554
A02,Scr,g11,pLenti_CPPT,Kate,5,Il6,LPS,1,20.11380346
A03,Scr,g12,pLenti_CPPT,Kate,5,Il6,LPS,1,19.7525064
A04,Scr,g12,pLenti_CPPT,Kate,5,Il6,LPS,1,19.68396631
A05,Myd88,g14,pLenti_CPPT,Kate,5,Il6,LPS,1,20.21627088
A06,Myd88,g14,pLenti_CPPT,Kate,5,Il6,LPS,1,20.19068611
A07,Scr,g11,pLenti_CPPT,Kate,10,Il6,LPS,1,19.98589967
A08,Scr,g11,pLenti_CPPT,Kate,10,Il6,LPS,1,20.0389323
A09,Scr,g12,pLenti_CPPT,Kate,10,Il6,LPS,1,18.85687016
A10,Scr,g12,pLenti_CPPT,Kate,10,Il6,LPS,1,19.25692295
A11,Myd88,g14,pLenti_CPPT,Kate,10,Il6,LPS,1,19.7242825
A12,Myd88,g14,pLenti_CPPT,Kate,10,Il6,LPS,1,19.87684061
A13,Scr,g11,pLenti_CPPT,Kate,20,Il6,LPS,1,19.30495727
A14,Scr,g11,pLenti_CPPT,Kate,20,Il6,LPS,1,19.44330823
A15,Scr,g12,pLenti_CPPT,Kate,20,Il6,LPS,1,18.60200667
A16,Scr,g12,pLenti_CPPT,Kate,20,Il6,LPS,1,19.05754136
A17,Myd88,g14,pLenti_CPPT,Kate,20,Il6,LPS,1,19.36216374
A18,Myd88,g14,pLenti_CPPT,Kate,20,Il6,LPS,1,19.46484929
B01,Scr,g11,pLenti_CPPT,Kate,5,Il6,LPS,2,20.81138036
B02,Scr,g11,pLenti_CPPT,Kate,5,Il6,LPS,2,20.2746663
B03,Scr,g12,pLenti_CPPT,Kate,5,Il6,LPS,2,20.23337633
B04,Scr,g12,pLenti_CPPT,Kate,5,Il6,LPS,2,20.18932262
B05,Myd88,g14,pLenti_CPPT,Kate,5,Il6,LPS,2,20.16697799
B06,Myd88,g14,pLenti_CPPT,Kate,5,Il6,LPS,2,20.02434036
B07,Scr,g11,pLenti_CPPT,Kate,10,Il6,LPS,2,19.37106521
B08,Scr,g11,pLenti_CPPT,Kate,10,Il6,LPS,2,19.38761221
B09,Scr,g12,pLenti_CPPT,Kate,10,Il6,LPS,2,19.15841856
B10,Scr,g12,pLenti_CPPT,Kate,10,Il6,LPS,2,19.19855723
B11,Myd88,g14,pLenti_CPPT,Kate,10,Il6,LPS,2,20.31104453
B12,Myd88,g14,pLenti_CPPT,Kate,10,Il6,LPS,2,20.4772488
B13,Scr,g11,pLenti_CPPT,Kate,20,Il6,LPS,2,19.40939207
B14,Scr,g11,pLenti_CPPT,Kate,20,Il6,LPS,2,19.38888762
B15,Scr,g12,pLenti_CPPT,Kate,20,Il6,LPS,2,19.28109995
B16,Scr,g12,pLenti_CPPT,Kate,20,Il6,LPS,2,19.59959348
B17,Myd88,g14,pLenti_CPPT,Kate,20,Il6,LPS,2,20.02025559
B18,Myd88,g14,pLenti_CPPT,Kate,20,Il6,LPS,2,19.92146591
B19,Untrans. (+puro),,,,0,Il6,None,1,36.24275305
B20,Untrans. (+puro),,,,0,Il6,None,1,35.30420837
C01,Scr,g11,pLenti_CPPT,Kate,5,Il6,None,1,34.5305614
C02,Scr,g11,pLenti_CPPT,Kate,5,Il6,None,1,33.40975684
C03,Scr,g12,pLenti_CPPT,Kate,5,Il6,None,1,33.50091217
C04,Scr,g12,pLenti_CPPT,Kate,5,Il6,None,1,32.33561872
C05,Myd88,g14,pLenti_CPPT,Kate,5,Il6,None,1,32.76848974
C06,Myd88,g14,pLenti_CPPT,Kate,5,Il6,None,1,33.45289009
C07,Scr,g11,pLenti_CPPT,Kate,10,Il6,None,1,35.61936203
