Well,Target,Oligo,Gene,Bio_Rep,Cq,DNA Dilution
A01,Ctu1,sh1,Ctu1,1,28.92940263,
A02,Ctu1,sh1,Ctu1,1,28.6650372,
A03,Ctu1,sh2,Ctu1,1,28.64470211,
A04,Ctu1,sh2,Ctu1,1,28.43555086,
A05,Ctu1,sh3,Ctu1,1,27.82020371,
A06,Ctu1,sh3,Ctu1,1,27.45295917,
A07,Ctu1,sh4,Ctu1,1,28.56133351,
A08,Ctu1,sh4,Ctu1,1,27.5874786,
A09,Ctu1,sh16,Ctu1,1,34.18622651,
A10,Ctu1,sh16,Ctu1,1,35.0325732,
A11,Ctu2,sh18,Ctu1,1,33.14085991,
A12,Ctu2,sh18,Ctu1,1,32.57183302,
A13,Empty,sh11,Ctu1,1,28.18398122,
A14,Empty,sh11,Ctu1,1,27.29661585,
A15,Scr,sh14,Ctu1,1,27.4951178,
A16,Scr,sh14,Ctu1,1,27.62877061,
A17,Scr,sh15,Ctu1,1,28.14623944,
A18,Scr,sh15,Ctu1,1,28.20562289,
A19,Myd88,sh21,Ctu1,1,26.53774745,
A20,Myd88,sh21,Ctu1,1,27.1754194,
A21,Myd88,sh22,Ctu1,1,34.24912103,
A22,Myd88,sh22,Ctu1,1,35.22350503,
A23,Untransduced,,Ctu1,1,29.09420459,
A24,Untransduced,,Ctu1,1,29.22412635,
B01,Ctu1,sh1,Ctu1,2,30.07335252,
B02,Ctu1,sh1,Ctu1,2,29.14048838,
B03,Ctu1,sh2,Ctu1,2,28.8673352,
B04,Ctu1,sh2,Ctu1,2,28.06177864,
B05,Ctu1,sh3,Ctu1,2,27.40600613,
B06,Ctu1,sh3,Ctu1,2,27.7610095,
B07,Ctu1,sh4,Ctu1,2,27.70134156,
B08,Ctu1,sh4,Ctu1,2,26.91628031,
B09,Ctu1,sh16,Ctu1,2,32.69508849,
B10,Ctu1,sh16,Ctu1,2,31.08647588,
B11,Ctu2,sh18,Ctu1,2,33.99512069,
B12,Ctu2,sh18,Ctu1,2,33.69559729,
B13,Empty,sh11,Ctu1,2,28.10972878,
B14,Empty,sh11,Ctu1,2,28.11362952,
B15,Scr,sh14,Ctu1,2,28.03723113,
B16,Scr,sh14,Ctu1,2,27.86497168,
B17,Scr,sh15,Ctu1,2,28.04690123,
B18,Scr,sh15,Ctu1,2,27.5604321,
B19,Myd88,sh21,Ctu1,2,27.49329617,
B20,Myd88,sh21,Ctu1,2,27.33377437,
B21,Myd88,sh22,Ctu1,2,33.33113534,
B22,Myd88,sh22,Ctu1,2,33.46390489,
B23,Untransduced,,Ctu1,2,28.30070401,
B24,Untransduced,,Ctu1,2,28.03567469,
