Well,Target,Oligo,Gene,Bio_Rep,Cq,DNA Dilution
A01,Empty,sh11,Myd88,1,23.44628705,
A02,Empty,sh11,Myd88,1,22.64115288,
A03,Scr,sh14,Myd88,1,22.65257752,
A04,Scr,sh14,Myd88,1,22.57830574,
A05,Scr,sh15,Myd88,1,22.85006989,
A06,Scr,sh15,Myd88,1,22.79776293,
A07,Myd88,sh21,Myd88,1,23.94254463,
A08,Myd88,sh21,Myd88,1,23.80515934,
A09,Myd88,sh22,Myd88,1,32.82043061,
A10,Myd88,sh22,Myd88,1,33.22271796,
B01,Empty,sh11,Myd88,2,22.51260916,
B02,Empty,sh11,Myd88,2,22.24794248,
B03,Scr,sh14,Myd88,2,21.81982383,
B04,Scr,sh14,Myd88,2,22.15923783,
B05,Scr,sh15,Myd88,2,22.38122023,
B06,Scr,sh15,Myd88,2,22.48499655,
B07,Myd88,sh21,Myd88,2,22.88443302,
B08,Myd88,sh21,Myd88,2,23.12284128,
B09,Myd88,sh22,Myd88,2,30.32025331,
B10,Myd88,sh22,Myd88,2,30.52423695,
F01,Std,,,,23.58030016,1
F02,Std,,,,23.40801766,1
F03,Std,,,,24.47909395,0.5
F04,Std,,,,24.48737652,0.5
F05,Std,,,,25.53662365,0.25
F06,Std,,,,25.57179022,0.25
F07,Std,,,,26.6493638,0.125
F08,Std,,,,26.27024611,0.125
F09,Std,,,,27.61434124,0.0625
F10,Std,,,,27.48249462,0.0625
F11,Std,,,,28.66404486,0.03125
F12,Std,,,,28.67392895,0.03125
F13,Empty,sh11,Gapdh,2,17.82688142,
F14,Empty,sh11,Gapdh,2,18.40143608,
F15,Scr,sh14,Gapdh,2,18.40786898,
F16,Scr,sh14,Gapdh,2,18.99078319,
F17,Scr,sh15,Gapdh,2,18.7520476,
F18,Scr,sh15,Gapdh,2,18.48853454,
F19,Myd88,sh21,Gapdh,2,18.59832333,
F20,Myd88,sh21,Gapdh,2,18.87532312,
F21,Myd88,sh22,Gapdh,2,25.30671558,
F22,Myd88,sh22,Gapdh,2,24.79320216,
E13,Empty,sh11,Gapdh,1,19.21597499,
E14,Empty,sh11,Gapdh,1,19.62144745,
E15,Scr,sh14,Gapdh,1,18.17154795,
E16,Scr,sh14,Gapdh,1,18.86110422,
E17,Scr,sh15,Gapdh,1,19.16863869,
E18,Scr,sh15,Gapdh,1,19.56498104,
E19,Myd88,sh21,Gapdh,1,19.05548947,
E20,Myd88,sh21,Gapdh,1,19.12033653,
E21,Myd88,sh22,Gapdh,1,27.44899678,
E22,Myd88,sh22,Gapdh,1,27.58108544,
