Well,Target,Oligo,Gene,Virus_amount,Bio_Rep,Cq
A01,Empty,sh11,Ctu1,100 uL,1,28.71826226
A02,Empty,sh11,Ctu1,100 uL,1,28.37185408
A03,Scr,sh14,Ctu1,100 uL,1,29.45588991
A04,Scr,sh14,Ctu1,100 uL,1,29.16640303
A05,Scr,sh15,Ctu1,100 uL,1,29.02631315
A06,Scr,sh15,Ctu1,100 uL,1,28.9318457
A07,Ctu1,sh1,Ctu1,100 uL,1,NaN
A08,Ctu1,sh1,Ctu1,100 uL,1,36.28969634
A09,Ctu1,sh2,Ctu1,100 uL,1,30.85533516
A10,Ctu1,sh2,Ctu1,100 uL,1,31.26527239
B01,Ctu1,sh3,Ctu1,100 uL,1,28.49590038
B02,Ctu1,sh3,Ctu1,100 uL,1,28.713855
B03,Ctu2,sh6,Ctu1,100 uL,1,28.44125146
B04,Ctu2,sh6,Ctu1,100 uL,1,28.59547201
B05,Ctu2,sh7,Ctu1,100 uL,1,30.10016969
B06,Ctu2,sh7,Ctu1,100 uL,1,29.65929654
B07,Ctu2,sh8,Ctu1,100 uL,1,30.23581528
B08,Ctu2,sh8,Ctu1,100 uL,1,30.43503859
B09,Ctu2,sh17,Ctu1,100 uL,1,29.74662629
B10,Ctu2,sh17,Ctu1,100 uL,1,29.93208158
C01,Empty,sh11,Ctu1,100 uL,2,28.84875083
C02,Empty,sh11,Ctu1,100 uL,2,28.85967791
C03,Scr,sh14,Ctu1,100 uL,2,28.18106127
C04,Scr,sh14,Ctu1,100 uL,2,28.34175754
C05,Scr,sh15,Ctu1,100 uL,2,28.61457965
C06,Scr,sh15,Ctu1,100 uL,2,28.98384626
C07,Ctu1,sh1,Ctu1,100 uL,2,31.24168117
C08,Ctu1,sh1,Ctu1,100 uL,2,31.41700618
C09,Ctu1,sh2,Ctu1,100 uL,2,30.88784688
C10,Ctu1,sh2,Ctu1,100 uL,2,30.83236993
D01,Ctu1,sh3,Ctu1,100 uL,2,28.8669996
D02,Ctu1,sh3,Ctu1,100 uL,2,28.27794941
D03,Ctu2,sh6,Ctu1,100 uL,2,28.3108965
D04,Ctu2,sh6,Ctu1,100 uL,2,28.53050057
