Well,Target,Oligo,Gene,Bio_Rep,Cq
A01,Empty,sh11,Ctu1,1,26.03711141
A02,Empty,sh11,Ctu1,1,25.88362333
A03,Scr,sh14,Ctu1,1,25.39367202
A04,Scr,sh14,Ctu1,1,25.17261554
A05,Scr,sh15,Ctu1,1,25.57852718
A06,Scr,sh15,Ctu1,1,25.33654928
A07,Myd88,sh21,Ctu1,1,26.46384692
A08,Myd88,sh21,Ctu1,1,26.28980127
A09,Ctu1,sh1,Ctu1,1,26.13004131
A10,Ctu1,sh1,Ctu1,1,26.02798768
A11,Ctu1,sh2,Ctu1,1,26.08350055
A12,Ctu1,sh2,Ctu1,1,25.88513593
A13,Ctu1,sh3,Ctu1,1,25.44260554
A14,Ctu1,sh3,Ctu1,1,25.54844283
A15,Ctu2,sh6,Ctu1,1,25.32922752
A16,Ctu2,sh6,Ctu1,1,25.24528508
A17,Ctu2,sh8,Ctu1,1,25.02635055
A18,Ctu2,sh8,Ctu1,1,25.0985053
A19,Ctu2,sh17,Ctu1,1,25.3518328
A20,Ctu2,sh17,Ctu1,1,25.37141355
B01,Empty,sh11,Ctu1,2,26.85918098
B02,Empty,sh11,Ctu1,2,26.6937189
B03,Scr,sh14,Ctu1,2,25.59721931
B04,Scr,sh14,Ctu1,2,25.81376438
B05,Scr,sh15,Ctu1,2,25.08693706
B06,Scr,sh15,Ctu1,2,25.2245659
B07,Myd88,sh21,Ctu1,2,26.00950032
B08,Myd88,sh21,Ctu1,2,25.9070212
B09,Ctu1,sh1,Ctu1,2,26.38194901
B10,Ctu1,sh1,Ctu1,2,26.59729543
B11,Ctu1,sh2,Ctu1,2,25.92588541
B12,Ctu1,sh2,Ctu1,2,26.14903037
B13,Ctu1,sh3,Ctu1,2,25.66514936
B14,Ctu1,sh3,Ctu1,2,25.679879
B15,Ctu2,sh6,Ctu1,2,24.95952281
B16,Ctu2,sh6,Ctu1,2,25.00879409
B17,Ctu2,sh8,Ctu1,2,25.35363206
B18,Ctu2,sh8,Ctu1,2,25.299491
B19,Ctu2,sh17,Ctu1,2,25.34369269
B20,Ctu2,sh17,Ctu1,2,25.36783631
C01,Empty,sh11,Ctu1,3,25.42170608
C02,Empty,sh11,Ctu1,3,25.20866069
C03,Scr,sh14,Ctu1,3,25.16908837
C04,Scr,sh14,Ctu1,3,25.4335902
C05,Scr,sh15,Ctu1,3,25.39248171
C06,Scr,sh15,Ctu1,3,25.22079248
C07,Myd88,sh21,Ctu1,3,26.57249832
C08,Myd88,sh21,Ctu1,3,26.61393727
C09,Ctu1,sh1,Ctu1,3,26.68501034
C10,Ctu1,sh1,Ctu1,3,26.97490726
C11,Ctu1,sh2,Ctu1,3,27.2465908
C12,Ctu1,sh2,Ctu1,3,27.46096347
C13,Ctu1,sh3,Ctu1,3,26.02647479
C14,Ctu1,sh3,Ctu1,3,26.16333806
C15,Ctu2,sh6,Ctu1,3,25.48825746
C16,Ctu2,sh6,Ctu1,3,25.53113777
C17,Ctu2,sh8,Ctu1,3,26.15462946
C18,Ctu2,sh8,Ctu1,3,26.39805825
C19,Ctu2,sh17,Ctu1,3,25.88172773
C20,Ctu2,sh17,Ctu1,3,26.16183832
D01,Empty,sh11,Ctu2,1,34.26264747
D02,Empty,sh11,Ctu2,1,23.72020026
D03,Scr,sh14,Ctu2,1,23.79465808
D04,Scr,sh14,Ctu2,1,24.01580867
D05,Scr,sh15,Ctu2,1,23.97024536
D06,Scr,sh15,Ctu2,1,24.0775995
D07,Myd88,sh21,Ctu2,1,26.06866372
D08,Myd88,sh21,Ctu2,1,26.19990498
D09,Ctu1,sh1,Ctu2,1,24.1209205
D10,Ctu1,sh1,Ctu2,1,23.98728521
D11,Ctu1,sh2,Ctu2,1,23.5322551
D12,Ctu1,sh2,Ctu2,1,23.55093096
D13,Ctu1,sh3,Ctu2,1,23.9068553
D14,Ctu1,sh3,Ctu2,1,23.81323285
D15,Ctu2,sh6,Ctu2,1,24.39085569
D16,Ctu2,sh6,Ctu2,1,24.32968572
D17,Ctu2,sh8,Ctu2,1,24.04251521
D18,Ctu2,sh8,Ctu2,1,24.0431509
D19,Ctu2,sh17,Ctu2,1,25.0142001
D20,Ctu2,sh17,Ctu2,1,25.07609232
E01,Empty,sh11,Ctu2,2,24.51155806
E02,Empty,sh11,Ctu2,2,24.5614598
E03,Scr,sh14,Ctu2,2,24.50748498
E04,Scr,sh14,Ctu2,2,24.60347318
E05,Scr,sh15,Ctu2,2,23.96043994
E06,Scr,sh15,Ctu2,2,23.96158986
E07,Myd88,sh21,Ctu2,2,25.81082595
E08,Myd88,sh21,Ctu2,2,25.81681825
E09,Ctu1,sh1,Ctu2,2,24.45073368
E10,Ctu1,sh1,Ctu2,2,24.41734303
E11,Ctu1,sh2,Ctu2,2,24.31617371
E12,Ctu1,sh2,Ctu2,2,24.47173475
E13,Ctu1,sh3,Ctu2,2,24.71861349
E14,Ctu1,sh3,Ctu2,2,24.69335297
E15,Ctu2,sh6,Ctu2,2,24.5108437
E16,Ctu2,sh6,Ctu2,2,24.55256982
E17,Ctu2,sh8,Ctu2,2,24.71957262
E18,Ctu2,sh8,Ctu2,2,24.48460487
E19,Ctu2,sh17,Ctu2,2,26.19245964
E20,Ctu2,sh17,Ctu2,2,26.14903488
F01,Empty,sh11,Ctu2,3,24.85836575
F02,Empty,sh11,Ctu2,3,24.62293305
F03,Scr,sh14,Ctu2,3,24.15743614
F04,Scr,sh14,Ctu2,3,24.21356001
F05,Scr,sh15,Ctu2,3,24.52784631
F06,Scr,sh15,Ctu2,3,24.54662073
F07,Myd88,sh21,Ctu2,3,26.38496041
F08,Myd88,sh21,Ctu2,3,26.25589154
F09,Ctu1,sh1,Ctu2,3,24.92599204
F10,Ctu1,sh1,Ctu2,3,24.94452901
F11,Ctu1,sh2,Ctu2,3,25.20582449
F12,Ctu1,sh2,Ctu2,3,25.23225853
F13,Ctu1,sh3,Ctu2,3,25.02552192
F14,Ctu1,sh3,Ctu2,3,25.05904129
F15,Ctu2,sh6,Ctu2,3,26.22954552
F16,Ctu2,sh6,Ctu2,3,26.22589516
F17,Ctu2,sh8,Ctu2,3,26.46754807
F18,Ctu2,sh8,Ctu2,3,26.46192928
F19,Ctu2,sh17,Ctu2,3,26.33607152
F20,Ctu2,sh17,Ctu2,3,26.58361419
G01,Empty,sh11,Gapdh,1,16.0317689
G02,Empty,sh11,Gapdh,1,15.91501195
G03,Scr,sh14,Gapdh,1,15.53714062
G04,Scr,sh14,Gapdh,1,15.303575
G05,Scr,sh15,Gapdh,1,16.08688239
G06,Scr,sh15,Gapdh,1,15.9495102
G07,Myd88,sh21,Gapdh,1,18.69675688
G08,Myd88,sh21,Gapdh,1,18.33618595
G09,Ctu1,sh1,Gapdh,1,16.63388686
G10,Ctu1,sh1,Gapdh,1,16.311648
G11,Ctu1,sh2,Gapdh,1,15.16360895
G12,Ctu1,sh2,Gapdh,1,14.31917507
G13,Ctu1,sh3,Gapdh,1,16.16618801
G14,Ctu1,sh3,Gapdh,1,16.15505887
G15,Ctu2,sh6,Gapdh,1,16.03055047
G16,Ctu2,sh6,Gapdh,1,16.00501709
G17,Ctu2,sh8,Gapdh,1,15.98599225
G18,Ctu2,sh8,Gapdh,1,16.03856653
G19,Ctu2,sh17,Gapdh,1,17.31307219
G20,Ctu2,sh17,Gapdh,1,17.37195115
H01,Empty,sh11,Gapdh,2,17.40600032
H02,Empty,sh11,Gapdh,2,17.35276505
H03,Scr,sh14,Gapdh,2,16.26626482
H04,Scr,sh14,Gapdh,2,16.32608096
H05,Scr,sh15,Gapdh,2,15.73998185
H06,Scr,sh15,Gapdh,2,15.58678487
H07,Myd88,sh21,Gapdh,2,18.02046422
H08,Myd88,sh21,Gapdh,2,17.8684272
H09,Ctu1,sh1,Gapdh,2,17.02449546
H10,Ctu1,sh1,Gapdh,2,17.20972225
H11,Ctu1,sh2,Gapdh,2,16.0405633
H12,Ctu1,sh2,Gapdh,2,16.08321706
H13,Ctu1,sh3,Gapdh,2,16.53886879
H14,Ctu1,sh3,Gapdh,2,16.37452613
H15,Ctu2,sh6,Gapdh,2,16.11863252
H16,Ctu2,sh6,Gapdh,2,15.94381022
H17,Ctu2,sh8,Gapdh,2,16.05300418
H18,Ctu2,sh8,Gapdh,2,16.03580341
H19,Ctu2,sh17,Gapdh,2,17.47085548
H20,Ctu2,sh17,Gapdh,2,17.38271647
I01,Empty,sh11,Gapdh,3,16.36150596
I02,Empty,sh11,Gapdh,3,16.1573531
I03,Scr,sh14,Gapdh,3,15.85056626
I04,Scr,sh14,Gapdh,3,15.83621338
I05,Scr,sh15,Gapdh,3,16.52060024
I06,Scr,sh15,Gapdh,3,16.26180347
I07,Myd88,sh21,Gapdh,3,18.59353319
I08,Myd88,sh21,Gapdh,3,18.63691466
I09,Ctu1,sh1,Gapdh,3,16.79529932
I10,Ctu1,sh1,Gapdh,3,16.86524723
I11,Ctu1,sh2,Gapdh,3,17.05236185
I12,Ctu1,sh2,Gapdh,3,17.286916
I13,Ctu1,sh3,Gapdh,3,17.10602161
I14,Ctu1,sh3,Gapdh,3,17.07550082
I15,Ctu2,sh6,Gapdh,3,17.30660291
I16,Ctu2,sh6,Gapdh,3,17.25670188
I17,Ctu2,sh8,Gapdh,3,17.52795804
I18,Ctu2,sh8,Gapdh,3,17.19707404
I19,Ctu2,sh17,Gapdh,3,17.70811925
I20,Ctu2,sh17,Gapdh,3,17.6337292
J01,Empty,sh11,Myd88,1,21.82615327
J02,Empty,sh11,Myd88,1,21.53305166
J03,Scr,sh14,Myd88,1,21.64893844
J04,Scr,sh14,Myd88,1,21.73126176
J05,Scr,sh15,Myd88,1,22.03364553
J06,Scr,sh15,Myd88,1,22.03262807
J07,Myd88,sh21,Myd88,1,24.03761074
J08,Myd88,sh21,Myd88,1,24.18405784
K01,Empty,sh11,Myd88,2,22.79313881
K02,Empty,sh11,Myd88,2,22.68216734
K03,Scr,sh14,Myd88,2,22.27871464
K04,Scr,sh14,Myd88,2,22.17575576
K05,Scr,sh15,Myd88,2,22.01304739
K06,Scr,sh15,Myd88,2,21.95685017
K07,Myd88,sh21,Myd88,2,23.92851088
K08,Myd88,sh21,Myd88,2,23.87032301
L01,Empty,sh11,Myd88,3,22.02981022
L02,Empty,sh11,Myd88,3,21.99472183
L03,Scr,sh14,Myd88,3,22.02094669
L04,Scr,sh14,Myd88,3,22.09610842
L05,Scr,sh15,Myd88,3,22.14294628
L06,Scr,sh15,Myd88,3,22.10074663
L07,Myd88,sh21,Myd88,3,24.2449486
L08,Myd88,sh21,Myd88,3,24.23263681
