Well,Target,Oligo,Vector,Gene,Bio_Rep,Cq
G01,Trmt61a,sh26,PLKO.1,Trmt61a,1,27.69971604
G02,Trmt61a,sh26,PLKO.1,Trmt61a,1,27.25037663
G03,Trmt61a,sh27,PLKO.1,Trmt61a,1,27.56903282
G04,Trmt61a,sh27,PLKO.1,Trmt61a,1,28.14257599
G05,Trmt61a,sh28,PLKO.1,Trmt61a,1,28.22299971
G06,Trmt61a,sh28,PLKO.1,Trmt61a,1,28.13685964
G07,Empty,sh11,PLKO.1,Trmt61a,1,26.56397292
G08,Empty,sh11,PLKO.1,Trmt61a,1,26.49454586
G09,Scr,sh14,PLKO.1,Trmt61a,1,26.02737209
G10,Scr,sh14,PLKO.1,Trmt61a,1,26.08023905
G11,Scr,sh15,PLKO.1,Trmt61a,1,26.11908344
G12,Scr,sh15,PLKO.1,Trmt61a,1,25.77015917
H01,Trmt61a,sh26,PLKO.1,Trmt61a,2,25.91173448
H02,Trmt61a,sh26,PLKO.1,Trmt61a,2,25.79093406
H03,Trmt61a,sh27,PLKO.1,Trmt61a,2,26.24728003
H04,Trmt61a,sh27,PLKO.1,Trmt61a,2,26.47857132
H05,Trmt61a,sh28,PLKO.1,Trmt61a,2,26.76585901
H06,Trmt61a,sh28,PLKO.1,Trmt61a,2,26.70379806
H07,Empty,sh11,PLKO.1,Trmt61a,2,27.79831417
H08,Empty,sh11,PLKO.1,Trmt61a,2,28.10965064
H09,Scr,sh14,PLKO.1,Trmt61a,2,27.22604249
H10,Scr,sh14,PLKO.1,Trmt61a,2,27.21816701
H11,Scr,sh15,PLKO.1,Trmt61a,2,25.58188064
H12,Scr,sh15,PLKO.1,Trmt61a,2,25.72343028
I01,Trmt61a,sh26,PLKO.1,Trmt61a,3,26.41823967
I02,Trmt61a,sh26,PLKO.1,Trmt61a,3,26.55095375
I03,Trmt61a,sh27,PLKO.1,Trmt61a,3,25.86263884
I04,Trmt61a,sh27,PLKO.1,Trmt61a,3,26.15579663
I05,Trmt61a,sh28,PLKO.1,Trmt61a,3,26.52356965
I06,Trmt61a,sh28,PLKO.1,Trmt61a,3,26.8787824
I07,Empty,sh11,PLKO.1,Trmt61a,3,26.4121571
I08,Empty,sh11,PLKO.1,Trmt61a,3,26.57169229
I09,Scr,sh14,PLKO.1,Trmt61a,3,26.39582541
I10,Scr,sh14,PLKO.1,Trmt61a,3,26.3253509
I11,Scr,sh15,PLKO.1,Trmt61a,3,25.70252704
I12,Scr,sh15,PLKO.1,Trmt61a,3,25.82786225
D01,Trmt6,sh23,PLKO.1,Trmt6,1,25.12141541
D02,Trmt6,sh23,PLKO.1,Trmt6,1,25.05734119
D03,Trmt6,sh24,PLKO.1,Trmt6,1,24.8648036
D04,Trmt6,sh24,PLKO.1,Trmt6,1,25.01866833
D05,Trmt6,sh25,PLKO.1,Trmt6,1,25.23951737
D06,Trmt6,sh25,PLKO.1,Trmt6,1,25.37185042
D07,Empty,sh11,PLKO.1,Trmt6,1,24.01852809
D08,Empty,sh11,PLKO.1,Trmt6,1,23.82430306
D09,Scr,sh14,PLKO.1,Trmt6,1,23.6547206
D10,Scr,sh14,PLKO.1,Trmt6,1,23.82588685
D11,Scr,sh15,PLKO.1,Trmt6,1,23.86867959
D12,Scr,sh15,PLKO.1,Trmt6,1,24.13651596
E01,Trmt6,sh23,PLKO.1,Trmt6,2,24.22709136
E02,Trmt6,sh23,PLKO.1,Trmt6,2,24.41661634
E03,Trmt6,sh24,PLKO.1,Trmt6,2,23.3573989
E04,Trmt6,sh24,PLKO.1,Trmt6,2,23.2622859
E05,Trmt6,sh25,PLKO.1,Trmt6,2,24.49141752
E06,Trmt6,sh25,PLKO.1,Trmt6,2,24.63274666
E07,Empty,sh11,PLKO.1,Trmt6,2,26.14162707
E08,Empty,sh11,PLKO.1,Trmt6,2,26.44734002
E09,Scr,sh14,PLKO.1,Trmt6,2,24.90581854
E10,Scr,sh14,PLKO.1,Trmt6,2,25.27054702
E11,Scr,sh15,PLKO.1,Trmt6,2,23.86500106
E12,Scr,sh15,PLKO.1,Trmt6,2,24.41024333
F01,Trmt6,sh23,PLKO.1,Trmt6,3,25.73268813
F02,Trmt6,sh23,PLKO.1,Trmt6,3,25.24929721
F03,Trmt6,sh24,PLKO.1,Trmt6,3,24.14038647
F04,Trmt6,sh24,PLKO.1,Trmt6,3,24.16718337
F05,Trmt6,sh25,PLKO.1,Trmt6,3,25.32491056
F06,Trmt6,sh25,PLKO.1,Trmt6,3,25.00886234
F07,Empty,sh11,PLKO.1,Trmt6,3,24.38625452
