Well,Target,Oligo ,Gene,Bio_Rep,Cq
A01,Empty,sh11,Ctu1,1,27.00365244
A02,Empty,sh11,Ctu1,1,27.30293332
A03,Scr,sh14,Ctu1,1,26.96012025
A04,Scr,sh14,Ctu1,1,27.12465065
A05,Scr,sh15,Ctu1,1,27.09612355
A06,Scr,sh15,Ctu1,1,27.04323957
A07,Ctu1,sh1,Ctu1,1,27.60200858
A08,Ctu1,sh1,Ctu1,1,27.71231494
A09,Ctu1,sh2,Ctu1,1,28.28250463
A10,Ctu1,sh2,Ctu1,1,28.40899973
A11,Ctu1,sh3,Ctu1,1,27.20219133
A12,Ctu1,sh3,Ctu1,1,27.50084043
B01,Empty,sh11,Ctu1,2,27.26928829
B02,Empty,sh11,Ctu1,2,27.14557835
B03,Scr,sh14,Ctu1,2,26.33376716
B04,Scr,sh14,Ctu1,2,27.03951222
B05,Scr,sh15,Ctu1,2,27.1415395
B06,Scr,sh15,Ctu1,2,26.48953174
B07,Ctu1,sh1,Ctu1,2,28.15736878
B08,Ctu1,sh1,Ctu1,2,27.5027285
B09,Ctu1,sh2,Ctu1,2,27.70943683
B10,Ctu1,sh2,Ctu1,2,27.71769567
B11,Ctu1,sh3,Ctu1,2,27.3371994
B12,Ctu1,sh3,Ctu1,2,27.06082384
C01,Empty,sh11,Ctu1,3,26.25267067
C02,Empty,sh11,Ctu1,3,26.51403432
C03,Scr,sh14,Ctu1,3,26.68628623
C04,Scr,sh14,Ctu1,3,26.72237027
C05,Scr,sh15,Ctu1,3,26.21052486
C06,Scr,sh15,Ctu1,3,26.44967602
C07,Ctu1,sh1,Ctu1,3,28.42009143
C08,Ctu1,sh1,Ctu1,3,28.22761301
C09,Ctu1,sh2,Ctu1,3,28.14331505
C10,Ctu1,sh2,Ctu1,3,28.0761355
C11,Ctu1,sh3,Ctu1,3,26.83215657
C12,Ctu1,sh3,Ctu1,3,27.24716483
D01,Empty,sh11,Ctu2,1,25.96540335
D02,Empty,sh11,Ctu2,1,25.77047527
D03,Scr,sh14,Ctu2,1,25.65622945
D04,Scr,sh14,Ctu2,1,25.85446723
D05,Scr,sh15,Ctu2,1,25.15348636
D06,Scr,sh15,Ctu2,1,25.28301835
D07,Ctu2,sh6,Ctu2,1,25.99850974
D08,Ctu2,sh6,Ctu2,1,26.00371811
D09,Ctu2,sh8,Ctu2,1,26.62120429
D10,Ctu2,sh8,Ctu2,1,26.56406235
