"","Biol_Rep","Treatment","Time","Dose","Gene","Tech_Rep_1","Tech_Rep_2","Avg_Cq"
"1","1","L","6","low","Cxcl2","21.44835","21.44259","21.44547"
"2","1","S","6","low","Cxcl2","23.48059","23.28253","23.38156"
"3","1","LS","6","low","Cxcl2","23.36280","22.02984","22.69632"
"4","1","L","2","low","Cxcl2","22.82209","22.18335","22.50272"
"5","1","S","2","low","Cxcl2","23.28781","23.32574","23.30677"
"6","1","LS","2","low","Cxcl2","22.45434","22.22046","22.33740"
"7","2","L","6","low","Cxcl2","22.21826","22.12228","22.17027"
"8","2","S","6","low","Cxcl2","27.27114","27.02208","27.14661"
"9","2","LS","6","low","Cxcl2","22.20000","22.15417","22.17709"
"10","2","L","2","low","Cxcl2","21.30405","21.24509","21.27457"
"11","2","S","2","low","Cxcl2",NA,"26.95000","26.95000"
"12","2","LS","2","low","Cxcl2",NA,"21.80737","21.80737"
"13","1","L","6","med","Cxcl2","21.73029","21.30402","21.51715"
"14","1","S","6","med","Cxcl2","23.97266","23.74336","23.85801"
"15","1","LS","6","med","Cxcl2","21.72668","21.79072","21.75870"
"16","1","L","2","med","Cxcl2","20.75346","20.76878","20.76112"
"17","1","S","2","med","Cxcl2","23.71860","23.71733","23.71796"
"18","1","LS","2","med","Cxcl2","20.54237","20.15033","20.34635"
"19","2","L","6","med","Cxcl2","20.69897","20.55086","20.62492"
"20","2","S","6","med","Cxcl2","22.91351","22.94549","22.92950"
"21","2","LS","6","med","Cxcl2","20.28260","20.48852","20.38556"
"22","2","L","2","med","Cxcl2","19.54118","19.57362","19.55740"
"23","2","S","2","med","Cxcl2",NA,"27.12466","27.12466"
"24","2","LS","2","med","Cxcl2","23.50386",NA,"23.50386"
"25","1","L","6","high","Cxcl2","20.04134","19.80193","19.92163"
"26","1","S","6","high","Cxcl2","23.18032","23.76711","23.47372"
"27","1","LS","6","high","Cxcl2","20.10605","20.05814","20.08210"
"28","1","L","2","high","Cxcl2","18.27249","19.08517","18.67883"
"29","1","S","2","high","Cxcl2","22.73911","23.07111","22.90511"
"30","1","LS","2","high","Cxcl2","18.26207","18.21012","18.23610"
"31","2","L","6","high","Cxcl2","19.34444","19.40421","19.37433"
"32","2","S","6","high","Cxcl2","23.40946","23.35287","23.38117"
"33","2","LS","6","high","Cxcl2","20.42229","20.48456","20.45342"
"34","2","L","2","high","Cxcl2","18.21183","21.45689","19.83436"
"35","2","S","2","high","Cxcl2","22.66604",NA,"22.66604"
"36","2","LS","2","high","Cxcl2","19.16428","18.69184","18.92806"
"37","1","Control","0","none","Cxcl2","22.34164","22.52487","22.43326"
"38","2","Control","0","none","Cxcl2","22.47857","22.24534","22.36196"
"39","3","Control","0","none","Cxcl2","22.20102","22.21459","22.20781"
"40","1","L","6","low","Il6","24.75522","24.84948","24.80235"
"41","1","S","6","low","Il6","27.43343","27.59644","27.51493"
"42","1","LS","6","low","Il6","27.18227","26.98441","27.08334"
"43","1","L","2","low","Il6","26.87814","26.71614","26.79714"
"44","1","S","2","low","Il6","28.74599","28.48838","28.61718"
"45","1","LS","2","low","Il6","27.47393","27.31181","27.39287"
"46","2","L","6","low","Il6","27.11967","27.08124","27.10046"
"47","2","S","6","low","Il6","27.68499","27.58665","27.63582"
"48","2","LS","6","low","Il6","26.93764","26.94135","26.93950"
"49","2","L","2","low","Il6","25.35866","25.37391","25.36629"
"50","2","LS","2","low","Il6","26.35885","26.85120","26.60502"
"51","1","L","6","med","Il6","22.06891","22.16750","22.11821"
"52","1","S","6","med","Il6","25.59080","25.54123","25.56602"
"53","1","LS","6","med","Il6","20.71309","20.67299","20.69304"
"54","1","L","2","med","Il6","21.30599","22.96242","22.13421"
"55","1","S","2","med","Il6","26.59348","27.01389","26.80369"
"56","1","LS","2","med","Il6","21.31527","21.59684","21.45606"
"57","2","L","6","med","Il6","21.86058","21.83392","21.84725"
"58","2","S","6","med","Il6","25.25819","25.21559","25.23689"
"59","2","LS","6","med","Il6","19.81428","19.69506","19.75467"
"60","2","L","2","med","Il6","20.70016",NA,"20.70016"
"61","2","S","2","med","Il6","26.26910","26.38005","26.32458"
