"","Biol_Rep","Treatment","Time","Dose","Gene","Tech_Rep_1","Tech_Rep_2","Avg_Cq","Gapdh_Avg_Cq","dCq"
"1","1","Control","0","none","Cxcl2","22.34164","22.52487","22.43326","19.36562"," 3.06763803"
"2","1","Control","0","none","Il6","28.29808","28.12058","28.20933","19.36562"," 8.84371437"
"3","1","L","2","high","Cxcl2","18.27249","19.08517","18.67883","19.81712","-1.13828660"
"4","1","L","2","high","Il6","19.01528","18.96129","18.98828","19.81712","-0.82883284"
"5","1","L","2","low","Il6","26.87814","26.71614","26.79714","20.29545"," 6.50168918"
"6","1","L","2","low","Cxcl2","22.82209","22.18335","22.50272","20.29545"," 2.20727345"
"7","1","L","2","med","Cxcl2","20.75346","20.76878","20.76112","20.42206"," 0.33905873"
"8","1","L","2","med","Il6","21.30599","22.96242","22.13421","20.42206"," 1.71214312"
"9","1","L","6","high","Cxcl2","20.04134","19.80193","19.92163","19.74639"," 0.17524764"
"10","1","L","6","high","Il6","18.80633","18.69144","18.74889","19.74639","-0.99750071"
"11","1","L","6","low","Cxcl2","21.44835","21.44259","21.44547","20.03270"," 1.41277564"
"12","1","L","6","low","Il6","24.75522","24.84948","24.80235","20.03270"," 4.76965401"
"13","1","L","6","med","Cxcl2","21.73029","21.30402","21.51715","19.45139"," 2.06576148"
"14","1","L","6","med","Il6","22.06891","22.16750","22.11821","19.45139"," 2.66681532"
"15","1","LS","2","high","Cxcl2","18.26207","18.21012","18.23610","19.50126","-1.26516281"
"16","1","LS","2","high","Il6","19.24362","19.49977","19.37169","19.50126","-0.12956362"
"17","1","LS","2","low","Il6","27.47393","27.31181","27.39287","20.91601"," 6.47686319"
"18","1","LS","2","low","Cxcl2","22.45434","22.22046","22.33740","20.91601"," 1.42139276"
"19","1","LS","2","med","Cxcl2","20.54237","20.15033","20.34635","19.81355"," 0.53279558"
"20","1","LS","2","med","Il6","21.31527","21.59684","21.45606","19.81355"," 1.64250343"
"21","1","LS","6","high","Il6","18.22603","18.21987","18.22295","19.60385","-1.38089766"
"22","1","LS","6","high","Cxcl2","20.10605","20.05814","20.08210","19.60385"," 0.47824863"
"23","1","LS","6","low","Il6","27.18227","26.98441","27.08334","19.94012"," 7.14321990"
"24","1","LS","6","low","Cxcl2","23.36280","22.02984","22.69632","19.94012"," 2.75620056"
"25","1","LS","6","med","Cxcl2","21.72668","21.79072","21.75870","19.81935"," 1.93934686"
"26","1","LS","6","med","Il6","20.71309","20.67299","20.69304","19.81935"," 0.87368945"
"27","1","S","2","high","Cxcl2","22.73911","23.07111","22.90511","19.95681"," 2.94829713"
"28","1","S","2","high","Il6","23.07089","25.73529","24.40309","19.95681"," 4.44627720"
"29","1","S","2","low","Cxcl2","23.28781","23.32574","23.30677","20.83577"," 2.47099943"
"30","1","S","2","low","Il6","28.74599","28.48838","28.61718","20.83577"," 7.78141243"
"31","1","S","2","med","Cxcl2","23.71860","23.71733","23.71796","20.49624"," 3.22172537"
"32","1","S","2","med","Il6","26.59348","27.01389","26.80369","20.49624"," 6.30744688"
"33","1","S","6","high","Cxcl2","23.18032","23.76711","23.47372","19.85877"," 3.61494277"
"34","1","S","6","high","Il6","22.40181","22.57413","22.48797","19.85877"," 2.62919561"
"35","1","S","6","low","Il6","27.43343","27.59644","27.51493","20.15228"," 7.36265656"
"36","1","S","6","low","Cxcl2","23.48059","23.28253","23.38156","20.15228"," 3.22928418"
"37","1","S","6","med","Il6","25.59080","25.54123","25.56602","20.40135"," 5.16466492"
"38","1","S","6","med","Cxcl2","23.97266","23.74336","23.85801","20.40135"," 3.45666175"
"39","2","Control","0","none","Cxcl2","22.47857","22.24534","22.36196","19.25574"," 3.10621247"
"40","2","Control","0","none","Il6","28.26443","28.39334","28.32889","19.25574"," 9.07314351"
"41","2","L","2","high","Cxcl2","18.21183","21.45689","19.83436","21.14950","-1.31514380"
"42","2","L","2","high","Il6","19.01764",NA,"19.01764","21.14950","-2.13185912"
"43","2","L","2","low","Il6","25.35866","25.37391","25.36629","18.78122"," 6.58507115"
"44","2","L","2","low","Cxcl2","21.30405","21.24509","21.27457","18.78122"," 2.49335127"
"45","2","L","2","med","Cxcl2","19.54118","19.57362","19.55740","19.32187"," 0.23553497"
"46","2","L","2","med","Il6","20.70016",NA,"20.70016","19.32187"," 1.37829712"
"47","2","L","6","high","Cxcl2","19.34444","19.40421","19.37433","19.42652","-0.05219784"
"48","2","L","6","high","Il6","18.76540","18.73824","18.75182","19.42652","-0.67470214"
"49","2","L","6","low","Il6","27.11967","27.08124","27.10046","19.45207"," 7.64838702"
"50","2","L","6","low","Cxcl2","22.21826","22.12228","22.17027","19.45207"," 2.71819899"
"51","2","L","6","med","Cxcl2","20.69897","20.55086","20.62492","19.40309"," 1.22182936"
"52","2","L","6","med","Il6","21.86058","21.83392","21.84725","19.40309"," 2.44416256"
"53","2","LS","2","high","Cxcl2","19.16428","18.69184","18.92806","20.65927","-1.73121137"
"54","2","LS","2","high","Il6","21.03087","18.91755","19.97421","20.65927","-0.68505838"
"55","2","LS","2","low","Cxcl2",NA,"21.80737","21.80737","21.35110"," 0.45627276"
"56","2","LS","2","low","Il6","26.35885","26.85120","26.60502","21.35110"," 5.25392530"
"57","2","LS","2","med","Cxcl2","23.50386",NA,"23.50386","20.97157"," 2.53229023"
"58","2","LS","2","med","Il6",NA,"21.74589","21.74589","20.97157"," 0.77431730"
"59","2","LS","6","high","Cxcl2","20.42229","20.48456","20.45342","19.48914"," 0.96428537"
"60","2","LS","6","high","Il6","17.91760","18.01741","17.96751","19.48914","-1.52163055"
"61","2","LS","6","low","Cxcl2","22.20000","22.15417","22.17709","19.45697"," 2.72012126"
"62","2","LS","6","low","Il6","26.93764","26.94135","26.93950","19.45697"," 7.48252872"
"63","2","LS","6","med","Cxcl2","20.28260","20.48852","20.38556","19.35043"," 1.03513529"
"64","2","LS","6","med","Il6","19.81428","19.69506","19.75467","19.35043"," 0.40424260"
"65","2","S","2","high","Cxcl2","22.66604",NA,"22.66604","21.87389"," 0.79214966"
"66","2","S","2","high","Il6","26.74709",NA,"26.74709","21.87389"," 4.87319955"
"67","2","S","2","low","Cxcl2",NA,"26.95000","26.95000","21.04220"," 5.90780842"
"68","2","S","2","med","Cxcl2",NA,"27.12466","27.12466","19.48473"," 7.63993235"
"69","2","S","2","med","Il6","26.26910","26.38005","26.32458","19.48473"," 6.83984562"
"70","2","S","6","high","Cxcl2","23.40946","23.35287","23.38117","19.57957"," 3.80159125"
"71","2","S","6","high","Il6","22.55606","22.62474","22.59040","19.57957"," 3.01082495"
"72","2","S","6","low","Il6","27.68499","27.58665","27.63582","19.48377"," 8.15204733"
"73","2","S","6","low","Cxcl2","27.27114","27.02208","27.14661","19.48377"," 7.66283912"
"74","2","S","6","med","Cxcl2","22.91351","22.94549","22.92950","19.90088"," 3.02861788"
"75","2","S","6","med","Il6","25.25819","25.21559","25.23689","19.90088"," 5.33600567"
"76","3","Control","0","none","Cxcl2","22.20102","22.21459","22.20781","19.41243"," 2.79537887"
"77","3","Control","0","none","Il6","28.02166","28.15272","28.08719","19.41243"," 8.67476390"
