"","Biol_Rep","Treatment","Time","Dose","Gene","Tech_Rep_1","Tech_Rep_2","Avg_Cq","Gapdh_Avg_Cq","dCq"
"1","1","Control","0","none","Cxcl2","22.00496","22.14272","22.07384","19.04906"," 3.02477993"
"2","1","Control","0","none","Il6","28.85449","28.74697","28.80073","19.04906"," 9.75167235"
"3","1","Control","0","none","Il27","29.32136",NA,"29.32136","19.04906","10.27229966"
"4","1","Control","0","none","Cxcl1","27.33788",NA,"27.33788","19.04906"," 8.28882079"
"5","1","L","2","high","Cxcl1","22.02423","21.37023","21.69723","19.09077"," 2.60645903"
"6","1","L","2","high","Cxcl2","17.84673","17.73970","17.79322","19.09077","-1.29755467"
"7","1","L","2","high","Il6","19.42398","19.55885","19.49142","19.09077"," 0.40064577"
"8","1","L","2","high","Il27","23.00263","23.00082","23.00172","19.09077"," 3.91095075"
"9","1","L","2","low","Cxcl2","21.39412","21.26540","21.32976","19.68118"," 1.64857928"
"10","1","L","2","low","Il27","30.41578","29.56209","29.98893","19.68118","10.30775871"
"11","1","L","2","low","Cxcl1","27.78013","27.15742","27.46877","19.68118"," 7.78759797"
"12","1","L","2","low","Il6","27.86805","27.74642","27.80724","19.68118"," 8.12606191"
"13","1","L","2","med","Cxcl1","24.00489",NA,"24.00489","19.24526"," 4.75963743"
"14","1","L","2","med","Cxcl2","18.85176","19.06655","18.95915","19.24526","-0.28610271"
"15","1","L","2","med","Il6","22.05521","22.29085","22.17303","19.24526"," 2.92777457"
"16","1","L","2","med","Il27","26.02335","26.01520","26.01928","19.24526"," 6.77401913"
"17","1","L","6","high","Cxcl1","24.81805","24.69724","24.75764","19.46689"," 5.29075073"
"18","1","L","6","high","Il6","19.11181","19.04153","19.07667","19.46689","-0.39022182"
"19","1","L","6","high","Cxcl2","19.98002","19.86532","19.92267","19.46689"," 0.45577589"
"20","1","L","6","high","Il27","23.32659","23.22125","23.27392","19.46689"," 3.80702707"
"21","1","L","6","low","Cxcl2","20.41973","20.43391","20.42682","19.22411"," 1.20270427"
"22","1","L","6","low","Il6","25.64952","25.57183","25.61068","19.22411"," 6.38656293"
"23","1","L","6","low","Cxcl1","26.87410","26.83201","26.85306","19.22411"," 7.62894316"
"24","1","L","6","low","Il27","26.44979","26.69369","26.57174","19.22411"," 7.34762652"
"25","1","L","6","med","Cxcl1","26.36363",NA,"26.36363","19.25655"," 7.10707781"
"26","1","L","6","med","Cxcl2","21.20282","21.29239","21.24761","19.25655"," 1.99105494"
"27","1","L","6","med","Il6","22.62653","22.39168","22.50910","19.25655"," 3.25255422"
"28","1","L","6","med","Il27","25.14269","25.00024","25.07146","19.25655"," 5.81491454"
"29","1","LS","2","high","Il6","19.31721","19.32429","19.32075","18.79344"," 0.52731472"
"30","1","LS","2","high","Cxcl2","17.19803","17.12359","17.16081","18.79344","-1.63262631"
"31","1","LS","2","high","Cxcl1","21.59785","21.60076","21.59930","18.79344"," 2.80586596"
"32","1","LS","2","high","Il27","22.53868","22.63775","22.58822","18.79344"," 3.79477891"
"33","1","LS","2","low","Il27","30.44422","30.21734","30.33078","19.93151","10.39927569"
"34","1","LS","2","low","Cxcl2","21.24897","20.97530","21.11214","19.93151"," 1.18062905"
"35","1","LS","2","low","Il6","27.93936","28.03681","27.98808","19.93151"," 8.05657647"
"36","1","LS","2","low","Cxcl1","27.30164","27.09147","27.19656","19.93151"," 7.26504899"
"37","1","LS","2","med","Cxcl1","23.25618",NA,"23.25618","18.90758"," 4.34859724"
"38","1","LS","2","med","Il6","21.66214","21.63452","21.64833","18.90758"," 2.74075346"
"39","1","LS","2","med","Il27","25.21550","25.45577","25.33563","18.90758"," 6.42805323"
"40","1","LS","2","med","Cxcl2","19.19738","18.73343","18.96540","18.90758"," 0.05782066"
"41","1","LS","6","high","Il27","22.52169","22.50645","22.51407","19.40007"," 3.11400607"
"42","1","LS","6","high","Il6","18.74665","18.64765","18.69715","19.40007","-0.70291697"
"43","1","LS","6","high","Cxcl1","25.13680","25.20471","25.17075","19.40007"," 5.77068673"
"44","1","LS","6","high","Cxcl2","20.53994","20.53038","20.53516","19.40007"," 1.13509384"
"45","1","LS","6","low","Cxcl2","21.19917","21.20261","21.20089","19.18566"," 2.01522459"
"46","1","LS","6","low","Il6","28.04975","27.85198","27.95087","19.18566"," 8.76520193"
"47","1","LS","6","low","Cxcl1","27.80518","27.45308","27.62913","19.18566"," 8.44346556"
"48","1","LS","6","low","Il27","28.39616","27.90677","28.15146","19.18566"," 8.96579680"
"49","1","LS","6","med","Il27","24.04723","24.22007","24.13365","19.01624"," 5.11740626"
"50","1","LS","6","med","Cxcl1","26.47399",NA,"26.47399","19.01624"," 7.45774748"
"51","1","LS","6","med","Il6","21.33048","21.42909","21.37978","19.01624"," 2.36354014"
"52","1","LS","6","med","Cxcl2","21.06476","20.65125","20.85800","19.01624"," 1.84175895"
"53","1","S","2","high","Il6","23.41755","23.52843","23.47299","19.08266"," 4.39032593"
"54","1","S","2","high","Cxcl2","22.78827","22.41103","22.59965","19.08266"," 3.51699104"
"55","1","S","2","high","Cxcl1","28.06164","28.00846","28.03505","19.08266"," 8.95238890"
"56","1","S","2","high","Il27","25.84039","26.06646","25.95343","19.08266"," 6.87076393"
"57","1","S","2","low","Cxcl1","28.35506","28.37693","28.36600","19.72586"," 8.64013688"
"58","1","S","2","low","Il6","29.25137","29.54661","29.39899","19.72586"," 9.67312895"
"59","1","S","2","low","Il27","30.71430","30.78422","30.74926","19.72586","11.02340176"
"60","1","S","2","low","Cxcl2","22.21241","22.14337","22.17789","19.72586"," 2.45202726"
"61","1","S","2","med","Cxcl1","28.14479",NA,"28.14479","19.15270"," 8.99208525"
"62","1","S","2","med","Il27","28.57738","28.82062","28.69900","19.15270"," 9.54630011"
"63","1","S","2","med","Cxcl2","22.46828","23.02239","22.74534","19.15270"," 3.59263453"
"64","1","S","2","med","Il6","26.86014","27.09112","26.97563","19.15270"," 7.82292434"
"65","1","S","6","high","Il6","22.82877","22.80667","22.81772","19.18126"," 3.63645981"
"66","1","S","6","high","Cxcl1","28.39508","28.91521","28.65514","19.18126"," 9.47388274"
"67","1","S","6","high","Il27","22.75694","22.66354","22.71024","19.18126"," 3.52898133"
"68","1","S","6","high","Cxcl2","23.06945","22.80260","22.93603","19.18126"," 3.75476492"
"69","1","S","6","low","Il6","28.58538","28.53597","28.56067","19.26212"," 9.29855032"
"70","1","S","6","low","Il27","28.50864","28.35243","28.43054","19.26212"," 9.16841189"
"71","1","S","6","low","Cxcl2","22.04141","21.68804","21.86473","19.26212"," 2.60260156"
"72","1","S","6","low","Cxcl1","28.06122","28.40027","28.23074","19.26212"," 8.96861717"
"73","1","S","6","med","Cxcl2","22.30779","22.22336","22.26558","19.36140"," 2.90417809"
"74","1","S","6","med","Il27","26.03991","25.67177","25.85584","19.36140"," 6.49444370"
"75","1","S","6","med","Cxcl1","28.63819",NA,"28.63819","19.36140"," 9.27678834"
"76","1","S","6","med","Il6","26.13284","26.09690","26.11487","19.36140"," 6.75347312"
"77","2","Control","0","none","Il27","29.12859",NA,"29.12859","18.75084","10.37774568"
"78","2","Control","0","none","Il6","28.59224","28.71428","28.65326","18.75084"," 9.90241615"
"79","2","Control","0","none","Cxcl2","21.67151","21.85806","21.76478","18.75084"," 3.01394326"
"80","2","Control","0","none","Cxcl1","27.69374",NA,"27.69374","18.75084"," 8.94290471"
"81","2","L","2","high","Cxcl2","17.61595","18.01221","17.81408","19.10226","-1.28817650"
"82","2","L","2","high","Il6","19.47901","19.40570","19.44236","19.10226"," 0.34010198"
"83","2","L","2","high","Il27","22.70224","23.00715","22.85469","19.10226"," 3.75243843"
"84","2","L","2","high","Cxcl1","21.54199","22.29311","21.91755","19.10226"," 2.81529468"
"85","2","L","2","low","Cxcl1","25.69288","25.51271","25.60280","19.48952"," 6.11328056"
"86","2","L","2","low","Cxcl2","21.11456","21.46827","21.29142","19.48952"," 1.80190028"
"87","2","L","2","low","Il27","28.63559","27.92054","28.27806","19.48952"," 8.78854796"
"88","2","L","2","low","Il6","25.55298","25.53486","25.54392","19.48952"," 6.05440731"
"89","2","L","2","med","Il6","21.05979","21.19915","21.12947","19.47466"," 1.65480912"
"90","2","L","2","med","Il27","24.68186","24.83973","24.76079","19.47466"," 5.28612760"
"91","2","L","2","med","Cxcl2","19.73811","19.27280","19.50545","19.47466"," 0.03079166"
"92","2","L","2","med","Cxcl1","23.12010","23.21744","23.16877","19.47466"," 3.69410745"
"93","2","L","6","high","Cxcl1","24.11906","24.30710","24.21308","19.34410"," 4.86898355"
"94","2","L","6","high","Il6","19.02666","18.83414","18.93040","19.34410","-0.41369785"
"95","2","L","6","high","Il27","23.52485","23.30610","23.41548","19.34410"," 4.07138022"
"96","2","L","6","high","Cxcl2","19.34583","19.58575","19.46579","19.34410"," 0.12169326"
"97","2","L","6","low","Cxcl2","22.15838","21.99914","22.07876","19.44566"," 2.63310494"
"98","2","L","6","low","Il27","27.36994","27.58946","27.47970","19.44566"," 8.03404125"
"99","2","L","6","low","Il6","27.37419","27.40599","27.39009","19.44566"," 7.94443283"
"100","2","L","6","low","Cxcl1","27.66729","27.42357","27.54543","19.44566"," 8.09977069"
"101","2","L","6","med","Il6","22.12209","22.13780","22.12994","18.74797"," 3.38197923"
"102","2","L","6","med","Cxcl1","25.70782","26.18445","25.94614","18.74797"," 7.19817020"
"103","2","L","6","med","Il27","24.90534","24.60506","24.75520","18.74797"," 6.00723677"
"104","2","L","6","med","Cxcl2","20.38479","20.22063","20.30271","18.74797"," 1.55474855"
"105","2","LS","2","high","Cxcl2","16.74473","16.98262","16.86368","18.72663","-1.86295172"
"106","2","LS","2","high","Il6","19.20191","19.25141","19.22666","18.72663"," 0.50003453"
"107","2","LS","2","high","Cxcl1","20.93107","21.33168","21.13138","18.72663"," 2.40474948"
"108","2","LS","2","high","Il27","22.26244","22.43370","22.34807","18.72663"," 3.62144358"
"109","2","LS","2","low","Cxcl1","26.37437","26.37411","26.37424","18.59941"," 7.77482660"
"110","2","LS","2","low","Cxcl2","21.09795","21.42987","21.26391","18.59941"," 2.66449153"
"111","2","LS","2","low","Il27","28.46199","28.63141","28.54670","18.59941"," 9.94728227"
"112","2","LS","2","low","Il6","26.56322","26.60824","26.58573","18.59941"," 7.98631566"
"113","2","LS","2","med","Il27","25.50471","25.44899","25.47685","18.56805"," 6.90879852"
"114","2","LS","2","med","Il6","21.73059","21.96567","21.84813","18.56805"," 3.28008225"
"115","2","LS","2","med","Cxcl1","24.06732","24.42471","24.24601","18.56805"," 5.67796188"
"116","2","LS","2","med","Cxcl2","19.86179","19.09876","19.48028","18.56805"," 0.91222741"
"117","2","LS","6","high","Il6","18.26090","18.33805","18.29948","19.19991","-0.90042944"
"118","2","LS","6","high","Il27","22.10637","22.12871","22.11754","19.19991"," 2.91763514"
"119","2","LS","6","high","Cxcl2","20.83948","20.34407","20.59178","19.19991"," 1.39187392"
"120","2","LS","6","high","Cxcl1","25.22058","25.73872","25.47965","19.19991"," 6.27974408"
"121","2","LS","6","low","Cxcl2","21.59873","21.62577","21.61225","19.23546"," 2.37678957"
"122","2","LS","6","low","Cxcl1","27.25918","27.25657","27.25788","19.23546"," 8.02241634"
"123","2","LS","6","low","Il27","27.76577","27.87457","27.82017","19.23546"," 8.58470663"
"124","2","LS","6","low","Il6","27.38555","27.32083","27.35319","19.23546"," 8.11773103"
"125","2","LS","6","med","Cxcl1","25.43429","26.34016","25.88723","18.89762"," 6.98960908"
"126","2","LS","6","med","Cxcl2","20.92699","20.63867","20.78283","18.89762"," 1.88521071"
"127","2","LS","6","med","Il6","20.19574","20.40607","20.30091","18.89762"," 1.40329084"
"128","2","LS","6","med","Il27","23.52794","23.64441","23.58617","18.89762"," 4.68855693"
"129","2","S","2","high","Cxcl1","28.19623","28.36595","28.28109","18.88292"," 9.39817695"
"130","2","S","2","high","Il6","23.31915","23.34118","23.33016","18.88292"," 4.44724874"
"131","2","S","2","high","Cxcl2","22.34866","22.34847","22.34857","18.88292"," 3.46565254"
"132","2","S","2","high","Il27","26.07248","26.12607","26.09928","18.88292"," 7.21636259"
"133","2","S","2","low","Cxcl1","27.89332","27.70593","27.79962","19.20866"," 8.59096201"
"134","2","S","2","low","Cxcl2","22.91242","22.92671","22.91956","19.20866"," 3.71089968"
"135","2","S","2","low","Il6","27.26112","27.39259","27.32685","19.20866"," 8.11819182"
"136","2","S","2","low","Il27","28.87038","29.40359","29.13699","19.20866"," 9.92832748"
"137","2","S","2","med","Il6","26.77024","26.93631","26.85327","19.42007"," 7.43320045"
"138","2","S","2","med","Cxcl1","28.24191","28.46849","28.35520","19.42007"," 8.93512798"
"139","2","S","2","med","Il27","28.74179","28.91475","28.82827","19.42007"," 9.40819695"
"140","2","S","2","med","Cxcl2","23.05524","22.80961","22.93242","19.42007"," 3.51235012"
"141","2","S","6","high","Il27","22.86279","22.87052","22.86665","19.98354"," 2.88311383"
"142","2","S","6","high","Cxcl2","23.26110","23.35205","23.30658","19.98354"," 3.32303806"
"143","2","S","6","high","Il6","23.11339","22.92259","23.01799","19.98354"," 3.03445196"
"144","2","S","6","high","Cxcl1","29.02399","29.29052","29.15725","19.98354"," 9.17371346"
"145","2","S","6","low","Cxcl2","22.45356","22.92097","22.68726","19.23692"," 3.45034480"
"146","2","S","6","low","Cxcl1","28.02480","27.85993","27.94237","19.23692"," 8.70544884"
"147","2","S","6","low","Il27","28.02609","28.28273","28.15441","19.23692"," 8.91749274"
"148","2","S","6","low","Il6","28.05898","28.11418","28.08658","19.23692"," 8.84966101"
"149","2","S","6","med","Cxcl1","28.45227","29.14665","28.79946","19.22952"," 9.56993731"
"150","2","S","6","med","Cxcl2","22.04717","21.98561","22.01639","19.22952"," 2.78686936"
"151","2","S","6","med","Il6","25.71518","25.61957","25.66738","19.22952"," 6.43785438"
"152","2","S","6","med","Il27","25.20022","25.36744","25.28383","19.22952"," 6.05430967"
"153","3","Control","0","none","Cxcl2","21.47920","22.30793","21.89356","18.41396"," 3.47960639"
"154","3","Control","0","none","Il6","28.96921","28.86587","28.91754","18.41396","10.50358050"
"155","3","Control","0","none","Il27","29.57155",NA,"29.57155","18.41396","11.15759134"
"156","3","Control","0","none","Cxcl1","27.35033",NA,"27.35033","18.41396"," 8.93637057"
