"","Bio_Rep","Target_oligo","Gene","Tech_Rep_1","Tech_Rep_2","Avg_Cq","2_Avg_Cq","Gapdh_Avg_Cq","dCq","2_dCq","2_Gapdh_Avg_Cq","system","rep_means_Cq","rep_means_2_Cq","rep_means_dCq","rep_means_2_dCq","rep_means_Gapdh","rep_means_2_Gapdh"
"1","1","Ctu1_g1","Ctu1","27.54","28.66","28.100","3.475819e-09","27.325"," 0.775","0.5843886243","5.947786e-09","gRNA","28.52750","2.584442e-09"," 1.412500","0.3756601531","27.11500","6.879734e-09"
"2","1","Ctu1_g2","Ctu1","28.92","28.80","28.860","2.052458e-09","26.600"," 2.260","0.2087719799","9.831100e-09","gRNA","28.99250","1.872354e-09"," 2.712500","0.1525654298","26.28000","1.227246e-08"
"3","1","Ctu1_g4","Ctu1","27.91","27.92","27.915","3.951370e-09","20.485"," 7.430","0.0057989202","6.813975e-07","gRNA","27.89250","4.013478e-09"," 7.602500","0.0051454037","20.29000","7.800122e-07"
"4","1","Ctu1_g5","Ctu1","28.60","27.89","28.245","3.143459e-09","18.535"," 9.710","0.0011939846","2.632746e-06","gRNA","28.29000","3.046923e-09"," 9.765000","0.0011493230","18.52500","2.651059e-06"
"5","1","Ctu1_sh1","Ctu1","27.56","27.82","27.690","4.618271e-09","18.995"," 8.695","0.0024129270","1.913970e-06","shRNA","27.77750","4.346496e-09"," 8.975000","0.0019872650","18.80250","2.187175e-06"
"6","1","Ctu1_sh2","Ctu1","28.77","28.49","28.630","2.407195e-09","18.145","10.485","0.0006977510","3.449934e-06","shRNA","27.95500","3.843319e-09"," 9.725000","0.0011816349","18.23000","3.252544e-06"
"7","1","Ctu1_sh3","Ctu1","27.34","28.04","27.690","4.618271e-09","19.325"," 8.365","0.0030330815","1.522633e-06","shRNA","28.23750","3.159843e-09"," 9.510000","0.0013715282","18.72750","2.303885e-06"
"8","1","Ctu1_sh4","Ctu1","28.55","28.08","28.315","2.994578e-09","16.905","11.410","0.0003674919","8.148692e-06","shRNA","28.22500","3.187340e-09","11.240000","0.0004134499","16.98500","7.709133e-06"
"9","1","Ctu2_g1","Ctu1","29.21","28.72","28.965","1.908386e-09","25.575"," 3.390","0.0953912006","2.000589e-08","gRNA","29.18500","1.638474e-09"," 3.102500","0.1164271961","26.08250","1.407295e-08"
"10","1","Ctu2_g3","Ctu1","28.91","28.48","28.695","2.301147e-09","27.520"," 1.175","0.4428837596","5.195825e-09","gRNA","29.26250","1.552779e-09"," 2.285000","0.2051854022","26.97750","7.567689e-09"
"11","1","Ctu2_g4","Ctu1","27.01","28.35","27.680","4.650394e-09","19.940"," 7.740","0.0046776512","9.941728e-07","gRNA","28.52000","2.597913e-09"," 8.017500","0.0038591531","20.50250","6.731820e-07"
"12","1","Ctu2_g5","Ctu1","28.64","28.56","28.600","2.457775e-09","18.550","10.050","0.0009432972","2.605515e-06","gRNA","28.29000","3.046923e-09","10.247500","0.0008226121","18.04250","3.703960e-06"
"13","1","Ctu2_sh1","Ctu1","28.53","28.85","28.690","2.309136e-09","17.555","11.135","0.0004446630","5.193001e-06","shRNA","28.81750","2.113820e-09","11.122500","0.0004485325","17.69500","4.712748e-06"
"14","1","Ctu2_sh2","Ctu1","27.25","28.02","27.635","4.797733e-09","18.415"," 9.220","0.0016768856","2.861097e-06","shRNA","28.28500","3.057501e-09","10.202500","0.0008486751","18.08250","3.602675e-06"
"15","1","Ctu2_sh3","Ctu1","28.05","28.73","28.390","2.842879e-09","18.660"," 9.730","0.0011775467","2.414239e-06","shRNA","28.80250","2.135913e-09","10.402500","0.0007388146","18.40000","2.891000e-06"
"16","1","Ctu2_sh4","Ctu1","26.90","28.41","27.655","4.731681e-09","17.785"," 9.870","0.0010686462","4.427734e-06","shRNA","27.72000","4.523228e-09","10.525000","0.0006786710","17.19500","6.664832e-06"
"17","1","Empty_sh1","Ctu1","28.88","28.69","28.785","2.161980e-09","18.090","10.695","0.0006032318","3.583995e-06","shRNA","28.35500","2.912691e-09"," 9.550000","0.0013340237","18.80500","2.183388e-06"
"18","1","Myd88_g1","Ctu1","29.64","27.15","28.395","2.833044e-09","19.845"," 8.550","0.0026680474","1.061842e-06","gRNA","28.93750","1.945111e-09"," 7.805000","0.0044715788","21.13250","4.349944e-07"
"19","1","None","Ctu1","26.18","29.60","27.890","4.020438e-09","26.605"," 1.285","0.4103708044","9.797087e-09","shRNA","28.87375","2.032990e-09"," 2.253750","0.2096783775","26.62000","9.695752e-09"
"20","1","Scr_g1","Ctu1","29.12","27.47","28.295","3.036381e-09","27.610"," 0.685","0.6220058266","4.881596e-09","gRNA","27.00250","7.437681e-09","-0.240000","1.1809926614","27.24250","6.297821e-09"
"21","1","Scr_g2","Ctu1","29.81","26.29","28.050","3.598393e-09","27.280"," 0.770","0.5864174746","6.136231e-09","gRNA","28.71000","2.277345e-09"," 1.485000","0.3572485349","27.22500","6.374680e-09"
"22","1","Scr_sh2","Ctu1","28.68","28.89","28.785","2.161980e-09","26.250"," 2.535","0.1725396692","1.253033e-08","shRNA","28.52000","2.597913e-09"," 2.352500","0.1958064236","26.16750","1.326776e-08"
"23","1","Scr_sh3","Ctu1","28.29","29.46","28.875","2.031229e-09","26.990"," 1.885","0.2707437614","7.502403e-09","shRNA","28.70250","2.289215e-09"," 1.622500","0.3247721886","27.08000","7.048679e-09"
"24","2","Ctu1_g1","Ctu1","29.44","28.47","28.955","1.921660e-09","26.905"," 2.050","0.2414840822","7.957707e-09","gRNA","28.52750","2.584442e-09"," 1.412500","0.3756601531","27.11500","6.879734e-09"
"25","2","Ctu1_g2","Ctu1","28.76","29.49","29.125","1.708053e-09","25.960"," 3.165","0.1114910649","1.532009e-08","gRNA","28.99250","1.872354e-09"," 2.712500","0.1525654298","26.28000","1.227246e-08"
"26","2","Ctu1_g4","Ctu1","28.08","27.66","27.870","4.076562e-09","20.095"," 7.775","0.0045655361","8.928988e-07","gRNA","27.89250","4.013478e-09"," 7.602500","0.0051454037","20.29000","7.800122e-07"
"27","2","Ctu1_g5","Ctu1","28.09","28.58","28.335","2.953351e-09","18.515"," 9.820","0.0011063319","2.669498e-06","gRNA","28.29000","3.046923e-09"," 9.765000","0.0011493230","18.52500","2.651059e-06"
"28","2","Ctu1_sh1","Ctu1","28.68","27.05","27.865","4.090715e-09","18.610"," 9.255","0.0016366936","2.499377e-06","shRNA","27.77750","4.346496e-09"," 8.975000","0.0019872650","18.80250","2.187175e-06"
"29","2","Ctu1_sh2","Ctu1","26.82","27.74","27.280","6.136231e-09","18.315"," 8.965","0.0020010875","3.066448e-06","shRNA","27.95500","3.843319e-09"," 9.725000","0.0011816349","18.23000","3.252544e-06"
"30","2","Ctu1_sh3","Ctu1","28.69","28.88","28.785","2.161980e-09","18.130","10.655","0.0006201909","3.485990e-06","shRNA","28.23750","3.159843e-09"," 9.510000","0.0013715282","18.72750","2.303885e-06"
