"","Bio_Rep","Target_oligo","Gene","Tech_Rep_1","Tech_Rep_2","Avg_Cq","2_Avg_Cq","Gapdh_Avg_Cq","dCq","2_dCq","2_Gapdh_Avg_Cq","system","rep_means_Cq","rep_means_2_Cq","rep_means_dCq","rep_means_2_dCq","rep_means_Gapdh","rep_means_2_Gapdh","Target"
"1","1","Ctu1_g1","Ctu1","28.73304","28.85138","28.79221","2.151203e-09","16.87323","11.9189789","2.582438e-04","8.330127e-06","gRNA","28.69622","2.299194e-09","12.166938","2.174636e-04","16.52929","1.057278e-05","Ctu1"
"2","1","Ctu1_g2","Ctu1","28.20990","28.19984","28.20487","3.232128e-09","15.68594","12.5189281","1.703833e-04","1.896974e-05","gRNA","28.41937","2.785590e-09","12.444504","1.794035e-04","15.97487","1.552695e-05","Ctu1"
"3","1","Ctu1_g4","Ctu1","28.08464","28.14502","28.11483","3.440262e-09","16.48591","11.6289277","3.157504e-04","1.089551e-05","gRNA","28.17516","3.299366e-09","11.930994","2.561019e-04","16.24417","1.288302e-05","Ctu1"
"4","1","Ctu1_g5","Ctu1","28.36918","28.23904","28.30411","3.017268e-09","16.42216","11.8819525","2.649573e-04","1.138775e-05","gRNA","28.21258","3.214907e-09","12.091973","2.290623e-04","16.12060","1.403508e-05","Ctu1"
"5","1","Ctu2_g1","Ctu1","27.91608","28.01807","27.96707","3.811291e-09","15.97524","11.9918283","2.455274e-04","1.552287e-05","gRNA","28.31139","3.002083e-09","11.997658","2.445373e-04","16.31373","1.227659e-05","Ctu2"
"6","1","Ctu2_g3","Ctu1","28.86352","28.93425","28.89889","1.997877e-09","15.33195","13.5669382","8.240331e-05","2.424510e-05","gRNA","28.88310","2.019851e-09","13.104881","1.135109e-04","15.77822","1.779433e-05","Ctu2"
"7","1","Ctu2_g4","Ctu1","29.20139","29.26823","29.23481","1.582871e-09","17.07410","12.1607120","2.184042e-04","7.247439e-06","gRNA","29.06439","1.781342e-09","12.552347","1.664819e-04","16.51204","1.069991e-05","Ctu2"
"8","1","Ctu2_g5","Ctu1","29.95985","30.68748","30.32367","7.441609e-10","17.71523","12.6084332","1.601339e-04","4.647115e-06","gRNA","29.93565","9.738050e-10","12.405903","1.842685e-04","17.52974","5.284708e-06","Ctu2"
"9","1","Myd88_g1","Ctu1","28.46216","28.52344","28.49280","2.647355e-09","16.15968","12.3331237","1.938027e-04","1.366005e-05","gRNA","28.74240","2.226768e-09","12.227776","2.084840e-04","16.51463","1.068076e-05","Control"
"10","1","Myd88_g1","Ctu1","28.46216","28.52344","28.49280","2.647355e-09","16.70498","11.7878177","2.828221e-04","9.360498e-06","gRNA","28.74240","2.226768e-09","12.227776","2.084840e-04","16.51463","1.068076e-05","Control"
"11","1","Myd88_g1","Ctu1","28.46216","28.52344","28.49280","2.647355e-09","17.22666","11.2661392","4.060263e-04","6.520157e-06","gRNA","28.74240","2.226768e-09","12.227776","2.084840e-04","16.51463","1.068076e-05","Control"
"12","1","Myd88_g1","Ctu1","28.46216","28.52344","28.49280","2.647355e-09","15.57098","12.9218242","1.288675e-04","2.054324e-05","gRNA","28.74240","2.226768e-09","12.227776","2.084840e-04","16.51463","1.068076e-05","Control"
"13","1","Myd88_g1","Ctu1","29.66775","29.71333","29.69054","1.154138e-09","16.15968","13.5308594","8.449003e-05","1.366005e-05","gRNA","28.74240","2.226768e-09","12.227776","2.084840e-04","16.51463","1.068076e-05","Control"
"14","1","Myd88_g1","Ctu1","29.66775","29.71333","29.69054","1.154138e-09","16.70498","12.9855533","1.232988e-04","9.360498e-06","gRNA","28.74240","2.226768e-09","12.227776","2.084840e-04","16.51463","1.068076e-05","Control"
"15","1","Myd88_g1","Ctu1","29.66775","29.71333","29.69054","1.154138e-09","17.22666","12.4638748","1.770108e-04","6.520157e-06","gRNA","28.74240","2.226768e-09","12.227776","2.084840e-04","16.51463","1.068076e-05","Control"
"16","1","Myd88_g1","Ctu1","29.66775","29.71333","29.69054","1.154138e-09","15.57098","14.1195598","5.618094e-05","2.054324e-05","gRNA","28.74240","2.226768e-09","12.227776","2.084840e-04","16.51463","1.068076e-05","Control"
"17","1","Myd88_g1","Ctu1","28.40958","28.55618","28.48288","2.665619e-09","16.15968","12.3232050","1.951397e-04","1.366005e-05","gRNA","28.74240","2.226768e-09","12.227776","2.084840e-04","16.51463","1.068076e-05","Control"
"18","1","Myd88_g1","Ctu1","28.40958","28.55618","28.48288","2.665619e-09","16.70498","11.7778990","2.847732e-04","9.360498e-06","gRNA","28.74240","2.226768e-09","12.227776","2.084840e-04","16.51463","1.068076e-05","Control"
"19","1","Myd88_g1","Ctu1","28.40958","28.55618","28.48288","2.665619e-09","17.22666","11.2562204","4.088274e-04","6.520157e-06","gRNA","28.74240","2.226768e-09","12.227776","2.084840e-04","16.51463","1.068076e-05","Control"
"20","1","Myd88_g1","Ctu1","28.40958","28.55618","28.48288","2.665619e-09","15.57098","12.9119055","1.297565e-04","2.054324e-05","gRNA","28.74240","2.226768e-09","12.227776","2.084840e-04","16.51463","1.068076e-05","Control"
"21","1","Myd88_g1","Ctu1","28.19398","28.06797","28.13098","3.401978e-09","16.15968","11.9713016","2.490457e-04","1.366005e-05","gRNA","28.74240","2.226768e-09","12.227776","2.084840e-04","16.51463","1.068076e-05","Control"
"22","1","Myd88_g1","Ctu1","28.19398","28.06797","28.13098","3.401978e-09","16.70498","11.4259956","3.634399e-04","9.360498e-06","gRNA","28.74240","2.226768e-09","12.227776","2.084840e-04","16.51463","1.068076e-05","Control"
"23","1","Myd88_g1","Ctu1","28.19398","28.06797","28.13098","3.401978e-09","17.22666","10.9043170","5.217633e-04","6.520157e-06","gRNA","28.74240","2.226768e-09","12.227776","2.084840e-04","16.51463","1.068076e-05","Control"
"24","1","Myd88_g1","Ctu1","28.19398","28.06797","28.13098","3.401978e-09","15.57098","12.5600021","1.656009e-04","2.054324e-05","gRNA","28.74240","2.226768e-09","12.227776","2.084840e-04","16.51463","1.068076e-05","Control"
"25","1","Scr_g2","Ctu1","28.62281","28.74060","28.68171","2.322450e-09","16.84421","11.8374983","2.732486e-04","8.499405e-06","gRNA","28.45940","2.709365e-09","11.867264","2.676687e-04","16.59213","1.012208e-05","Control"
"26","1",NA,"Ctu1","28.67452","29.05729","28.86590","2.044079e-09","17.02653","11.8393725","2.728938e-04","7.490382e-06","shRNA","29.16630","1.659849e-09","11.901008","2.614807e-04","17.26529","6.347885e-06","Control"
"27","1",NA,"Ctu1","37.48479",NA,"37.48479","5.199401e-12","27.16275","10.3220455","7.811864e-04","6.655774e-09","shRNA","38.23453","3.092150e-12","11.276040","4.032494e-04","26.95849","7.668082e-09","Control"
"28","2","Ctu1_g1","Ctu1","28.77473","28.42575","28.60024","2.457366e-09","16.18534","12.4148977","1.831232e-04","1.341919e-05","gRNA","28.69622","2.299194e-09","12.166938","2.174636e-04","16.52929","1.057278e-05","Ctu1"
