"","Bio_Rep","Target_oligo","Treatment","Gene","Tech_Rep_1","Tech_Rep_2","Avg_Cq","2_Avg_Cq","Gapdh_Avg_Cq","dCq","2_dCq","2_Gapdh_Avg_Cq","system","rep_means_Cq","rep_means_2_Cq","rep_means_dCq","rep_means_2_dCq","rep_means_Gapdh","rep_means_2_Gapdh","Target"
"1","1","Ctu1_g1","None","Ctu1","28.73304","28.85138","28.79221","2.151203e-09","16.87323","11.918979","2.582438e-04","8.330127e-06","gRNA","28.69622","2.299194e-09","12.166938","2.174636e-04","16.52929","1.057278e-05","Ctu1"
"2","1","Ctu1_g2","None","Ctu1","28.20990","28.19984","28.20487","3.232128e-09","15.68594","12.518928","1.703833e-04","1.896974e-05","gRNA","28.41937","2.785590e-09","12.444504","1.794035e-04","15.97487","1.552695e-05","Ctu1"
"3","1","Ctu1_g4","None","Ctu1","28.08464","28.14502","28.11483","3.440262e-09","16.48591","11.628928","3.157504e-04","1.089551e-05","gRNA","28.17516","3.299366e-09","11.930994","2.561019e-04","16.24417","1.288302e-05","Ctu1"
"4","1","Ctu1_g5","None","Ctu1","28.36918","28.23904","28.30411","3.017268e-09","16.42216","11.881953","2.649573e-04","1.138775e-05","gRNA","28.21258","3.214907e-09","12.091973","2.290623e-04","16.12060","1.403508e-05","Ctu1"
"5","1","Ctu2_g1","None","Ctu1","27.91608","28.01807","27.96707","3.811291e-09","15.97524","11.991828","2.455274e-04","1.552287e-05","gRNA","28.31139","3.002083e-09","11.997658","2.445373e-04","16.31373","1.227659e-05","Ctu2"
"6","1","Ctu2_g3","None","Ctu1","28.86352","28.93425","28.89889","1.997877e-09","15.33195","13.566938","8.240331e-05","2.424510e-05","gRNA","28.88310","2.019851e-09","13.104881","1.135109e-04","15.77822","1.779433e-05","Ctu2"
"7","1","Ctu2_g4","None","Ctu1","29.20139","29.26823","29.23481","1.582871e-09","17.07410","12.160712","2.184042e-04","7.247439e-06","gRNA","29.06439","1.781342e-09","12.552347","1.664819e-04","16.51204","1.069991e-05","Ctu2"
"8","1","Ctu2_g5","None","Ctu1","29.95985","30.68748","30.32367","7.441609e-10","17.71523","12.608433","1.601339e-04","4.647115e-06","gRNA","29.93565","9.738050e-10","12.405903","1.842685e-04","17.52974","5.284708e-06","Ctu2"
"9","1","Myd88_g1","LPS_1","Ctu1","28.19398","28.06797","28.13098","3.401978e-09","15.57098","12.560002","1.656009e-04","2.054324e-05","gRNA","28.33660","2.950072e-09","12.500641","1.725568e-04","15.83596","1.709624e-05","Control"
"10","1","Myd88_g1","LPS_10","Ctu1","28.46216","28.52344","28.49280","2.647355e-09","16.70498","11.787818","2.828221e-04","9.360498e-06","gRNA","28.34902","2.924786e-09","11.968735","2.494892e-04","16.38029","1.172310e-05","Control"
