"","Bio_Rep","Target_oligo","Treatment","Vector","Gene","Tech_Rep_1","Tech_Rep_2","Avg_Cq","2_Avg_Cq","Gapdh_Avg_Cq","dCq","2_dCq","2_Gapdh_Avg_Cq","rep_means_Cq","rep_means_2_Cq","rep_means_dCq","rep_means_2_dCq","rep_means_Gapdh","rep_means_2_Gapdh","system"
"1","1","Myd88_1","LPS (100ng/mL)","pLENTI (Kate)","Il6","26.74514","26.62540","26.68527","9.266886e-09","20.58304"," 6.10223184","0.01455610","6.366323e-07","26.38168","1.143725e-08","5.76548721","0.01838296","20.61620","6.221660e-07","gRNA"
"2","1","Myd88_1","LPS (100ng/mL)","pLKO.1 (Kate)","Il6","20.71449","20.32333","20.51891","6.655667e-07","20.48258"," 0.03633623","0.97512818","6.825428e-07","20.59400","6.318142e-07","0.17871485","0.88348966","20.41528","7.151349e-07","gRNA"
"3","1","Scr_1","LPS (100ng/mL)","pLENTI (Kate)","Il6","21.35558","21.01835","21.18696","4.188791e-07","21.51171","-0.32474832","1.25244593","3.344489e-07","20.97680","4.845686e-07","0.07120939","0.95183975","20.90559","5.090863e-07","gRNA"
"4","1","Scr_1","LPS (100ng/mL)","pLKO.1 (Kate)","Il6","20.30314","20.49856","20.40085","7.223249e-07","20.19129"," 0.20955663","0.86480296","8.352480e-07","20.57423","6.405285e-07","0.29341987","0.81596554","20.28081","7.849946e-07","gRNA"
"5","1","Scr_2","LPS (100ng/mL)","pLKO.1 (Kate)","Il6","21.00936","20.77747","20.89342","5.133991e-07","20.45088"," 0.44253193","0.73584207","6.977028e-07","20.75561","5.648575e-07","0.24834047","0.84186426","20.50727","6.709603e-07","gRNA"
"6","2","Myd88_1","LPS (100ng/mL)","pLENTI (Kate)","Il6","25.96357","26.19264","26.07810","1.411593e-08","20.64936"," 5.42874258","0.02321591","6.080285e-07","26.38168","1.143725e-08","5.76548721","0.01838296","20.61620","6.221660e-07","gRNA"
"7","2","Myd88_1","LPS (100ng/mL)","pLKO.1 (Kate)","Il6","20.72492","20.61324","20.66908","5.997735e-07","20.34799"," 0.32109348","0.80046295","7.492832e-07","20.59400","6.318142e-07","0.17871485","0.88348966","20.41528","7.151349e-07","gRNA"
"8","2","Scr_1","LPS (100ng/mL)","pLENTI (Kate)","Il6","20.73724","20.79602","20.76663","5.605596e-07","20.29946"," 0.46716711","0.72338365","7.749132e-07","20.97680","4.845686e-07","0.07120939","0.95183975","20.90559","5.090863e-07","gRNA"
"9","2","Scr_1","LPS (100ng/mL)","pLKO.1 (Kate)","Il6","20.98046","20.51478","20.74762","5.679948e-07","20.37034"," 0.37728312","0.76988608","7.377648e-07","20.57423","6.405285e-07","0.29341987","0.81596554","20.28081","7.849946e-07","gRNA"
"10","2","Scr_2","LPS (100ng/mL)","pLKO.1 (Kate)","Il6","20.76005","20.47555","20.61780","6.214737e-07","20.56365"," 0.05414900","0.96316241","6.452429e-07","20.75561","5.648575e-07","0.24834047","0.84186426","20.50727","6.709603e-07","gRNA"
