"","Bio_Rep","Target_oligo","Target","Oligo","Gene","Tech_Rep_1","Tech_Rep_2","Avg_Cq","2_Avg_Cq","Gapdh_Avg_Cq","dCq","2_dCq","2_Gapdh_Avg_Cq","rep_means_Cq","rep_se_Cq","rep_means_2_Cq","rep_means_dCq","rep_se_2_dCq","rep_means_2_dCq","rep_means_Gapdh","rep_se_Gapdh","rep_means_2_Gapdh","system"
"1","1","Ctu1_sh1","Ctu1","sh1","Ctu1","28.92940","28.66504","28.79722","2.143744e-09","18.68571","10.111507","0.0009039265","2.371592e-06","29.20207","0.404850268","1.619202e-09","10.696589","2.511240e-04","0.0006025677","18.50548","0.180231767","2.687170e-06","shRNA"
"2","1","Ctu1_sh16","Ctu1","sh16","Ctu1","34.18623","35.03257","34.60940","3.815334e-11","28.50956"," 6.099836","0.0145802992","2.616773e-09","33.25009","1.359308835","9.788705e-11"," 6.315486","1.883824e-03","0.0125559425","26.93461","1.574958837","7.796074e-09","shRNA"
"3","1","Ctu1_sh2","Ctu1","sh2","Ctu1","28.64470","28.43555","28.54013","2.561922e-09","18.37039","10.169732","0.0008681717","2.950939e-06","28.50234","0.037784783","2.629906e-09","10.306931","7.518567e-05","0.0007894137","18.19541","0.174983660","3.331467e-06","shRNA"
"4","1","Ctu1_sh3","Ctu1","sh3","Ctu1","27.82020","27.45296","27.63658","4.792477e-09","17.47501","10.161572","0.0008730964","5.489058e-06","27.61004","0.026536812","4.881445e-09","10.126199","2.194012e-05","0.0008947675","17.48385","0.008835200","5.455545e-06","shRNA"
"5","1","Ctu1_sh4","Ctu1","sh4","Ctu1","28.56133","27.58748","28.07441","3.538031e-09","18.98203"," 9.092374","0.0018319881","1.931252e-06","27.69161","0.382797560","4.613125e-09"," 9.051950","5.279763e-05","0.0018840461","18.63966","0.342373440","2.448520e-06","shRNA"
"6","1","Ctu2_sh18","Ctu2","sh18","Ctu1","33.14086","32.57183","32.85635","1.286039e-10","27.85338"," 5.002969","0.0311857486","4.123804e-09","33.35085","0.494506262","9.128364e-11"," 6.176751","1.252923e-02","0.0138233259","27.17410","0.679275858","6.603595e-09","shRNA"
"7","1","Empty_sh11","Empty","sh11","Ctu1","28.18398","27.29662","27.74030","4.460033e-09","19.41871"," 8.321587","0.0031257382","1.426873e-06","27.92599","0.185690307","3.921387e-09"," 9.159554","1.073748e-03","0.0017486365","18.76643","0.652276235","2.242540e-06","shRNA"
"8","1","Myd88_sh21","Myd88","sh21","Ctu1","26.53775","27.17542","26.85658","8.229298e-09","19.08791"," 7.768670","0.0045856106","1.794592e-06","27.13506","0.278475923","6.784740e-09"," 8.222691","1.070951e-03","0.0033475209","18.91237","0.175544887","2.026795e-06","shRNA"
"9","1","Myd88_sh22","Myd88","sh22","Ctu1","34.24912","35.22351","34.73631","3.494040e-11","27.51504"," 7.221272","0.0067016315","5.213715e-09","34.06692","0.669396457","5.556947e-11"," 7.784417","1.815832e-03","0.0045358336","26.28250","1.232541120","1.225121e-08","shRNA"
"10","1","Scr_sh14","Scr","sh14","Ctu1","27.49512","27.62877","27.56194","5.046939e-09","18.51633"," 9.045618","0.0018923332","2.667046e-06","27.75652","0.194578600","4.410157e-09"," 9.148697","1.259886e-04","0.0017618457","18.60783","0.091500000","2.503146e-06","shRNA"
"11","1","Scr_sh15","Scr","sh15","Ctu1","28.14624","28.20562","28.17593","3.297612e-09","19.36681"," 8.809121","0.0022294116","1.479140e-06","27.98980","0.186132250","3.751725e-09"," 8.996248","2.547057e-04","0.0019582105","18.99355","0.373259398","1.915894e-06","shRNA"
"12","1","Untransduced","Untransduced",NA,"Ctu1","29.09420","29.22413","29.15917","1.668079e-09","20.39584"," 8.763323","0.0023013193","7.248359e-07","28.66368","0.495488060","2.351653e-09"," 8.874927","1.649377e-04","0.0021300051","19.78875","0.607092297","1.104060e-06","shRNA"
"13","2","Ctu1_sh1","Ctu1","sh1","Ctu1","30.07335","29.14049","29.60692","1.223007e-09","18.32525","11.281671","0.0004016785","3.044740e-06","29.20207","0.404850268","1.619202e-09","10.696589","2.511240e-04","0.0006025677","18.50548","0.180231767","2.687170e-06","shRNA"
"14","2","Ctu1_sh16","Ctu1","sh16","Ctu1","32.69509","31.08648","31.89078","2.511412e-10","25.35965"," 6.531136","0.0108126513","2.322661e-08","33.25009","1.359308835","9.788705e-11"," 6.315486","1.883824e-03","0.0125559425","26.93461","1.574958837","7.796074e-09","shRNA"
"15","2","Ctu1_sh2","Ctu1","sh2","Ctu1","28.86734","28.06178","28.46456","2.699694e-09","18.02043","10.444130","0.0007178004","3.761065e-06","28.50234","0.037784783","2.629906e-09","10.306931","7.518567e-05","0.0007894137","18.19541","0.174983660","3.331467e-06","shRNA"
"16","2","Ctu1_sh3","Ctu1","sh3","Ctu1","27.40601","27.76101","27.58351","4.972065e-09","17.49268","10.090827","0.0009169766","5.422237e-06","27.61004","0.026536812","4.881445e-09","10.126199","2.194012e-05","0.0008947675","17.48385","0.008835200","5.455545e-06","shRNA"
"17","2","Ctu1_sh4","Ctu1","sh4","Ctu1","27.70134","26.91628","27.30881","6.014905e-09","18.29729"," 9.011526","0.0019375834","3.104333e-06","27.69161","0.382797560","4.613125e-09"," 9.051950","5.279763e-05","0.0018840461","18.63966","0.342373440","2.448520e-06","shRNA"
"18","2","Ctu2_sh18","Ctu2","sh18","Ctu1","33.99512","33.69560","33.84536","6.479354e-11","26.49483"," 7.350534","0.0061272968","1.057457e-08","33.35085","0.494506262","9.128364e-11"," 6.176751","1.252923e-02","0.0138233259","27.17410","0.679275858","6.603595e-09","shRNA"
"19","2","Empty_sh11","Empty","sh11","Ctu1","28.10973","28.11363","28.11168","3.447794e-09","18.11416"," 9.997520","0.0009782424","3.524479e-06","27.92599","0.185690307","3.921387e-09"," 9.159554","1.073748e-03","0.0017486365","18.76643","0.652276235","2.242540e-06","shRNA"
"20","2","Myd88_sh21","Myd88","sh21","Ctu1","27.49330","27.33377","27.41354","5.593757e-09","18.73682"," 8.676712","0.0024437086","2.289044e-06","27.13506","0.278475923","6.784740e-09"," 8.222691","1.070951e-03","0.0033475209","18.91237","0.175544887","2.026795e-06","shRNA"
