"","Bio_Rep","Target_oligo","Target","Oligo","Virus_amount","Gene","Tech_Rep_1","Tech_Rep_2","Avg_Cq","2_Avg_Cq","Gapdh_Avg_Cq","dCq","2_dCq","2_Gapdh_Avg_Cq","rep_means_Cq","rep_se_Cq","rep_means_2_Cq","rep_means_dCq","rep_se_2_dCq","rep_means_2_dCq","rep_means_Gapdh","rep_se_Gapdh","rep_means_2_Gapdh","system"
"1","1","Ctu1_sh1","Ctu1","sh1","30 uL","Ctu1","30.63104","30.62176","30.62640","6.033020e-10","18.66981","11.956593","0.0002515978","2.397883e-06","30.88318","0.2567781050","5.049366e-10","12.226420","3.925730e-05","0.0002086800","18.65676","0.01304873","2.419669e-06","shRNA"
"2","1","Ctu1_sh2","Ctu1","sh2","100 uL","Ctu1","30.85534","31.26527","31.06030","4.465981e-10","18.24595","12.814353","0.0001388339","3.216780e-06","30.96021","0.1000976850","4.786844e-10","12.264070","7.943988e-05","0.0002033046","18.69614","0.45018514","2.354519e-06","shRNA"
"3","1","Ctu1_sh2","Ctu1","sh2","30 uL","Ctu1","30.48850","30.26739","30.37794","7.166834e-10","18.46874","11.909204","0.0002599995","2.756480e-06","30.46150","0.0835501175","6.763575e-10","12.218540","4.533480e-05","0.0002098230","18.24296","0.22578601","3.223467e-06","shRNA"
"4","1","Ctu1_sh3","Ctu1","sh3","100 uL","Ctu1","28.49590","28.71385","28.60488","2.449479e-09","17.83657","10.768303","0.0005733471","4.272245e-06","28.58868","0.0162015925","2.477142e-09","10.956349","6.578519e-05","0.0005032807","17.63233","0.20424728","4.921990e-06","shRNA"
"5","1","Ctu1_sh3","Ctu1","sh3","30 uL","Ctu1","28.50565","28.25176","28.37870","2.865227e-09","17.90074","10.477962","0.0007011631","4.086391e-06","28.57944","0.2007348675","2.493054e-09","10.859883","1.441148e-04","0.0005380834","17.71956","0.18118549","4.633212e-06","shRNA"
"6","1","Ctu2_sh17","Ctu2","sh17","100 uL","Ctu1","29.74663","29.93208","29.83935","1.041021e-09","18.83291","11.006443","0.0004861056","2.141553e-06","29.54815","0.2912037850","1.273856e-09","10.484030","2.583933e-04","0.0006982203","19.06412","0.23120868","1.824434e-06","shRNA"
"7","1","Ctu2_sh17","Ctu2","sh17","30 uL","Ctu1","29.36840","29.39184","29.38012","1.431204e-09","19.69156"," 9.688561","0.0012118599","1.180998e-06","29.74044","0.3603173150","1.114898e-09","10.258319","3.308912e-04","0.0008164660","19.48212","0.20944081","1.365517e-06","shRNA"
"8","1","Ctu2_sh6","Ctu2","sh6","100 uL","Ctu1","28.44125","28.59547","28.51836","2.600864e-09","18.01249","10.505874","0.0006877282","3.781820e-06","28.46953","0.0488316000","2.690404e-09","10.378765","6.625898e-05","0.0007510701","18.09077","0.07827763","3.582094e-06","shRNA"
"9","1","Ctu2_sh6","Ctu2","sh6","30 uL","Ctu1","28.50649","28.39546","28.45098","2.725228e-09","18.17010","10.280880","0.0008037979","3.390439e-06","28.40735","0.0436248575","2.808893e-09","10.172562","6.511585e-05","0.0008664705","18.23479","0.06469287","3.241765e-06","shRNA"
"10","1","Ctu2_sh7","Ctu2","sh7","100 uL","Ctu1","30.10017","29.65930","29.87973","1.012288e-09","18.27728","11.602452","0.0003215984","3.147677e-06","29.40513","0.4746066850","1.406614e-09","11.436274","4.165806e-05","0.0003608599","17.96885","0.30842809","3.897951e-06","shRNA"
"11","1","Ctu2_sh7","Ctu2","sh7","30 uL","Ctu1","28.75654","29.38283","29.06969","1.774811e-09","18.50739","10.562297","0.0006613506","2.683616e-06","28.91915","0.1505397250","1.970014e-09","10.518593","2.065361e-05","0.0006816915","18.40055","0.10683621","2.889890e-06","shRNA"
"12","1","Ctu2_sh8","Ctu2","sh8","100 uL","Ctu1","30.23582","30.43504","30.33543","7.381193e-10","19.19049","11.144938","0.0004416104","1.671427e-06","29.63580","0.6996314500","1.198772e-09","11.215923","2.069353e-05","0.0004204079","18.41987","0.77061589","2.851450e-06","shRNA"
