"","Bio_Rep","Target_oligo","Target","Oligo","Gene","Tech_Rep_1","Tech_Rep_2","Avg_Cq","2_Avg_Cq","Gapdh_Avg_Cq","dCq","2_dCq","2_Gapdh_Avg_Cq","rep_means_Cq","rep_se_Cq","rep_means_2_Cq","rep_means_dCq","rep_se_2_dCq","rep_means_2_dCq","rep_means_Gapdh","rep_se_Gapdh","rep_means_2_Gapdh","system"
"1","1","Ctu1_sh1","Ctu1","sh1","Ctu1","26.13004","26.02799","26.07901","1.410699e-08","16.47277"," 9.606247","0.0012830143","1.099519e-05","26.46620","0.26588610","1.078650e-08"," 9.659482","0.0001887689","0.0012365343","16.80672","0.2282654","8.723167e-06","shRNA"
"2","1","Ctu1_sh2","Ctu1","sh2","Ctu1","26.08350","25.88514","25.98432","1.506402e-08","14.74139","11.242926","0.0004126121","3.650891e-05","26.45852","0.54855400","1.084408e-08","10.467544","0.0002150106","0.0007062448","15.99097","0.8596126","1.535456e-05","shRNA"
"3","1","Ctu1_sh3","Ctu1","sh3","Ctu1","25.44261","25.54844","25.49552","2.113890e-08","16.16062"," 9.334901","0.0015485130","1.365110e-05","25.75431","0.21775363","1.766765e-08"," 9.184954","0.0001436409","0.0017181191","16.56936","0.3360125","1.028313e-05","shRNA"
"4","1","Ctu2_sh17","Ctu2","sh17","Ctu1","25.35183","25.37141","25.36162","2.319480e-08","17.34251"," 8.019112","0.0038548448","6.017052e-06","25.57972","0.27071295","1.994049e-08"," 8.099650","0.0003841963","0.0036455454","17.48007","0.1206097","5.469825e-06","shRNA"
"5","1","Ctu2_sh6","Ctu2","sh6","Ctu1","25.32923","25.24529","25.28726","2.442178e-08","16.01778"," 9.269473","0.0016203571","1.507185e-05","25.26037","0.18653415","2.488116e-08"," 8.816818","0.0006346617","0.0022175490","16.44355","0.5132513","1.122012e-05","shRNA"
"6","1","Ctu2_sh8","Ctu2","sh8","Ctu1","25.02635","25.09851","25.06243","2.854023e-08","16.01228"," 9.050149","0.0018864002","1.512947e-05","25.55511","0.45142782","2.028360e-08"," 9.082045","0.0001662627","0.0018451519","16.47307","0.5447928","1.099292e-05","shRNA"
"7","1","Empty_sh11","Empty","sh11","Ctu1","26.03711","25.88362","25.96037","1.531619e-08","15.97339"," 9.986977","0.0009854177","1.554284e-05","26.01733","0.51781215","1.472320e-08"," 9.479933","0.0003166431","0.0014004123","16.53740","0.5254306","1.051347e-05","shRNA"
"8","1","Myd88_sh21","Myd88","sh21","Ctu1","26.46385","26.28980","26.37682","1.147585e-08","18.51647"," 7.860353","0.0043032648","2.666777e-06","26.30943","0.22825277","1.202461e-08"," 7.950721","0.0001611362","0.0040419844","18.35871","0.2560776","2.974928e-06","shRNA"
"9","1","Scr_sh14","Scr","sh14","Ctu1","25.39367","25.17262","25.28314","2.449150e-08","15.42036"," 9.862786","0.0010740032","2.280393e-05","25.42999","0.16883134","2.212125e-08"," 9.576685","0.0001529587","0.0013095757","15.85331","0.3097069","1.689192e-05","shRNA"
"10","1","Scr_sh15","Scr","sh15","Ctu1","25.57853","25.33655","25.45754","2.170288e-08","16.01820"," 9.439342","0.0014403729","1.506754e-05","25.30664","0.10669773","2.409581e-08"," 9.282382","0.0002687045","0.0016059228","16.02426","0.2573495","1.500434e-05","shRNA"
"11","2","Ctu1_sh1","Ctu1","sh1","Ctu1","26.38195","26.59730","26.48962","1.061278e-08","17.11711"," 9.372513","0.0015086634","7.034558e-06","26.46620","0.26588610","1.078650e-08"," 9.659482","0.0001887689","0.0012365343","16.80672","0.2282654","8.723167e-06","shRNA"
"12","2","Ctu1_sh2","Ctu1","sh2","Ctu1","25.92589","26.14903","26.03746","1.451925e-08","16.06189"," 9.975568","0.0009932416","1.461804e-05","26.45852","0.54855400","1.084408e-08","10.467544","0.0002150106","0.0007062448","15.99097","0.8596126","1.535456e-05","shRNA"
"13","2","Ctu1_sh3","Ctu1","sh3","Ctu1","25.66515","25.67988","25.67251","1.869834e-08","16.45670"," 9.215817","0.0016817550","1.111835e-05","25.75431","0.21775363","1.766765e-08"," 9.184954","0.0001436409","0.0017181191","16.56936","0.3360125","1.028313e-05","shRNA"
"14","2","Ctu2_sh17","Ctu2","sh17","Ctu1","25.34369","25.36784","25.35576","2.328919e-08","17.42679"," 7.928979","0.0041033601","5.675638e-06","25.57972","0.27071295","1.994049e-08"," 8.099650","0.0003841963","0.0036455454","17.48007","0.1206097","5.469825e-06","shRNA"
"15","2","Ctu2_sh6","Ctu2","sh6","Ctu1","24.95952","25.00879","24.98416","3.013137e-08","16.03122"," 8.952937","0.0020178895","1.493212e-05","25.26037","0.18653415","2.488116e-08"," 8.816818","0.0006346617","0.0022175490","16.44355","0.5132513","1.122012e-05","shRNA"
"16","2","Ctu2_sh8","Ctu2","sh8","Ctu1","25.35363","25.29949","25.32656","2.376541e-08","16.04440"," 9.282158","0.0016061722","1.479630e-05","25.55511","0.45142782","2.028360e-08"," 9.082045","0.0001662627","0.0018451519","16.47307","0.5447928","1.099292e-05","shRNA"
"17","2","Empty_sh11","Empty","sh11","Ctu1","26.85918","26.69372","26.77645","8.699322e-09","17.37938"," 9.397067","0.0014832040","5.865223e-06","26.01733","0.51781215","1.472320e-08"," 9.479933","0.0003166431","0.0014004123","16.53740","0.5254306","1.051347e-05","shRNA"
"18","2","Myd88_sh21","Myd88","sh21","Ctu1","26.00950","25.90702","25.95826","1.533857e-08","17.94445"," 8.013815","0.0038690228","3.964456e-06","26.30943","0.22825277","1.202461e-08"," 7.950721","0.0001611362","0.0040419844","18.35871","0.2560776","2.974928e-06","shRNA"
"19","2","Scr_sh14","Scr","sh14","Ctu1","25.59722","25.81376","25.70549","1.827578e-08","16.29617"," 9.409319","0.0014706616","1.242691e-05","25.42999","0.16883134","2.212125e-08"," 9.576685","0.0001529587","0.0013095757","15.85331","0.3097069","1.689192e-05","shRNA"
"20","2","Scr_sh15","Scr","sh15","Ctu1","25.08694","25.22457","25.15575","2.675249e-08","15.66338"," 9.492368","0.0013883932","1.926867e-05","25.30664","0.10669773","2.409581e-08"," 9.282382","0.0002687045","0.0016059228","16.02426","0.2573495","1.500434e-05","shRNA"
"21","3","Ctu1_sh1","Ctu1","sh1","Ctu1","26.68501","26.97491","26.82996","8.382578e-09","16.83027"," 9.999686","0.0009767754","8.581889e-06","26.46620","0.26588610","1.078650e-08"," 9.659482","0.0001887689","0.0012365343","16.80672","0.2282654","8.723167e-06","shRNA"
"22","3","Ctu1_sh2","Ctu1","sh2","Ctu1","27.24659","27.46096","27.35378","5.830323e-09","17.16964","10.184138","0.0008595456","6.783029e-06","26.45852","0.54855400","1.084408e-08","10.467544","0.0002150106","0.0007062448","15.99097","0.8596126","1.535456e-05","shRNA"
"23","3","Ctu1_sh3","Ctu1","sh3","Ctu1","26.02647","26.16334","26.09491","1.395245e-08","17.09076"," 9.004145","0.0019475213","7.164209e-06","25.75431","0.21775363","1.766765e-08"," 9.184954","0.0001436409","0.0017181191","16.56936","0.3360125","1.028313e-05","shRNA"
"24","3","Ctu2_sh17","Ctu2","sh17","Ctu1","25.88173","26.16184","26.02178","1.467786e-08","17.67092"," 8.350859","0.0030629578","4.792055e-06","25.57972","0.27071295","1.994049e-08"," 8.099650","0.0003841963","0.0036455454","17.48007","0.1206097","5.469825e-06","shRNA"
"25","3","Ctu2_sh6","Ctu2","sh6","Ctu1","25.48826","25.53114","25.50970","2.093225e-08","17.28165"," 8.228045","0.0033351209","6.276308e-06","25.26037","0.18653415","2.488116e-08"," 8.816818","0.0006346617","0.0022175490","16.44355","0.5132513","1.122012e-05","shRNA"
"26","3","Ctu2_sh8","Ctu2","sh8","Ctu1","26.15463","26.39806","26.27634","1.230360e-08","17.36252"," 8.913828","0.0020733396","5.934196e-06","25.55511","0.45142782","2.028360e-08"," 9.082045","0.0001662627","0.0018451519","16.47307","0.5447928","1.099292e-05","shRNA"
"27","3","Empty_sh11","Empty","sh11","Ctu1","25.42171","25.20866","25.31518","2.395358e-08","16.25943"," 9.055754","0.0018790851","1.274747e-05","26.01733","0.51781215","1.472320e-08"," 9.479933","0.0003166431","0.0014004123","16.53740","0.5254306","1.051347e-05","shRNA"
"28","3","Myd88_sh21","Myd88","sh21","Ctu1","26.57250","26.61394","26.59322","9.877425e-09","18.61522"," 7.977994","0.0039662907","2.490343e-06","26.30943","0.22825277","1.202461e-08"," 7.950721","0.0001611362","0.0040419844","18.35871","0.2560776","2.974928e-06","shRNA"
"29","3","Scr_sh14","Scr","sh14","Ctu1","25.16909","25.43359","25.30134","2.418455e-08","15.84339"," 9.457949","0.0014219146","1.700844e-05","25.42999","0.16883134","2.212125e-08"," 9.576685","0.0001529587","0.0013095757","15.85331","0.3097069","1.689192e-05","shRNA"
"30","3","Scr_sh15","Scr","sh15","Ctu1","25.39248","25.22079","25.30664","2.409590e-08","16.39120"," 8.915435","0.0020710309","1.163474e-05","25.30664","0.10669773","2.409581e-08"," 9.282382","0.0002687045","0.0016059228","16.02426","0.2573495","1.500434e-05","shRNA"
"31","1","Ctu1_sh1","Ctu1","sh1","Ctu2","24.12092","23.98729","24.05410","5.741079e-08","16.47277"," 7.581335","0.0052214441","1.099519e-05","24.47447","0.31251846","4.289940e-08"," 7.667751","0.0009397087","0.0049178699","16.80672","0.2282654","8.723167e-06","shRNA"
"32","1","Ctu1_sh2","Ctu1","sh2","Ctu2","23.53226","23.55093","23.54159","8.189820e-08","14.74139"," 8.800201","0.0022432389","3.650891e-05","24.38486","0.59309373","4.564832e-08"," 8.393889","0.0005428333","0.0029729497","15.99097","0.8596126","1.535456e-05","shRNA"
"33","1","Ctu1_sh3","Ctu1","sh3","Ctu2","23.90686","23.81323","23.86004","6.567666e-08","16.16062"," 7.699421","0.0048110895","1.365110e-05","24.53610","0.43073534","4.110522e-08"," 7.966742","0.0005390794","0.0039973448","16.56936","0.3360125","1.028313e-05","shRNA"
"34","1","Ctu2_sh17","Ctu2","sh17","Ctu2","25.01420","25.07609","25.04515","2.888416e-08","17.34251"," 7.702635","0.0048003838","6.017052e-06","25.89191","0.52851369","1.606045e-08"," 8.411838","0.0010224656","0.0029361916","17.48007","0.1206097","5.469825e-06","shRNA"
"35","1","Ctu2_sh6","Ctu2","sh6","Ctu2","24.39086","24.32969","24.36027","4.643311e-08","16.01778"," 8.342487","0.0030807836","1.507185e-05","25.03990","0.72990984","2.898940e-08"," 8.596347","0.0003818583","0.0025836981","16.44355","0.5132513","1.122012e-05","shRNA"
"36","1","Ctu2_sh8","Ctu2","sh8","Ctu2","24.04252","24.04315","24.04283","5.786102e-08","16.01228"," 8.030554","0.0038243926","1.512947e-05","25.03655","0.89665390","2.905671e-08"," 8.563487","0.0007121416","0.0026432213","16.47307","0.5447928","1.099292e-05","shRNA"
"37","1","Empty_sh11","Empty","sh11","Ctu2",NA,"23.72020","23.72020","7.236161e-08","15.97339"," 7.746810","0.0046556237","1.554284e-05","24.33245","0.38181034","4.733712e-08"," 7.795052","0.0014911574","0.0045025188","16.53740","0.5254306","1.051347e-05","shRNA"
"38","1","Myd88_sh21","Myd88","sh21","Ctu2","26.06866","26.19990","26.13428","1.357677e-08","18.51647"," 7.617813","0.0050910786","2.666777e-06","26.08951","0.18119792","1.400473e-08"," 7.730797","0.0002913817","0.0047075851","18.35871","0.2560776","2.974928e-06","shRNA"
"39","1","Scr_sh14","Scr","sh14","Ctu2","23.79466","24.01581","23.90523","6.365136e-08","15.42036"," 8.484876","0.0027912449","2.280393e-05","24.21540","0.23062483","5.133779e-08"," 8.362097","0.0001684708","0.0030391916","15.85331","0.3097069","1.689192e-05","shRNA"
"40","1","Scr_sh15","Scr","sh15","Ctu2","23.97025","24.07760","24.02392","5.862444e-08","16.01820"," 8.005726","0.0038907766","1.506754e-05","24.17406","0.22350867","5.283038e-08"," 8.149796","0.0002519843","0.0035210064","16.02426","0.2573495","1.500434e-05","shRNA"
"41","2","Ctu1_sh1","Ctu1","sh1","Ctu2","24.45073","24.41734","24.43404","4.411858e-08","17.11711"," 7.316930","0.0062716923","7.034558e-06","24.47447","0.31251846","4.289940e-08"," 7.667751","0.0009397087","0.0049178699","16.80672","0.2282654","8.723167e-06","shRNA"
"42","2","Ctu1_sh2","Ctu1","sh2","Ctu2","24.31617","24.47173","24.39395","4.536157e-08","16.06189"," 8.332064","0.0031031216","1.461804e-05","24.38486","0.59309373","4.564832e-08"," 8.393889","0.0005428333","0.0029729497","15.99097","0.8596126","1.535456e-05","shRNA"
"43","2","Ctu1_sh3","Ctu1","sh3","Ctu2","24.71861","24.69335","24.70598","3.653911e-08","16.45670"," 8.249286","0.0032863782","1.111835e-05","24.53610","0.43073534","4.110522e-08"," 7.966742","0.0005390794","0.0039973448","16.56936","0.3360125","1.028313e-05","shRNA"
"44","2","Ctu2_sh17","Ctu2","sh17","Ctu2","26.19246","26.14903","26.17075","1.323793e-08","17.42679"," 8.743961","0.0023324126","5.675638e-06","25.89191","0.52851369","1.606045e-08"," 8.411838","0.0010224656","0.0029361916","17.48007","0.1206097","5.469825e-06","shRNA"
"45","2","Ctu2_sh6","Ctu2","sh6","Ctu2","24.51084","24.55257","24.53171","4.123067e-08","16.03122"," 8.500485","0.0027612067","1.493212e-05","25.03990","0.72990984","2.898940e-08"," 8.596347","0.0003818583","0.0025836981","16.44355","0.5132513","1.122012e-05","shRNA"
"46","2","Ctu2_sh8","Ctu2","sh8","Ctu2","24.71957","24.48460","24.60209","3.926751e-08","16.04440"," 8.557685","0.0026538730","1.479630e-05","25.03655","0.89665390","2.905671e-08"," 8.563487","0.0007121416","0.0026432213","16.47307","0.5447928","1.099292e-05","shRNA"
"47","2","Empty_sh11","Empty","sh11","Ctu2","24.51156","24.56146","24.53651","4.109366e-08","17.37938"," 7.157126","0.0070063256","5.865223e-06","24.33245","0.38181034","4.733712e-08"," 7.795052","0.0014911574","0.0045025188","16.53740","0.5254306","1.051347e-05","shRNA"
"48","2","Myd88_sh21","Myd88","sh21","Ctu2","25.81083","25.81682","25.81382","1.695373e-08","17.94445"," 7.869376","0.0042764329","3.964456e-06","26.08951","0.18119792","1.400473e-08"," 7.730797","0.0002913817","0.0047075851","18.35871","0.2560776","2.974928e-06","shRNA"
"49","2","Scr_sh14","Scr","sh14","Ctu2","24.50748","24.60347","24.55548","4.055685e-08","16.29617"," 8.259306","0.0032636313","1.242691e-05","24.21540","0.23062483","5.133779e-08"," 8.362097","0.0001684708","0.0030391916","15.85331","0.3097069","1.689192e-05","shRNA"
"50","2","Scr_sh15","Scr","sh15","Ctu2","23.96044","23.96159","23.96101","6.123727e-08","15.66338"," 8.297632","0.0031780741","1.926867e-05","24.17406","0.22350867","5.283038e-08"," 8.149796","0.0002519843","0.0035210064","16.02426","0.2573495","1.500434e-05","shRNA"
"51","3","Ctu1_sh1","Ctu1","sh1","Ctu2","24.92599","24.94453","24.93526","3.117013e-08","16.83027"," 8.104987","0.0036320827","8.581889e-06","24.47447","0.31251846","4.289940e-08"," 7.667751","0.0009397087","0.0049178699","16.80672","0.2282654","8.723167e-06","shRNA"
"52","3","Ctu1_sh2","Ctu1","sh2","Ctu2","25.20582","25.23226","25.21904","2.560425e-08","17.16964"," 8.049403","0.0037747516","6.783029e-06","24.38486","0.59309373","4.564832e-08"," 8.393889","0.0005428333","0.0029729497","15.99097","0.8596126","1.535456e-05","shRNA"
"53","3","Ctu1_sh3","Ctu1","sh3","Ctu2","25.02552","25.05904","25.04228","2.894157e-08","17.09076"," 7.951520","0.0040397441","7.164209e-06","24.53610","0.43073534","4.110522e-08"," 7.966742","0.0005390794","0.0039973448","16.56936","0.3360125","1.028313e-05","shRNA"
"54","3","Ctu2_sh17","Ctu2","sh17","Ctu2","26.33607","26.58361","26.45984","1.083412e-08","17.67092"," 8.788919","0.0022608506","4.792055e-06","25.89191","0.52851369","1.606045e-08"," 8.411838","0.0010224656","0.0029361916","17.48007","0.1206097","5.469825e-06","shRNA"
"55","3","Ctu2_sh6","Ctu2","sh6","Ctu2","26.22955","26.22590","26.22772","1.272534e-08","17.28165"," 8.946068","0.0020275203","6.276308e-06","25.03990","0.72990984","2.898940e-08"," 8.596347","0.0003818583","0.0025836981","16.44355","0.5132513","1.122012e-05","shRNA"
"56","3","Ctu2_sh8","Ctu2","sh8","Ctu2","26.46755","26.46193","26.46474","1.079742e-08","17.36252"," 9.102223","0.0018195247","5.934196e-06","25.03655","0.89665390","2.905671e-08"," 8.563487","0.0007121416","0.0026432213","16.47307","0.5447928","1.099292e-05","shRNA"
"57","3","Empty_sh11","Empty","sh11","Ctu2","24.85837","24.62293","24.74065","3.567159e-08","16.25943"," 8.481220","0.0027983267","1.274747e-05","24.33245","0.38181034","4.733712e-08"," 7.795052","0.0014911574","0.0045025188","16.53740","0.5254306","1.051347e-05","shRNA"
