"","Bio_Rep","Target_oligo","Target","Oligo","Gene","Tech_Rep_1","Tech_Rep_2","Avg_Cq","2_Avg_Cq","Gapdh_Avg_Cq","dCq","2_dCq","2_Gapdh_Avg_Cq","rep_means_Cq","rep_se_Cq","rep_means_2_Cq","rep_means_dCq","rep_se_2_dCq","rep_means_2_dCq","rep_means_Gapdh","rep_se_Gapdh","rep_means_2_Gapdh","system"
"1","1","Elp3_sh19","Elp3","sh19","Elp3","24.24299","24.55120","24.39709","4.526295e-08","17.61601","6.781088","0.009092624","4.977985e-06","23.53406","0.5540924","8.232669e-08","6.559090","9.684434e-04","0.010605157","16.97497","0.4219913","7.762893e-06","shRNA"
"2","1","Elp3_sh20","Elp3","sh20","Elp3","24.09415","23.97493","24.03454","5.819458e-08","17.12609","6.908446","0.008324356","6.990881e-06","23.86492","0.3437548","6.545514e-08","7.056870","5.052194e-04","0.007510530","16.80805","0.3567978","8.715116e-06","shRNA"
"3","1","Empty_sh11","Empty","sh11","Elp3","22.65566","22.46330","22.55948","1.617783e-07","17.11424","5.445241","0.022951924","7.048574e-06","23.12478","0.3619250","1.093320e-07","5.318127","7.685637e-03","0.025065949","17.80665","0.6571631","4.361773e-06","shRNA"
"4","1","Scr_sh14","Scr","sh14","Elp3","22.33874","22.72748","22.53311","1.647626e-07","16.93347","5.599641","0.020622440","7.989482e-06","22.91387","0.2347792","1.265426e-07","5.670217","3.512325e-03","0.019637874","17.24366","0.3005473","6.443804e-06","shRNA"
"5","1","Scr_sh15","Scr","sh15","Elp3","22.67246","23.02814","22.85030","1.322436e-07","17.44381","5.406484","0.023576868","5.609040e-06","23.05043","0.1732180","1.151145e-07","5.738419","2.874037e-03","0.018731120","17.31201","0.1961984","6.145631e-06","shRNA"
"6","2","Elp3_sh19","Elp3","sh19","Elp3","22.88545","22.84881","22.86713","1.307096e-07","16.43546","6.431675","0.011584385","1.128325e-05","23.53406","0.5540924","8.232669e-08","6.559090","9.684434e-04","0.010605157","16.97497","0.4219913","7.762893e-06","shRNA"
"7","2","Elp3_sh20","Elp3","sh20","Elp3","23.03884","23.59454","23.31669","9.571434e-08","16.22624","7.090446","0.007337754","1.304409e-05","23.86492","0.3437548","6.545514e-08","7.056870","5.052194e-04","0.007510530","16.80805","0.3567978","8.715116e-06","shRNA"
"8","2","Empty_sh11","Empty","sh11","Elp3","23.37845","23.73510","23.55678","8.104072e-08","18.86289","4.693883","0.038636729","2.097505e-06","23.12478","0.3619250","1.093320e-07","5.318127","7.685637e-03","0.025065949","17.80665","0.6571631","4.361773e-06","shRNA"
"9","2","Scr_sh14","Scr","sh14","Elp3","22.76545","23.36545","23.06545","1.139218e-07","17.72814","5.337317","0.024734743","4.605741e-06","22.91387","0.2347792","1.265426e-07","5.670217","3.512325e-03","0.019637874","17.24366","0.3005473","6.443804e-06","shRNA"
"10","2","Scr_sh15","Scr","sh15","Elp3","22.50675","23.44799","22.97737","1.210939e-07","16.99321","5.984165","0.015797444","7.665413e-06","23.05043","0.1732180","1.151145e-07","5.738419","2.874037e-03","0.018731120","17.31201","0.1961984","6.145631e-06","shRNA"
