"","Bio_Rep","Target_oligo","Target","Oligo","Gene","Tech_Rep_1","Tech_Rep_2","Avg_Cq","2_Avg_Cq","Gapdh_Avg_Cq","dCq","2_dCq","2_Gapdh_Avg_Cq","rep_means_Cq","rep_se_Cq","rep_means_2_Cq","rep_means_dCq","rep_se_2_dCq","rep_means_2_dCq","rep_means_Gapdh","rep_se_Gapdh","rep_means_2_Gapdh","system"
"1","1","Ctu1_sh1","Ctu1","sh1","Ctu1","27.60201","27.71231","27.65716","4.724596e-09","17.22891","10.428250","0.0007257449","6.509996e-06","27.93702","0.24464396","3.891515e-09"," 9.854881","2.539962e-04","0.0010799043","18.08214","0.5309376","3.603574e-06","shRNA"
"2","1","Ctu1_sh2","Ctu1","sh2","Ctu1","28.28250","28.40900","28.34575","2.931422e-09","17.57060","10.775157","0.0005706299","5.137168e-06","28.05635","0.22588893","3.582595e-09","10.500121","9.193912e-05","0.0006904762","17.55623","0.2314533","5.188586e-06","shRNA"
"3","1","Ctu1_sh3","Ctu1","sh3","Ctu1","27.20219","27.50084","27.35152","5.839468e-09","17.69431"," 9.657208","0.0012384848","4.715010e-06","27.19673","0.11026631","6.500828e-09"," 9.676051","1.421899e-04","0.0012224142","17.52068","0.1542667","5.318024e-06","shRNA"
"4","1","Empty_sh11","Empty","sh11","Ctu1","27.00365","27.30293","27.15329","6.699530e-09","17.17843"," 9.974864","0.0009937265","6.741825e-06","26.91469","0.32594077","7.904422e-09"," 9.772469","1.524266e-04","0.0011433883","17.14222","0.1574349","6.913156e-06","shRNA"
"5","1","Scr_sh14","Scr","sh14","Ctu1","26.96012","27.12465","27.04239","7.234872e-09","17.09011"," 9.952274","0.0010094085","7.167437e-06","26.81112","0.14175995","8.492769e-09"," 9.651691","2.063790e-04","0.0012432300","17.15943","0.1405296","6.831214e-06","shRNA"
"6","1","Scr_sh15","Scr","sh15","Ctu1","27.09612","27.04324","27.06968","7.099273e-09","17.44288"," 9.626805","0.0012648612","5.612689e-06","26.73844","0.26570938","8.931569e-09"," 9.291349","2.201118e-04","0.0015959719","17.44709","0.1372544","5.596320e-06","shRNA"
"7","2","Ctu1_sh1","Ctu1","sh1","Ctu1","28.15737","27.50273","27.83005","4.191028e-09","18.37537"," 9.454676","0.0014251442","2.940775e-06","27.93702","0.24464396","3.891515e-09"," 9.854881","2.539962e-04","0.0010799043","18.08214","0.5309376","3.603574e-06","shRNA"
"8","2","Ctu1_sh2","Ctu1","sh2","Ctu1","27.70944","27.71770","27.71357","4.543445e-09","17.22196","10.491611","0.0006945610","6.541463e-06","28.05635","0.22588893","3.582595e-09","10.500121","9.193912e-05","0.0006904762","17.55623","0.2314533","5.188586e-06","shRNA"
"9","2","Ctu1_sh3","Ctu1","sh3","Ctu1","27.33720","27.06082","27.19901","6.490552e-09","17.27579"," 9.923218","0.0010299445","6.301847e-06","27.19673","0.11026631","6.500828e-09"," 9.676051","1.421899e-04","0.0012224142","17.52068","0.1542667","5.318024e-06","shRNA"
"10","2","Empty_sh11","Empty","sh11","Ctu1","27.26929","27.14558","27.20743","6.452774e-09","17.34455"," 9.862884","0.0010739301","6.008561e-06","26.91469","0.32594077","7.904422e-09"," 9.772469","1.524266e-04","0.0011433883","17.14222","0.1574349","6.913156e-06","shRNA"
