"","Bio_Rep","Treatment","Media_type","Gene","Tech_Rep_1","Tech_Rep_2","Avg_Cq","2_Avg_Cq","Gapdh_Avg_Cq","dCq","2_dCq","2_Gapdh_Avg_Cq","rep_means_Cq","rep_se_Cq","rep_means_2_Cq","rep_means_dCq","rep_se_2_dCq","rep_means_2_dCq","rep_means_Gapdh","rep_se_Gapdh","rep_means_2_Gapdh"
"1","1","Control","Current","Cxcl1","30.56565","30.10621","30.33593","7.378621e-10","20.77557"," 9.5603549","0.0013244830","5.570944e-07","30.31441","0.0215196500","7.489508e-10"," 9.4747940","8.339853e-05","0.0014054092","20.83962","0.064041297","5.329058e-07"
"2","1","Control","Gibco_C","Cxcl1","31.83380","33.12748","32.48064","1.668601e-10","21.38717","11.0934714","0.0004576488","3.646029e-07","32.31652","0.1641256050","1.869645e-10","10.9265997","5.955824e-05","0.0005137665","21.38992","0.002746100","3.639095e-07"
"3","1","Control","Gibco_D","Cxcl1","31.18461","30.31295","30.74878","5.542363e-10","20.56470","10.1840841","0.0008595778","6.447773e-07","31.05341","0.3046259750","4.487386e-10","10.1474616","2.238363e-05","0.0008816773","20.90594","0.341248540","5.089601e-07"
"4","1","Control","VWR_A2","Cxcl1","30.37466","30.39542","30.38504","7.131677e-10","20.37459","10.0104452","0.0009695177","7.355902e-07","30.78600","0.4009626150","5.401196e-10","10.2232611","1.238498e-04","0.0008365497","20.56274","0.188146680","6.456515e-07"
"5","1","Control","VWR_E","Cxcl1","31.98569","31.05988","31.52278","3.241133e-10","20.82113","10.7016507","0.0006004573","5.397774e-07","31.96959","0.4468110125","2.377898e-10","11.3059126","1.703164e-04","0.0003949855","20.66368","0.157450910","6.020217e-07"
"6","1","Control","VWR_M2","Cxcl1","30.40858","30.47513","30.44186","6.856278e-10","20.43283","10.0090299","0.0009704692","7.064910e-07","30.69933","0.2574747350","5.735625e-10"," 9.8922304","8.528697e-05","0.0010523057","20.80710","0.374274235","5.450532e-07"
"7","1","LPS","Current","Cxcl1","27.11028","26.82075","26.96551","7.630824e-09","20.45698"," 6.5085324","0.0109833931","6.947602e-07","27.19030","0.2247811375","6.529886e-09"," 6.6864106","1.200156e-03","0.0097093431","20.50388","0.046902917","6.725363e-07"
"8","1","LPS","Gibco_C","Cxcl1","28.39715","28.40967","28.40341","2.816573e-09","22.01259"," 6.3908181","0.0119171405","2.363464e-07","28.70004","0.2966283600","2.293121e-09"," 6.5015792","8.481430e-04","0.0110364559","22.19846","0.185867220","2.077769e-07"
"9","1","LPS","Gibco_D","Cxcl1","27.23287","27.21500","27.22393","6.379406e-09","21.12096"," 6.1029663","0.0145486965","4.384865e-07","26.90841","0.3155204700","7.938919e-09"," 6.0147963","9.457629e-04","0.0154655684","20.89361","0.227350513","5.133287e-07"
"10","1","LPS","VWR_A2","Cxcl1","27.11179","27.11639","27.11409","6.884075e-09","20.38379"," 6.7303024","0.0094183995","7.309177e-07","26.87056","0.2435335550","8.149979e-09"," 6.4916687","1.846498e-03","0.0111125316","20.37889","0.004899855","7.334044e-07"
"11","1","LPS","VWR_E","Cxcl1","28.94740","28.69173","28.81956","2.110797e-09","22.20279"," 6.6167738","0.0101894939","2.071543e-07","28.00350","0.8160646250","3.716263e-09"," 6.5355890","6.069053e-04","0.0107793275","21.46791","0.734879840","3.447583e-07"
"12","1","LPS","VWR_M2","Cxcl1","27.12593","27.24814","27.18704","6.544653e-09","21.07622"," 6.1108150","0.0144697621","4.522986e-07","27.19419","0.0071581075","6.512261e-09"," 6.3338660","1.924309e-03","0.0123969926","20.86033","0.215892923","5.253098e-07"
"13","2","Control","Current","Cxcl1","30.53740","30.04838","30.29289","7.602060e-10","20.90366"," 9.3892331","0.0014912801","5.097675e-07","30.31441","0.0215196500","7.489508e-10"," 9.4747940","8.339853e-05","0.0014054092","20.83962","0.064041297","5.329058e-07"
"14","2","Control","Gibco_C","Cxcl1","31.85955","32.44523","32.15239","2.094913e-10","21.39266","10.7597280","0.0005767653","3.632175e-07","32.31652","0.1641256050","1.869645e-10","10.9265997","5.955824e-05","0.0005137665","21.38992","0.002746100","3.639095e-07"
"15","2","Control","Gibco_D","Cxcl1","31.63047","31.08559","31.35803","3.633221e-10","21.24719","10.1108390","0.0009043451","4.017517e-07","31.05341","0.3046259750","4.487386e-10","10.1474616","2.238363e-05","0.0008816773","20.90594","0.341248540","5.089601e-07"
"16","2","Control","VWR_A2","Cxcl1","31.23385","31.14008","31.18696","4.090610e-10","20.75089","10.4360771","0.0007218181","5.667093e-07","30.78600","0.4009626150","5.401196e-10","10.2232611","1.238498e-04","0.0008365497","20.56274","0.188146680","6.456515e-07"
"17","2","Control","VWR_E","Cxcl1","31.27681","33.55600","32.41640","1.744576e-10","20.50623","11.9101746","0.0002598246","6.714437e-07","31.96959","0.4468110125","2.377898e-10","11.3059126","1.703164e-04","0.0003949855","20.66368","0.157450910","6.020217e-07"
"18","2","Control","VWR_M2","Cxcl1","31.13329","30.78032","30.95680","4.798143e-10","21.18137"," 9.7754309","0.0011410432","4.205049e-07","30.69933","0.2574747350","5.735625e-10"," 9.8922304","8.528697e-05","0.0010523057","20.80710","0.374274235","5.450532e-07"
"19","2","LPS","Current","Cxcl1","27.44444","27.38572","27.41508","5.587786e-09","20.55079"," 6.8642888","0.0085830801","6.510234e-07","27.19030","0.2247811375","6.529886e-09"," 6.6864106","1.200156e-03","0.0097093431","20.50388","0.046902917","6.725363e-07"
"20","2","LPS","Gibco_C","Cxcl1","28.70526","29.28808","28.99667","1.866951e-09","22.38433"," 6.6123404","0.0102208546","1.826610e-07","28.70004","0.2966283600","2.293121e-09"," 6.5015792","8.481430e-04","0.0110364559","22.19846","0.185867220","2.077769e-07"
"21","2","LPS","Gibco_D","Cxcl1","26.34905","26.83673","26.59289","9.879672e-09","20.66626"," 5.9266264","0.0164402224","6.009451e-07","26.90841","0.3155204700","7.938919e-09"," 6.0147963","9.457629e-04","0.0154655684","20.89361","0.227350513","5.133287e-07"
"22","2","LPS","VWR_A2","Cxcl1","26.57593","26.67812","26.62702","9.648669e-09","20.37399"," 6.2530350","0.0131113953","7.358995e-07","26.87056","0.2435335550","8.149979e-09"," 6.4916687","1.846498e-03","0.0111125316","20.37889","0.004899855","7.334044e-07"
"23","2","LPS","VWR_E","Cxcl1","26.95692","27.41795","27.18744","6.542841e-09","20.73303"," 6.4544042","0.0114033046","5.737671e-07","28.00350","0.8160646250","3.716263e-09"," 6.5355890","6.069053e-04","0.0107793275","21.46791","0.734879840","3.447583e-07"
"24","2","LPS","VWR_M2","Cxcl1","27.23702","27.16569","27.20135","6.480030e-09","20.64444"," 6.5569170","0.0106211438","6.101066e-07","27.19419","0.0071581075","6.512261e-09"," 6.3338660","1.924309e-03","0.0123969926","20.86033","0.215892923","5.253098e-07"
"25","1","Control","Current","Tnfa","25.08278","25.04540","25.06409","2.850729e-08","20.77557"," 4.2885188","0.0511713878","5.570944e-07","25.14203","0.0779333900","2.700820e-08"," 4.3024109","4.880284e-04","0.0506810097","20.83962","0.064041297","5.329058e-07"
"26","1","Control","Gibco_C","Tnfa","26.17190","26.50785","26.33987","1.177356e-08","21.38717"," 4.9527033","0.0322914657","3.646029e-07","26.37752","0.0376440150","1.147033e-08"," 4.9876012","7.625174e-04","0.0315197264","21.38992","0.002746100","3.639095e-07"
"27","1","Control","Gibco_D","Tnfa","25.10963","25.14382","25.12673","2.729617e-08","20.56470"," 4.5620307","0.0423342560","6.447773e-07","25.30310","0.1763787025","2.415497e-08"," 4.3971608","5.435434e-03","0.0474594497","20.90594","0.341248540","5.089601e-07"
"28","1","Control","VWR_A2","Tnfa","24.84510","24.73149","24.78829","3.451279e-08","20.37459"," 4.4136993","0.0469184998","7.355902e-07","25.01681","0.2285177025","2.945706e-08"," 4.4540703","1.276860e-03","0.0456237762","20.56274","0.188146680","6.456515e-07"
"29","1","Control","VWR_E","Tnfa","25.46644","25.68221","25.57432","2.001527e-08","20.82113"," 4.7531915","0.0370806036","5.397774e-07","25.53705","0.0372733775","2.053912e-08"," 4.8733690","2.845251e-03","0.0341169150","20.66368","0.157450910","6.020217e-07"
"30","1","Control","VWR_M2","Tnfa","25.20081","25.08882","25.14481","2.695607e-08","20.43283"," 4.7119892","0.0381548638","7.064910e-07","25.50741","0.3625919025","2.096551e-08"," 4.7003069","3.114773e-04","0.0384650800","20.80710","0.374274235","5.450532e-07"
"31","1","LPS","Current","Tnfa","20.80939","20.82826","20.81882","5.406417e-07","20.45698"," 0.3618423","0.7781702197","6.947602e-07","20.98375","0.1649254875","4.822387e-07"," 0.4798649","5.872474e-02","0.7170447704","20.50388","0.046902917","6.725363e-07"
"32","1","LPS","Gibco_C","Tnfa","22.48760","22.48881","22.48821","1.699711e-07","22.01259"," 0.4756132","0.7191610768","2.363464e-07","22.71650","0.2282879875","1.450954e-07"," 0.5180339","2.053633e-02","0.6983228462","22.19846","0.185867220","2.077769e-07"
"33","1","LPS","Gibco_D","Tnfa","21.68950","21.99667","21.84309","2.658128e-07","21.12096"," 0.7221218","0.6062052262","4.384865e-07","21.47577","0.3673142050","3.428850e-07"," 0.5821581","6.490451e-02","0.6679638295","20.89361","0.227350513","5.133287e-07"
"34","1","LPS","VWR_A2","Tnfa","20.63996","20.60155","20.62075","6.202041e-07","20.38379"," 0.2369659","0.8485279517","7.309177e-07","20.62164","0.0008822075","6.198250e-07"," 0.2427480","3.387154e-03","0.8451340098","20.37889","0.004899855","7.334044e-07"
"35","1","LPS","VWR_E","Tnfa","23.12883","22.97805","23.05344","1.148747e-07","22.20279"," 0.8506451","0.5545367180","2.071543e-07","22.28879","0.7646434375","1.951663e-07"," 0.8208815","1.167970e-02","0.5660959442","21.46791","0.734879840","3.447583e-07"
"36","1","LPS","VWR_M2","Tnfa","21.71051","21.72048","21.71549","2.903926e-07","21.07622"," 0.6392706","0.6420374668","4.522986e-07","21.51171","0.2037814675","3.344490e-07"," 0.6513821","5.344922e-03","0.6366701099","20.86033","0.215892923","5.253098e-07"
"37","2","Control","Current","Tnfa","25.45074","24.98918","25.21996","2.558795e-08","20.90366"," 4.3163030","0.0501953310","5.097675e-07","25.14203","0.0779333900","2.700820e-08"," 4.3024109","4.880284e-04","0.0506810097","20.83962","0.064041297","5.329058e-07"
"38","2","Control","Gibco_C","Tnfa","26.35672","26.47361","26.41516","1.117491e-08","21.39266"," 5.0224991","0.0307664310","3.632175e-07","26.37752","0.0376440150","1.147033e-08"," 4.9876012","7.625174e-04","0.0315197264","21.38992","0.002746100","3.639095e-07"
"39","2","Control","Gibco_D","Tnfa","25.44990","25.50907","25.47948","2.137525e-08","21.24719"," 4.2322910","0.0532051246","4.017517e-07","25.30310","0.1763787025","2.415497e-08"," 4.3971608","5.435434e-03","0.0474594497","20.90594","0.341248540","5.089601e-07"
"40","2","Control","VWR_A2","Tnfa","25.18715","25.30351","25.24533","2.514193e-08","20.75089"," 4.4944414","0.0443647808","5.667093e-07","25.01681","0.2285177025","2.945706e-08"," 4.4540703","1.276860e-03","0.0456237762","20.56274","0.188146680","6.456515e-07"
"41","2","Control","VWR_E","Tnfa","25.55459","25.44497","25.49978","2.107668e-08","20.50623"," 4.9935465","0.0313901009","6.714437e-07","25.53705","0.0372733775","2.053912e-08"," 4.8733690","2.845251e-03","0.0341169150","20.66368","0.157450910","6.020217e-07"
"42","2","Control","VWR_M2","Tnfa","25.74458","25.99541","25.87000","1.630626e-08","21.18137"," 4.6886246","0.0387778184","4.205049e-07","25.50741","0.3625919025","2.096551e-08"," 4.7003069","3.114773e-04","0.0384650800","20.80710","0.374274235","5.450532e-07"
"43","2","LPS","Current","Tnfa","21.31873","20.97862","21.14867","4.301446e-07","20.55079"," 0.5978875","0.6607207392","6.510234e-07","20.98375","0.1649254875","4.822387e-07"," 0.4798649","5.872474e-02","0.7170447704","20.50388","0.046902917","6.725363e-07"
"44","2","LPS","Gibco_C","Tnfa","22.85684","23.03272","22.94478","1.238603e-07","22.38433"," 0.5604547","0.6780884189","1.826610e-07","22.71650","0.2282879875","1.450954e-07"," 0.5180339","2.053633e-02","0.6983228462","22.19846","0.185867220","2.077769e-07"
"45","2","LPS","Gibco_D","Tnfa","21.48672","20.73020","21.10846","4.423042e-07","20.66626"," 0.4421944","0.7360142379","6.009451e-07","21.47577","0.3673142050","3.428850e-07"," 0.5821581","6.490451e-02","0.6679638295","20.89361","0.227350513","5.133287e-07"
"46","2","LPS","VWR_A2","Tnfa","20.56914","20.67590","20.62252","6.194461e-07","20.37399"," 0.2485300","0.8417536430","7.358995e-07","20.62164","0.0008822075","6.198250e-07"," 0.2427480","3.387154e-03","0.8451340098","20.37889","0.004899855","7.334044e-07"
"47","2","LPS","VWR_E","Tnfa","21.58625","21.46205","21.52415","3.315778e-07","20.73303"," 0.7911179","0.5778961205","5.737671e-07","22.28879","0.7646434375","1.951663e-07"," 0.8208815","1.167970e-02","0.5660959442","21.46791","0.734879840","3.447583e-07"
"48","2","LPS","VWR_M2","Tnfa","21.26139","21.35447","21.30793","3.851893e-07","20.64444"," 0.6634935","0.6313476235","6.101066e-07","21.51171","0.2037814675","3.344490e-07"," 0.6513821","5.344922e-03","0.6366701099","20.86033","0.215892923","5.253098e-07"
